Base Model,Feature Set,Calibration,Holdout,main_Average Precision,main_Brier Score,main_Shared Feature Prep Seconds,main_Total Seconds,main_Workflow Seconds,cpu_Average Precision,cpu_Brier Score,cpu_Shared Feature Prep Seconds,cpu_Total Seconds,cpu_Workflow Seconds,delta_Average Precision,delta_Brier Score,delta_Shared Feature Prep Seconds,delta_Total Seconds,delta_Workflow Seconds
XGBoost,Raw,none,full,0.7850,0.0004,0.0000,21.0182,21.0182,0.7898,0.0004,0.0,30.5842,30.5842,-0.004800,0.000000,0.000000,-9.566000,-9.566000
XGBoost,Raw,sigmoid,full,0.7995,0.0004,0.0000,21.5797,21.5797,0.7995,0.0004,0.0,31.5715,31.5715,0.000000,0.000000,0.000000,-9.991800,-9.991800
XGBoost,Raw + TabICL embeddings,none,full,0.8128,0.0004,121.9536,114.6799,236.6334,0.8152,0.0004,119.6116,260.3021,379.9137,-0.002400,0.000000,2.342000,-145.622200,-143.280300
XGBoost,Raw + TabICL embeddings,sigmoid,full,0.8046,0.0004,121.9536,127.0432,248.9968,0.8042,0.0004,119.6116,274.5181,394.1297,0.000400,0.000000,2.342000,-147.474900,-145.132900
XGBoost,Raw + TabPFN + TabICL embeddings,none,full,0.8029,0.0004,495.8154,144.5493,640.3648,0.8162,0.0004,490.3983,346.7201,837.1185,-0.013300,0.000000,5.417100,-202.170800,-196.753700
XGBoost,Raw + TabPFN + TabICL embeddings,sigmoid,full,0.7927,0.0004,495.8154,161.3281,657.1435,0.8046,0.0004,490.3983,366.9962,857.3946,-0.011900,0.000000,5.417100,-205.668100,-200.251100
XGBoost,Raw + TabPFN embeddings,none,full,0.7811,0.0004,373.8619,54.4439,428.3058,0.7977,0.0005,370.7867,115.183,485.9697,-0.016600,-0.000100,3.075200,-60.739100,-57.663900
XGBoost,Raw + TabPFN embeddings,sigmoid,full,0.7706,0.0005,373.8619,59.0099,432.8718,0.7954,0.0004,370.7867,120.584,491.3707,-0.024800,0.000100,3.075200,-61.574100,-58.498900
XGBoost,Raw all-history incumbent,none,full,0.8097,0.0004,0.0000,160.4202,160.4202,0.792,0.0005,0.0,270.9114,270.9114,0.017700,-0.000100,0.000000,-110.491200,-110.491200
XGBoost,Raw all-history incumbent,sigmoid,full,0.7997,0.0004,0.0000,160.8180,160.8180,0.7951,0.0004,0.0,272.1382,272.1382,0.004600,0.000000,0.000000,-111.320200,-111.320200
XGBoost,Raw,none,sampled,0.8245,0.0011,0.0000,20.9381,20.9381,0.8294,0.0011,0.0,30.1446,30.1446,-0.004900,0.000000,0.000000,-9.206500,-9.206500
XGBoost,Raw,sigmoid,sampled,0.8245,0.0011,0.0000,21.2027,21.2027,0.8238,0.0012,0.0,30.7205,30.7205,0.000700,-0.000100,0.000000,-9.517800,-9.517800
XGBoost,Raw + TabICL embeddings,none,sampled,0.8419,0.0010,121.9536,113.6244,235.5780,0.8437,0.001,119.6116,251.7476,371.3592,-0.001800,0.000000,2.342000,-138.123200,-135.781200
XGBoost,Raw + TabICL embeddings,sigmoid,sampled,0.8363,0.0011,121.9536,120.1198,242.0734,0.8349,0.0011,119.6116,259.9598,379.5715,0.001400,0.000000,2.342000,-139.840000,-137.498100
XGBoost,Raw + TabPFN + TabICL embeddings,none,sampled,0.8352,0.0011,495.8154,142.4065,638.2219,0.8447,0.001,490.3983,335.6848,826.0831,-0.009500,0.000100,5.417100,-193.278300,-187.861200
XGBoost,Raw + TabPFN + TabICL embeddings,sigmoid,sampled,0.8245,0.0011,495.8154,152.2786,648.0940,0.8361,0.0011,490.3983,347.3764,837.7747,-0.011600,0.000000,5.417100,-195.097800,-189.680700
XGBoost,Raw + TabPFN embeddings,none,sampled,0.8064,0.0011,373.8619,53.9306,427.7925,0.8268,0.001,370.7867,111.3983,482.185,-0.020400,0.000100,3.075200,-57.467700,-54.392500
XGBoost,Raw + TabPFN embeddings,sigmoid,sampled,0.8028,0.0013,373.8619,56.4428,430.3046,0.8219,0.0011,370.7867,114.9638,485.7505,-0.019100,0.000200,3.075200,-58.521000,-55.445900
XGBoost,Raw all-history incumbent,none,sampled,0.8411,0.0010,0.0000,160.0494,160.0494,0.8227,0.0011,0.0,270.4825,270.4825,0.018400,-0.000100,0.000000,-110.433100,-110.433100
XGBoost,Raw all-history incumbent,sigmoid,sampled,0.8337,0.0010,0.0000,160.4289,160.4289,0.8292,0.0011,0.0,271.2541,271.2541,0.004500,-0.000100,0.000000,-110.825200,-110.825200
