table,main_rows,cpu_rows,main_columns,cpu_columns,header_match,exact_match,notes
alert_summary,11,11,8,8,true,false,differs
best_params,5,5,4,4,true,false,differs
calibration_quality_view,22,22,6,6,true,false,differs
comparison_view,6,6,22,22,false,false,differs
cross_window_model_feature_duplicate_groups,10,10,3,3,true,true,
cv_summary,6,6,8,8,true,false,differs
data_quality_summary,4,4,1,1,true,false,differs
dataset_head,5,5,21,21,true,false,differs
duplicate_diagnostics,7,7,2,2,true,true,
embedding_source_summary,2,2,4,4,true,false,differs
environment_summary,11,10,2,2,true,false,differs
exact_duplicate_by_window_and_class,5,5,4,4,true,true,
feature_bundle_summary,4,4,7,7,true,false,differs
feature_quality_summary,20,20,3,3,true,true,
fraud_summary,22,22,21,21,true,false,differs
largest_model_feature_duplicate_groups,10,10,3,3,true,true,
leakage_checks,8,8,3,3,true,true,
runtime_ap_summary,20,20,11,11,true,false,differs
split_summary,6,6,6,6,true,true,
target_counts,3,3,1,1,true,false,differs
target_recall_summary,44,44,8,8,true,false,differs
timing_notes,11,11,4,4,true,false,differs
