Model,Holdout,target_recall,main_threshold,main_alerts,main_frauds_found,main_precision,main_recall,cpu_threshold,cpu_alerts,cpu_frauds_found,cpu_precision,cpu_recall,delta_threshold,delta_alerts,delta_frauds_found,delta_precision,delta_recall
Dummy[Raw],full,0.8,0.0015,35260,60,0.0017,0.8000,0.0015,35260,60,0.0017,0.8,0.000000,0.000000,0.000000,0.000000,0.000000
XGBoost[Raw + TabICL embeddings],full,0.8,0.0705,91,60,0.6593,0.8000,0.0683,91,60,0.6593,0.8,0.002200,0.000000,0.000000,0.000000,0.000000
XGBoost[Raw + TabICL embeddings] Calibrated,full,0.8,0.0004,119,60,0.5042,0.8000,0.0005,120,60,0.5,0.8,-0.000100,-1.000000,0.000000,0.004200,0.000000
XGBoost[Raw + TabPFN + TabICL embeddings],full,0.8,0.0797,116,60,0.5172,0.8000,0.0939,87,60,0.6897,0.8,-0.014200,29.000000,0.000000,-0.172500,0.000000
XGBoost[Raw + TabPFN + TabICL embeddings] Cali...,full,0.8,0.0004,178,60,0.3371,0.8000,0.0005,112,60,0.5357,0.8,-0.000100,66.000000,0.000000,-0.198600,0.000000
XGBoost[Raw + TabPFN embeddings],full,0.8,0.0011,462,60,0.1299,0.8000,0.1122,137,60,0.438,0.8,-0.111100,325.000000,0.000000,-0.308100,0.000000
XGBoost[Raw + TabPFN embeddings] Calibrated,full,0.8,0.0003,309,60,0.1942,0.8000,0.0036,92,60,0.6522,0.8,-0.003300,217.000000,0.000000,-0.458000,0.000000
XGBoost[Raw all-history incumbent],full,0.8,0.0594,94,60,0.6383,0.8000,0.1529,95,60,0.6316,0.8,-0.093500,-1.000000,0.000000,0.006700,0.000000
XGBoost[Raw all-history incumbent] Calibrated,full,0.8,0.0004,117,60,0.5128,0.8000,0.0005,147,60,0.4082,0.8,-0.000100,-30.000000,0.000000,0.104600,0.000000
XGBoost[Raw],full,0.8,0.0121,109,60,0.5505,0.8000,0.0117,116,60,0.5172,0.8,0.000400,-7.000000,0.000000,0.033300,0.000000
XGBoost[Raw] Calibrated,full,0.8,0.0004,134,60,0.4478,0.8000,0.0004,95,60,0.6316,0.8,0.000000,39.000000,0.000000,-0.183800,0.000000
Dummy[Raw],full,0.9,0.0015,48140,68,0.0014,0.9067,0.0015,48140,68,0.0014,0.9067,0.000000,0.000000,0.000000,0.000000,0.000000
XGBoost[Raw + TabICL embeddings],full,0.9,0.0023,1087,68,0.0626,0.9067,0.0028,903,68,0.0753,0.9067,-0.000500,184.000000,0.000000,-0.012700,0.000000
XGBoost[Raw + TabICL embeddings] Calibrated,full,0.9,0.0003,1426,68,0.0477,0.9067,0.0003,1501,68,0.0453,0.9067,0.000000,-75.000000,0.000000,0.002400,0.000000
