Model,Feature Set,Calibration,Timing Notes
XGBoost[Raw + TabICL embeddings],Raw + TabICL embeddings,none,rolling chronological tuning + final pre-holdo...
XGBoost[Raw all-history incumbent],Raw all-history incumbent,none,raw all-history rolling chronological tuning +...
XGBoost[Raw + TabICL embeddings] Calibrated,Raw + TabICL embeddings,sigmoid,validation tuning + train/validation base fit ...
XGBoost[Raw + TabPFN + TabICL embeddings],Raw + TabPFN + TabICL embeddings,none,rolling chronological tuning + final pre-holdo...
XGBoost[Raw all-history incumbent] Calibrated,Raw all-history incumbent,sigmoid,validation tuning + train/validation base fit ...
XGBoost[Raw] Calibrated,Raw,sigmoid,validation tuning + train/validation base fit ...
XGBoost[Raw + TabPFN + TabICL embeddings] Cali...,Raw + TabPFN + TabICL embeddings,sigmoid,validation tuning + train/validation base fit ...
XGBoost[Raw],Raw,none,rolling chronological tuning + final pre-holdo...
XGBoost[Raw + TabPFN embeddings],Raw + TabPFN embeddings,none,rolling chronological tuning + final pre-holdo...
XGBoost[Raw + TabPFN embeddings] Calibrated,Raw + TabPFN embeddings,sigmoid,validation tuning + train/validation base fit ...
Dummy[Raw],Raw,none,simple baseline fit on pre-holdout data
