Model,Base Model,Family,Feature Set,Embedding Source,Calibration,Holdout,Rows,Fraud Rate,Average Precision,Top 0.5% Alerts,Top 0.5% Precision,Top 0.5% Recall,Top 1% Alerts,Top 1% Precision,Top 1% Recall,CV/Validation Average Precision,ROC AUC,Log Loss,Brier Score,ECE Quantile 10,Shared Feature Prep Seconds,Feature Prep Seconds,Fit Seconds,Calibration Seconds,Predict Seconds,Total Seconds,Workflow Seconds,Timing Notes,Best Params,Error
XGBoost[Raw + TabPFN + TabICL embeddings],XGBoost,classical,Raw + TabPFN + TabICL embeddings,TabPFN+TabICL,none,full,56962,0.001316667251852112,0.8168776091703656,285,0.23157894736842105,0.88,570,0.11578947368421053,0.88,0.7837217687728677,0.9836658639056375,0.0024740534063512776,0.00038246326211827765,0.0002777706938812373,501.02453945300067,501.02453945300067,1371.6668264699997,0.0,3.1617555459997675,1374.8285820159995,1875.8531214690001,rolling chronological tuning + final pre-holdout refit; shared offline embedding feature prep,"{'colsample_bytree': 0.9518600387910157, 'learning_rate': 0.146501361250436, 'max_delta_step': 5, 'max_depth': 2, 'min_child_weight': 0.35015835937028994, 'n_estimators': 482, 'reg_alpha': 0.013662775841358913, 'reg_lambda': 10.624824455988376, 'scale_pos_weight': 1.0, 'subsample': 0.8261953145395072}",
XGBoost[Raw all-history incumbent],XGBoost,classical_incumbent,Raw all-history incumbent,none,none,full,56962,0.001316667251852112,0.8096536713939018,285,0.22456140350877193,0.8533333333333334,570,0.11228070175438597,0.8533333333333334,0.7973692502289911,0.983270225769215,0.002824181426903597,0.0004243075158720774,0.00010427372043607744,0.0,0.0,167.668837059,0.0,0.18330657599994993,167.85214363499995,167.85214363499995,raw all-history rolling chronological tuning + final pre-holdout refit,"{'colsample_bytree': 0.9277873831095045, 'learning_rate': 0.11302776566627892, 'max_delta_step': 5, 'max_depth': 5, 'min_child_weight': 7.604077403300609, 'n_estimators': 839, 'reg_alpha': 0.03879330247154566, 'reg_lambda': 11.888019495707809, 'scale_pos_weight': 518.1770833333334, 'subsample': 0.8352665877625647}",
XGBoost[Raw + TabPFN + TabICL embeddings] Calibration Base,XGBoost,classical_calibration_base,Raw + TabPFN + TabICL embeddings,TabPFN+TabICL,none_calibration_base,full,56962,0.001316667251852112,0.8069232737982728,285,0.22456140350877193,0.8533333333333334,570,0.11754385964912281,0.8933333333333333,0.7837217687728677,0.9759980311846291,0.0027550607670054307,0.00040688432893768323,0.00031587535595728195,501.02453945300067,501.02453945300067,1370.3254136199998,0.0,3.1209047980000832,1373.446318418,1874.4708578710006,validation tuning + train/validation base fit without calibration-window labels; shared offline embedding feature prep,"{'colsample_bytree': 0.9518600387910157, 'learning_rate': 0.146501361250436, 'max_delta_step': 5, 'max_depth': 2, 'min_child_weight': 0.35015835937028994, 'n_estimators': 482, 'reg_alpha': 0.013662775841358913, 'reg_lambda': 10.624824455988376, 'scale_pos_weight': 1.0, 'subsample': 0.8261953145395072}",
XGBoost[Raw + TabPFN + TabICL embeddings] Calibrated,XGBoost,classical_calibrated,Raw + TabPFN + TabICL embeddings,TabPFN+TabICL,sigmoid,full,56962,0.001316667251852112,0.8069232737982727,285,0.22456140350877193,0.8533333333333334,570,0.11754385964912281,0.8933333333333333,0.7837217687728677,0.9759980311846291,0.003419597028105106,0.00045198775507168605,0.0005103449493803016,501.02453945300067,501.02453945300067,1363.2218076240001,13.234914638000191,14.454565376000573,1390.9112876380009,1891.9358270910016,validation tuning + train/validation base fit + separate calibration-window sigmoid calibration; shared offline embedding feature prep,"{'colsample_bytree': 0.9518600387910157, 'learning_rate': 0.146501361250436, 'max_delta_step': 5, 'max_depth': 2, 'min_child_weight': 0.35015835937028994, 'n_estimators': 482, 'reg_alpha': 0.013662775841358913, 'reg_lambda': 10.624824455988376, 'scale_pos_weight': 1.0, 'subsample': 0.8261953145395072}",
XGBoost[Raw] Calibration Base,XGBoost,classical_calibration_base,Raw,none,none_calibration_base,full,56962,0.001316667251852112,0.8047194181315084,285,0.22105263157894736,0.84,570,0.11228070175438597,0.8533333333333334,0.7796175963564582,0.9780446616391559,0.002835099775129361,0.00039621582077160997,0.00020931176735530436,0.0,0.0,140.65758348300005,0.0,0.1589227239999218,140.81650620699997,140.81650620699997,validation tuning + train/validation base fit without calibration-window labels,"{'colsample_bytree': 0.9625096444474498, 'learning_rate': 0.03843694025082197, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 2.878805718308924, 'n_estimators': 746, 'reg_alpha': 0.022965432344634346, 'reg_lambda': 0.19781054912383753, 'scale_pos_weight': 25.026505772668852, 'subsample': 0.962228456066521}",
XGBoost[Raw] Calibrated,XGBoost,classical_calibrated,Raw,none,sigmoid,full,56962,0.001316667251852112,0.8047194181315083,285,0.22105263157894736,0.84,570,0.11228070175438597,0.8533333333333334,0.7796175963564582,0.978044661639156,0.0032871756318691167,0.00042195374481065177,0.0003564682139509227,0.0,0.0,138.95789359900004,2.040183986000102,0.6326166910000666,141.6306942760002,141.6306942760002,validation tuning + train/validation base fit + separate calibration-window sigmoid calibration,"{'colsample_bytree': 0.9625096444474498, 'learning_rate': 0.03843694025082197, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 2.878805718308924, 'n_estimators': 746, 'reg_alpha': 0.022965432344634346, 'reg_lambda': 0.19781054912383753, 'scale_pos_weight': 25.026505772668852, 'subsample': 0.962228456066521}",
XGBoost[Raw],XGBoost,classical,Raw,none,none,full,56962,0.001316667251852112,0.803442885071673,285,0.22105263157894736,0.84,570,0.11403508771929824,0.8666666666666667,0.7796175963564582,0.9844412021492902,0.0027675186758340867,0.00040268014527582695,0.0002312089715444221,0.0,0.0,140.82766912300008,0.0,0.15956613599996672,140.98723525900004,140.98723525900004,rolling chronological tuning + final pre-holdout refit,"{'colsample_bytree': 0.9625096444474498, 'learning_rate': 0.03843694025082197, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 2.878805718308924, 'n_estimators': 746, 'reg_alpha': 0.022965432344634346, 'reg_lambda': 0.19781054912383753, 'scale_pos_weight': 25.026505772668852, 'subsample': 0.962228456066521}",
XGBoost[Raw all-history incumbent] Calibrated,XGBoost,classical_incumbent_calibrated,Raw all-history incumbent,none,sigmoid,full,56962,0.001316667251852112,0.7996571568773623,285,0.22456140350877193,0.8533333333333334,570,0.11403508771929824,0.8666666666666667,0.7973692502289911,0.97634538646791,0.0031742643982016127,0.0004072162665279853,0.0002744498373590165,0.0,0.0,165.550795333,2.2763869919999706,0.6124830079997992,168.43966533299977,168.43966533299977,validation tuning + train/validation base fit + separate calibration-window sigmoid calibration,"{'colsample_bytree': 0.9277873831095045, 'learning_rate': 0.11302776566627892, 'max_delta_step': 5, 'max_depth': 5, 'min_child_weight': 7.604077403300609, 'n_estimators': 839, 'reg_alpha': 0.03879330247154566, 'reg_lambda': 11.888019495707809, 'scale_pos_weight': 518.1770833333334, 'subsample': 0.8352665877625647}",
XGBoost[Raw all-history incumbent] Calibration Base,XGBoost,classical_incumbent_calibration_base,Raw all-history incumbent,none,none_calibration_base,full,56962,0.001316667251852112,0.7996571568773622,285,0.22456140350877193,0.8533333333333334,570,0.11403508771929824,0.8666666666666667,0.7973692502289911,0.97634538646791,0.0030608989564353023,0.00044737748415791287,0.0001776237050814681,0.0,0.0,167.51165644699995,0.0,0.1576068040001246,167.66926325100007,167.66926325100007,validation tuning + train/validation base fit without calibration-window labels,"{'colsample_bytree': 0.9277873831095045, 'learning_rate': 0.11302776566627892, 'max_delta_step': 5, 'max_depth': 5, 'min_child_weight': 7.604077403300609, 'n_estimators': 839, 'reg_alpha': 0.03879330247154566, 'reg_lambda': 11.888019495707809, 'scale_pos_weight': 518.1770833333334, 'subsample': 0.8352665877625647}",
XGBoost[Raw + TabICL embeddings] Calibration Base,XGBoost,classical_calibration_base,Raw + TabICL embeddings,TabICL,none_calibration_base,full,56962,0.001316667251852112,0.7977784026490722,285,0.22105263157894736,0.84,570,0.11228070175438597,0.8533333333333334,0.7781695469540796,0.9729215227849362,0.002719194721831657,0.0004453295441756841,0.00035895509301203015,124.44197612800053,124.44197612800053,1021.0983342049999,0.0,2.3684179889996813,1023.4667521939996,1147.9087283220001,validation tuning + train/validation base fit without calibration-window labels; shared offline embedding feature prep,"{'colsample_bytree': 0.7903053218135011, 'learning_rate': 0.16201847221720986, 'max_delta_step': 0, 'max_depth': 2, 'min_child_weight': 0.1625505785817306, 'n_estimators': 227, 'reg_alpha': 0.0012365229635509147, 'reg_lambda': 1.0758349396810416, 'scale_pos_weight': 25.026505772668852, 'subsample': 0.8848355604789127}",
