Model,Holdout,alert_type,alert_value,alerts,frauds_found,precision,recall
Dummy[Raw],sampled,top_rate,0.005,101,0,0.0,0.0
Dummy[Raw],sampled,top_rate,0.01,201,0,0.0,0.0
Dummy[Raw],sampled,top_rate,0.02,402,0,0.0,0.0
Dummy[Raw],sampled,top_rate,0.05,1004,4,0.003984064,0.053333333
Dummy[Raw],sampled,top_count,100.0,100,0,0.0,0.0
Dummy[Raw],sampled,top_count,250.0,250,0,0.0,0.0
Dummy[Raw],sampled,top_count,500.0,500,0,0.0,0.0
Dummy[Raw],sampled,top_count,1000.0,1000,4,0.004,0.053333333
Dummy[Raw],full,top_rate,0.005,285,0,0.0,0.0
Dummy[Raw],full,top_rate,0.01,570,0,0.0,0.0
Dummy[Raw],full,top_rate,0.02,1140,0,0.0,0.0
Dummy[Raw],full,top_rate,0.05,2849,4,0.001404001,0.053333333
Dummy[Raw],full,top_count,100.0,100,0,0.0,0.0
Dummy[Raw],full,top_count,250.0,250,0,0.0,0.0
Dummy[Raw],full,top_count,500.0,500,0,0.0,0.0
Dummy[Raw],full,top_count,1000.0,1000,0,0.0,0.0
XGBoost[Raw all-history incumbent],sampled,top_rate,0.005,101,63,0.623762376,0.84
XGBoost[Raw all-history incumbent],sampled,top_rate,0.01,201,64,0.31840796,0.853333333
XGBoost[Raw all-history incumbent],sampled,top_rate,0.02,402,68,0.169154229,0.906666667
XGBoost[Raw all-history incumbent],sampled,top_rate,0.05,1004,69,0.0687251,0.92
XGBoost[Raw all-history incumbent],sampled,top_count,100.0,100,63,0.63,0.84
XGBoost[Raw all-history incumbent],sampled,top_count,250.0,250,64,0.256,0.853333333
XGBoost[Raw all-history incumbent],sampled,top_count,500.0,500,68,0.136,0.906666667
XGBoost[Raw all-history incumbent],sampled,top_count,1000.0,1000,69,0.069,0.92
XGBoost[Raw all-history incumbent],full,top_rate,0.005,285,64,0.224561404,0.853333333
XGBoost[Raw all-history incumbent],full,top_rate,0.01,570,64,0.112280702,0.853333333
