feature,dtype,missing_rate,n_unique
V1,float64,0.0,275663
V2,float64,0.0,275663
V3,float64,0.0,275663
V4,float64,0.0,275663
V5,float64,0.0,275663
V6,float64,0.0,275663
V7,float64,0.0,275663
V8,float64,0.0,275663
V9,float64,0.0,275663
V10,float64,0.0,275663
V11,float64,0.0,275663
V12,float64,0.0,275663
V13,float64,0.0,275663
V14,float64,0.0,275663
V15,float64,0.0,275663
V16,float64,0.0,275663
V17,float64,0.0,275663
V18,float64,0.0,275663
V19,float64,0.0,275663
V20,float64,0.0,275663
V21,float64,0.0,275663
V22,float64,0.0,275663
V23,float64,0.0,275663
V24,float64,0.0,275663
V25,float64,0.0,275663
V26,float64,0.0,275663
V27,float64,0.0,275663
V28,float64,0.0,275663
Time,float64,0.0,124592
Amount,float64,0.0,32767
