Model,Base Model,Family,Feature Set,Embedding Source,Calibration,Holdout,Rows,Fraud Rate,Average Precision,Top 0.5% Alerts,Top 0.5% Precision,Top 0.5% Recall,Top 1% Alerts,Top 1% Precision,Top 1% Recall,CV/Validation Average Precision,ROC AUC,Log Loss,Brier Score,ECE Quantile 10,Shared Feature Prep Seconds,Feature Prep Seconds,Fit Seconds,Calibration Seconds,Predict Seconds,Total Seconds,Workflow Seconds,Timing Notes,Best Params,Error
XGBoost[Raw all-history incumbent],XGBoost,classical_incumbent,Raw all-history incumbent,none,none,full,56962,0.001316667251852112,0.8096536713939018,285,0.22456140350877193,0.8533333333333334,570,0.11228070175438597,0.8533333333333334,0.7973692502289911,0.983270225769215,0.002824181426903597,0.0004243075158720774,0.00010427372043607744,0.0,0.0,166.30526136200024,0.0,0.17220472000008158,166.47746608200032,166.47746608200032,raw all-history rolling chronological tuning + final pre-holdout refit,"{'colsample_bytree': 0.9277873831095045, 'learning_rate': 0.11302776566627892, 'max_delta_step': 5, 'max_depth': 5, 'min_child_weight': 7.604077403300609, 'n_estimators': 839, 'reg_alpha': 0.03879330247154566, 'reg_lambda': 11.888019495707809, 'scale_pos_weight': 518.1770833333334, 'subsample': 0.8352665877625647}",
XGBoost[Raw] Calibration Base,XGBoost,classical_calibration_base,Raw,none,none_calibration_base,full,56962,0.001316667251852112,0.8047194181315084,285,0.22105263157894736,0.84,570,0.11228070175438597,0.8533333333333334,0.7796175963564582,0.9780446616391559,0.002835099775129361,0.00039621582077160997,0.00020931176735530436,0.0,0.0,138.93387066499963,0.0,0.15907888999981878,139.09294955499945,139.09294955499945,validation tuning + train/validation base fit without calibration-window labels,"{'colsample_bytree': 0.9625096444474498, 'learning_rate': 0.03843694025082197, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 2.878805718308924, 'n_estimators': 746, 'reg_alpha': 0.022965432344634346, 'reg_lambda': 0.19781054912383753, 'scale_pos_weight': 25.026505772668852, 'subsample': 0.962228456066521}",
XGBoost[Raw] Calibrated,XGBoost,classical_calibrated,Raw,none,sigmoid,full,56962,0.001316667251852112,0.8047194181315083,285,0.22105263157894736,0.84,570,0.11228070175438597,0.8533333333333334,0.7796175963564582,0.978044661639156,0.0032871756318691167,0.00042195374481065177,0.0003564682139509227,0.0,0.0,137.25098695899987,2.012090084999727,0.6364373040000828,139.89951434799968,139.89951434799968,validation tuning + train/validation base fit + separate calibration-window sigmoid calibration,"{'colsample_bytree': 0.9625096444474498, 'learning_rate': 0.03843694025082197, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 2.878805718308924, 'n_estimators': 746, 'reg_alpha': 0.022965432344634346, 'reg_lambda': 0.19781054912383753, 'scale_pos_weight': 25.026505772668852, 'subsample': 0.962228456066521}",
XGBoost[Raw],XGBoost,classical,Raw,none,none,full,56962,0.001316667251852112,0.803442885071673,285,0.22105263157894736,0.84,570,0.11403508771929824,0.8666666666666667,0.7796175963564582,0.9844412021492902,0.0027675186758340867,0.00040268014527582695,0.0002312089715444221,0.0,0.0,139.0876122359996,0.0,0.16051189700010582,139.2481241329997,139.2481241329997,rolling chronological tuning + final pre-holdout refit,"{'colsample_bytree': 0.9625096444474498, 'learning_rate': 0.03843694025082197, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 2.878805718308924, 'n_estimators': 746, 'reg_alpha': 0.022965432344634346, 'reg_lambda': 0.19781054912383753, 'scale_pos_weight': 25.026505772668852, 'subsample': 0.962228456066521}",
XGBoost[Raw all-history incumbent] Calibrated,XGBoost,classical_incumbent_calibrated,Raw all-history incumbent,none,sigmoid,full,56962,0.001316667251852112,0.7996571568773623,285,0.22456140350877193,0.8533333333333334,570,0.11403508771929824,0.8666666666666667,0.7973692502289911,0.97634538646791,0.0031742643982016127,0.0004072162665279853,0.0002744498373590165,0.0,0.0,164.20000373100038,2.238876770999923,0.6355804660001922,167.0744609680005,167.0744609680005,validation tuning + train/validation base fit + separate calibration-window sigmoid calibration,"{'colsample_bytree': 0.9277873831095045, 'learning_rate': 0.11302776566627892, 'max_delta_step': 5, 'max_depth': 5, 'min_child_weight': 7.604077403300609, 'n_estimators': 839, 'reg_alpha': 0.03879330247154566, 'reg_lambda': 11.888019495707809, 'scale_pos_weight': 518.1770833333334, 'subsample': 0.8352665877625647}",
XGBoost[Raw all-history incumbent] Calibration Base,XGBoost,classical_incumbent_calibration_base,Raw all-history incumbent,none,none_calibration_base,full,56962,0.001316667251852112,0.7996571568773622,285,0.22456140350877193,0.8533333333333334,570,0.11403508771929824,0.8666666666666667,0.7973692502289911,0.97634538646791,0.0030608989564353023,0.00044737748415791287,0.0001776237050814681,0.0,0.0,166.1238528050003,0.0,0.1538428680000834,166.27769567300038,166.27769567300038,validation tuning + train/validation base fit without calibration-window labels,"{'colsample_bytree': 0.9277873831095045, 'learning_rate': 0.11302776566627892, 'max_delta_step': 5, 'max_depth': 5, 'min_child_weight': 7.604077403300609, 'n_estimators': 839, 'reg_alpha': 0.03879330247154566, 'reg_lambda': 11.888019495707809, 'scale_pos_weight': 518.1770833333334, 'subsample': 0.8352665877625647}",
XGBoost[Raw + TabICL embeddings] Calibration Base,XGBoost,classical_calibration_base,Raw + TabICL embeddings,TabICL,none_calibration_base,full,56962,0.001316667251852112,0.7977784009085886,285,0.22105263157894736,0.84,570,0.11228070175438597,0.8533333333333334,0.7781695469540795,0.972921288402154,0.002719194474758636,0.00044532955672072524,0.00035895555218641643,120.34909247299947,120.34909247299947,1011.2789577409999,0.0,2.1570355890007704,1013.4359933300007,1133.7850858030001,validation tuning + train/validation base fit without calibration-window labels; shared offline embedding feature prep,"{'colsample_bytree': 0.7903053218135011, 'learning_rate': 0.16201847221720986, 'max_delta_step': 0, 'max_depth': 2, 'min_child_weight': 0.1625505785817306, 'n_estimators': 227, 'reg_alpha': 0.0012365229635509147, 'reg_lambda': 1.0758349396810416, 'scale_pos_weight': 25.026505772668852, 'subsample': 0.8848355604789127}",
XGBoost[Raw + TabICL embeddings] Calibrated,XGBoost,classical_calibrated,Raw + TabICL embeddings,TabICL,sigmoid,full,56962,0.001316667251852112,0.7977784009085884,285,0.22105263157894736,0.84,570,0.11228070175438597,0.8533333333333334,0.7781695469540795,0.972921288402154,0.003090991598009541,0.0004304929462390972,0.0002984111740374939,120.34909247299947,120.34909247299947,1008.6306710909998,7.493950478000443,10.729721540000355,1026.8543431090006,1147.203435582,validation tuning + train/validation base fit + separate calibration-window sigmoid calibration; shared offline embedding feature prep,"{'colsample_bytree': 0.7903053218135011, 'learning_rate': 0.16201847221720986, 'max_delta_step': 0, 'max_depth': 2, 'min_child_weight': 0.1625505785817306, 'n_estimators': 227, 'reg_alpha': 0.0012365229635509147, 'reg_lambda': 1.0758349396810416, 'scale_pos_weight': 25.026505772668852, 'subsample': 0.8848355604789127}",
XGBoost[Raw + TabICL embeddings],XGBoost,classical,Raw + TabICL embeddings,TabICL,none,full,56962,0.001316667251852112,0.7970291142277164,285,0.21754385964912282,0.8266666666666667,570,0.11929824561403508,0.9066666666666666,0.7781695469540795,0.981023901184219,0.0025834226640038165,0.00045125018951965885,0.0004847094886559772,120.34909247299947,120.34909247299947,1011.6274721140003,0.0,2.171435459999884,1013.7989075740002,1134.1480000469996,rolling chronological tuning + final pre-holdout refit; shared offline embedding feature prep,"{'colsample_bytree': 0.7903053218135011, 'learning_rate': 0.16201847221720986, 'max_delta_step': 0, 'max_depth': 2, 'min_child_weight': 0.1625505785817306, 'n_estimators': 227, 'reg_alpha': 0.0012365229635509147, 'reg_lambda': 1.0758349396810416, 'scale_pos_weight': 25.026505772668852, 'subsample': 0.8848355604789127}",
XGBoost[Raw + TabPFN embeddings],XGBoost,classical,Raw + TabPFN embeddings,TabPFN,none,full,56962,0.001316667251852112,0.7908612992480595,285,0.21052631578947367,0.8,570,0.11052631578947368,0.84,0.7894373196063951,0.986006175986312,0.002499646073639205,0.0003807315594607837,0.0001839700356197116,373.1913336930006,373.1913336930006,451.23864132000017,0.0,0.9114019449998523,452.150043265,825.3413769580006,rolling chronological tuning + final pre-holdout refit; shared offline embedding feature prep,"{'colsample_bytree': 0.9787160975551121, 'learning_rate': 0.030310114166357094, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 7.18848093363432, 'n_estimators': 696, 'reg_alpha': 0.05805302225953136, 'reg_lambda': 2.616000600229115, 'scale_pos_weight': 1.0, 'subsample': 0.768836564001532}",
