Model,Base Model,Family,Feature Set,Embedding Source,Calibration,Holdout,Rows,Fraud Rate,Average Precision,Top 0.5% Alerts,Top 0.5% Precision,Top 0.5% Recall,Top 1% Alerts,Top 1% Precision,Top 1% Recall,CV/Validation Average Precision,ROC AUC,Log Loss,Brier Score,ECE Quantile 10,Shared Feature Prep Seconds,Feature Prep Seconds,Fit Seconds,Calibration Seconds,Predict Seconds,Total Seconds,Workflow Seconds,Timing Notes,Best Params,Error
XGBoost[Raw all-history incumbent],XGBoost,classical_incumbent,Raw all-history incumbent,none,none,full,56962,0.001316667251852112,0.8096536713939018,285,0.22456140350877193,0.8533333333333334,570,0.11228070175438597,0.8533333333333334,0.7973692502289911,0.983270225769215,0.002824181426903597,0.0004243075158720774,0.00010427372043607744,0.0,0.0,166.11469852799996,0.0,0.16867093200016825,166.28336946000013,166.28336946000013,raw all-history rolling chronological tuning + final pre-holdout refit,"{'colsample_bytree': 0.9277873831095045, 'learning_rate': 0.11302776566627892, 'max_delta_step': 5, 'max_depth': 5, 'min_child_weight': 7.604077403300609, 'n_estimators': 839, 'reg_alpha': 0.03879330247154566, 'reg_lambda': 11.888019495707809, 'scale_pos_weight': 518.1770833333334, 'subsample': 0.8352665877625647}",
XGBoost[Raw] Calibration Base,XGBoost,classical_calibration_base,Raw,none,none_calibration_base,full,56962,0.001316667251852112,0.8047194181315084,285,0.22105263157894736,0.84,570,0.11228070175438597,0.8533333333333334,0.7809144670826111,0.9780446616391559,0.002835099775129361,0.00039621582077160997,0.00020931176735530436,0.0,0.0,139.55479299599983,0.0,0.16631592400017325,139.72110892,139.72110892,validation tuning + train/validation base fit without calibration-window labels,"{'colsample_bytree': 0.9625096444474498, 'learning_rate': 0.03843694025082197, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 2.878805718308924, 'n_estimators': 746, 'reg_alpha': 0.022965432344634346, 'reg_lambda': 0.19781054912383753, 'scale_pos_weight': 25.026505772668852, 'subsample': 0.962228456066521}",
XGBoost[Raw] Calibrated,XGBoost,classical_calibrated,Raw,none,sigmoid,full,56962,0.001316667251852112,0.8047194181315083,285,0.22105263157894736,0.84,570,0.11228070175438597,0.8533333333333334,0.7809144670826111,0.978044661639156,0.0032871756318691167,0.00042195374481065177,0.0003564682139509227,0.0,0.0,137.88388650699994,2.036540384999853,0.696830663000128,140.61725755499992,140.61725755499992,validation tuning + train/validation base fit + separate calibration-window sigmoid calibration,"{'colsample_bytree': 0.9625096444474498, 'learning_rate': 0.03843694025082197, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 2.878805718308924, 'n_estimators': 746, 'reg_alpha': 0.022965432344634346, 'reg_lambda': 0.19781054912383753, 'scale_pos_weight': 25.026505772668852, 'subsample': 0.962228456066521}",
XGBoost[Raw],XGBoost,classical,Raw,none,none,full,56962,0.001316667251852112,0.803442885071673,285,0.22105263157894736,0.84,570,0.11403508771929824,0.8666666666666667,0.7809144670826111,0.9844412021492902,0.0027675186758340867,0.00040268014527582695,0.0002312089715444221,0.0,0.0,139.72124058600002,0.0,0.1708320409998123,139.89207262699983,139.89207262699983,rolling chronological tuning + final pre-holdout refit,"{'colsample_bytree': 0.9625096444474498, 'learning_rate': 0.03843694025082197, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 2.878805718308924, 'n_estimators': 746, 'reg_alpha': 0.022965432344634346, 'reg_lambda': 0.19781054912383753, 'scale_pos_weight': 25.026505772668852, 'subsample': 0.962228456066521}",
XGBoost[Raw all-history incumbent] Calibrated,XGBoost,classical_incumbent_calibrated,Raw all-history incumbent,none,sigmoid,full,56962,0.001316667251852112,0.7996571568773623,285,0.22456140350877193,0.8533333333333334,570,0.11403508771929824,0.8666666666666667,0.7973692502289911,0.97634538646791,0.0031742643982016127,0.0004072162665279853,0.0002744498373590165,0.0,0.0,164.03179408999995,2.250794952999968,0.7097360929999468,166.99232513599986,166.99232513599986,validation tuning + train/validation base fit + separate calibration-window sigmoid calibration,"{'colsample_bytree': 0.9277873831095045, 'learning_rate': 0.11302776566627892, 'max_delta_step': 5, 'max_depth': 5, 'min_child_weight': 7.604077403300609, 'n_estimators': 839, 'reg_alpha': 0.03879330247154566, 'reg_lambda': 11.888019495707809, 'scale_pos_weight': 518.1770833333334, 'subsample': 0.8352665877625647}",
XGBoost[Raw all-history incumbent] Calibration Base,XGBoost,classical_incumbent_calibration_base,Raw all-history incumbent,none,none_calibration_base,full,56962,0.001316667251852112,0.7996571568773622,285,0.22456140350877193,0.8533333333333334,570,0.11403508771929824,0.8666666666666667,0.7973692502289911,0.97634538646791,0.0030608989564353023,0.00044737748415791287,0.0001776237050814681,0.0,0.0,165.93502464999983,0.0,0.17500602200016147,166.110030672,166.110030672,validation tuning + train/validation base fit without calibration-window labels,"{'colsample_bytree': 0.9277873831095045, 'learning_rate': 0.11302776566627892, 'max_delta_step': 5, 'max_depth': 5, 'min_child_weight': 7.604077403300609, 'n_estimators': 839, 'reg_alpha': 0.03879330247154566, 'reg_lambda': 11.888019495707809, 'scale_pos_weight': 518.1770833333334, 'subsample': 0.8352665877625647}",
XGBoost[Raw + TabICL embeddings] Calibration Base,XGBoost,classical_calibration_base,Raw + TabICL embeddings,TabICL,none_calibration_base,full,56962,0.001316667251852112,0.7977784026490722,285,0.22105263157894736,0.84,570,0.11228070175438597,0.8533333333333334,0.7781695469540796,0.9729215227849362,0.002719194721831657,0.0004453295441756841,0.00035895509301203015,122.14484560099982,122.14484560099982,1065.7844025509999,0.0,2.1742520359998707,1067.9586545869997,1190.1035001879995,validation tuning + train/validation base fit without calibration-window labels; shared offline embedding feature prep,"{'colsample_bytree': 0.7903053218135011, 'learning_rate': 0.16201847221720986, 'max_delta_step': 0, 'max_depth': 2, 'min_child_weight': 0.1625505785817306, 'n_estimators': 227, 'reg_alpha': 0.0012365229635509147, 'reg_lambda': 1.0758349396810416, 'scale_pos_weight': 25.026505772668852, 'subsample': 0.8848355604789127}",
XGBoost[Raw + TabICL embeddings] Calibrated,XGBoost,classical_calibrated,Raw + TabICL embeddings,TabICL,sigmoid,full,56962,0.001316667251852112,0.7977784026490721,285,0.22105263157894736,0.84,570,0.11228070175438597,0.8533333333333334,0.7781695469540796,0.9729215227849362,0.0030909417976321056,0.000430449510666846,0.00029838420784556363,122.14484560099982,122.14484560099982,1062.885361448,7.7749997879996045,11.358142926000255,1082.0185041619998,1204.1633497629996,validation tuning + train/validation base fit + separate calibration-window sigmoid calibration; shared offline embedding feature prep,"{'colsample_bytree': 0.7903053218135011, 'learning_rate': 0.16201847221720986, 'max_delta_step': 0, 'max_depth': 2, 'min_child_weight': 0.1625505785817306, 'n_estimators': 227, 'reg_alpha': 0.0012365229635509147, 'reg_lambda': 1.0758349396810416, 'scale_pos_weight': 25.026505772668852, 'subsample': 0.8848355604789127}",
XGBoost[Raw + TabICL embeddings],XGBoost,classical,Raw + TabICL embeddings,TabICL,none,full,56962,0.001316667251852112,0.7970291142277164,285,0.21754385964912282,0.8266666666666667,570,0.11929824561403508,0.9066666666666666,0.7781695469540796,0.981023901184219,0.0025834227459669273,0.0004512501974756992,0.00048470947003594284,122.14484560099982,122.14484560099982,1066.3300586149999,0.0,2.4376287000000048,1068.7676873149999,1190.9125329159997,rolling chronological tuning + final pre-holdout refit; shared offline embedding feature prep,"{'colsample_bytree': 0.7903053218135011, 'learning_rate': 0.16201847221720986, 'max_delta_step': 0, 'max_depth': 2, 'min_child_weight': 0.1625505785817306, 'n_estimators': 227, 'reg_alpha': 0.0012365229635509147, 'reg_lambda': 1.0758349396810416, 'scale_pos_weight': 25.026505772668852, 'subsample': 0.8848355604789127}",
Dummy[Raw],Dummy,baseline,Raw,none,none,full,56962,0.001316667251852112,0.001316667251852112,285,0.0,0.0,570,0.0,0.0,,0.5,0.010063268088758511,0.0013149755956403425,0.0006378450124646141,0.0,0.0,0.07931452000002537,0.0,0.24019869399990057,0.31951321399992594,0.31951321399992594,simple baseline fit on pre-holdout data,,
