Model,Base Model,Feature Set,Calibration,Holdout,Rows,Average Precision,Brier Score,Shared Feature Prep Seconds,Total Seconds,Workflow Seconds
XGBoost[Raw all-history incumbent],XGBoost,Raw all-history incumbent,none,full,56962,0.809653671,0.000424308,0.0,166.2833695,166.2833695
XGBoost[Raw] Calibration Base,XGBoost,Raw,none_calibration_base,full,56962,0.804719418,0.000396216,0.0,139.7211089,139.7211089
XGBoost[Raw] Calibrated,XGBoost,Raw,sigmoid,full,56962,0.804719418,0.000421954,0.0,140.6172576,140.6172576
XGBoost[Raw],XGBoost,Raw,none,full,56962,0.803442885,0.00040268,0.0,139.8920726,139.8920726
XGBoost[Raw all-history incumbent] Calibrated,XGBoost,Raw all-history incumbent,sigmoid,full,56962,0.799657157,0.000407216,0.0,166.9923251,166.9923251
XGBoost[Raw all-history incumbent] Calibration Base,XGBoost,Raw all-history incumbent,none_calibration_base,full,56962,0.799657157,0.000447377,0.0,166.1100307,166.1100307
XGBoost[Raw + TabICL embeddings] Calibration Base,XGBoost,Raw + TabICL embeddings,none_calibration_base,full,56962,0.797778403,0.00044533,122.1448456,1067.958655,1190.1035
XGBoost[Raw + TabICL embeddings] Calibrated,XGBoost,Raw + TabICL embeddings,sigmoid,full,56962,0.797778403,0.00043045,122.1448456,1082.018504,1204.16335
XGBoost[Raw + TabICL embeddings],XGBoost,Raw + TabICL embeddings,none,full,56962,0.797029114,0.00045125,122.1448456,1068.767687,1190.912533
XGBoost[Raw all-history incumbent],XGBoost,Raw all-history incumbent,none,sampled,20075,0.841097502,0.000987067,0.0,166.1955065,166.1955065
XGBoost[Raw],XGBoost,Raw,none,sampled,20075,0.836365968,0.001070494,0.0,139.8027853,139.8027853
XGBoost[Raw + TabICL embeddings],XGBoost,Raw + TabICL embeddings,none,sampled,20075,0.835654301,0.001079198,122.1448456,1067.110601,1189.255447
XGBoost[Raw all-history incumbent] Calibration Base,XGBoost,Raw all-history incumbent,none_calibration_base,sampled,20075,0.833663224,0.001014987,0.0,166.0176615,166.0176615
XGBoost[Raw all-history incumbent] Calibrated,XGBoost,Raw all-history incumbent,sigmoid,sampled,20075,0.833663224,0.000996122,0.0,166.5546387,166.5546387
XGBoost[Raw] Calibration Base,XGBoost,Raw,none_calibration_base,sampled,20075,0.832182564,0.001025701,0.0,139.6341575,139.6341575
XGBoost[Raw] Calibrated,XGBoost,Raw,sigmoid,sampled,20075,0.832182564,0.001072964,0.0,140.1806146,140.1806146
XGBoost[Raw + TabICL embeddings] Calibration Base,XGBoost,Raw + TabICL embeddings,none_calibration_base,sampled,20075,0.827176441,0.001065621,122.1448456,1066.559639,1188.704485
XGBoost[Raw + TabICL embeddings] Calibrated,XGBoost,Raw + TabICL embeddings,sigmoid,sampled,20075,0.827176441,0.001139832,122.1448456,1074.54178,1196.686625
