Model,Feature Set,CV/Validation Average Precision,Best Params
XGBoost[Raw + TabICL embeddings] Calibration Base,Raw + TabICL embeddings,0.8108695652173914,"{""colsample_bylevel"": 0.9010984903770198, ""colsample_bytree"": 0.49100285402387395, ""gamma"": 8.342988013047341, ""learning_rate"": 0.0768467030262712, ""max_bin"": 775, ""max_delta_step"": 3, ""max_depth"": 4, ""min_child_weight"": 6.599971130767507, ""n_estimators"": 2098, ""reg_alpha"": 3.398042322726315, ""reg_lambda"": 5.00336351436056, ""scale_pos_weight"": 4.898979485566356, ""subsample"": 0.7113095778449228}"
XGBoost[Raw + TabICL embeddings] Calibrated,Raw + TabICL embeddings,0.8108695652173914,"{""colsample_bylevel"": 0.9010984903770198, ""colsample_bytree"": 0.49100285402387395, ""gamma"": 8.342988013047341, ""learning_rate"": 0.0768467030262712, ""max_bin"": 775, ""max_delta_step"": 3, ""max_depth"": 4, ""min_child_weight"": 6.599971130767507, ""n_estimators"": 2098, ""reg_alpha"": 3.398042322726315, ""reg_lambda"": 5.00336351436056, ""scale_pos_weight"": 4.898979485566356, ""subsample"": 0.7113095778449228}"
XGBoost[Raw all-history incumbent] Calibration Base,Raw all-history incumbent,0.5671010081348425,"{""colsample_bylevel"": 0.6955303037866204, ""colsample_bytree"": 0.5502298482834342, ""gamma"": 0.34054025892686846, ""learning_rate"": 0.01788820529615122, ""max_bin"": 693, ""max_delta_step"": 1, ""max_depth"": 5, ""min_child_weight"": 0.17928063051726983, ""n_estimators"": 1102, ""reg_alpha"": 7.8703386917029325, ""reg_lambda"": 1.5262366889033188, ""scale_pos_weight"": 2.1343747458109497, ""subsample"": 0.952672307692442}"
XGBoost[Raw all-history incumbent] Calibrated,Raw all-history incumbent,0.5671010081348425,"{""colsample_bylevel"": 0.6955303037866204, ""colsample_bytree"": 0.5502298482834342, ""gamma"": 0.34054025892686846, ""learning_rate"": 0.01788820529615122, ""max_bin"": 693, ""max_delta_step"": 1, ""max_depth"": 5, ""min_child_weight"": 0.17928063051726983, ""n_estimators"": 1102, ""reg_alpha"": 7.8703386917029325, ""reg_lambda"": 1.5262366889033188, ""scale_pos_weight"": 2.1343747458109497, ""subsample"": 0.952672307692442}"
XGBoost[Raw] Calibration Base,Raw,0.8243902439024391,"{""colsample_bylevel"": 0.6955303037866204, ""colsample_bytree"": 0.5502298482834342, ""gamma"": 0.34054025892686846, ""learning_rate"": 0.01788820529615122, ""max_bin"": 693, ""max_delta_step"": 1, ""max_depth"": 5, ""min_child_weight"": 0.17928063051726983, ""n_estimators"": 1102, ""reg_alpha"": 7.8703386917029325, ""reg_lambda"": 1.5262366889033188, ""scale_pos_weight"": 4.898979485566356, ""subsample"": 0.952672307692442}"
XGBoost[Raw] Calibrated,Raw,0.8243902439024391,"{""colsample_bylevel"": 0.6955303037866204, ""colsample_bytree"": 0.5502298482834342, ""gamma"": 0.34054025892686846, ""learning_rate"": 0.01788820529615122, ""max_bin"": 693, ""max_delta_step"": 1, ""max_depth"": 5, ""min_child_weight"": 0.17928063051726983, ""n_estimators"": 1102, ""reg_alpha"": 7.8703386917029325, ""reg_lambda"": 1.5262366889033188, ""scale_pos_weight"": 4.898979485566356, ""subsample"": 0.952672307692442}"
XGBoost[Raw + TabPFN embeddings] Calibration Base,Raw + TabPFN embeddings,0.8067567567567568,"{""colsample_bylevel"": 0.5066324805799333, ""colsample_bytree"": 0.9682109656266691, ""gamma"": 0.02397338207928648, ""learning_rate"": 0.015138602392314762, ""max_bin"": 473, ""max_delta_step"": 10, ""max_depth"": 3, ""min_child_weight"": 5.645066779546335, ""n_estimators"": 1790, ""reg_alpha"": 0.6065193093671484, ""reg_lambda"": 5.159258269284958, ""scale_pos_weight"": 24.0, ""subsample"": 0.6280140940784975}"
XGBoost[Raw + TabPFN embeddings] Calibrated,Raw + TabPFN embeddings,0.8067567567567568,"{""colsample_bylevel"": 0.5066324805799333, ""colsample_bytree"": 0.9682109656266691, ""gamma"": 0.02397338207928648, ""learning_rate"": 0.015138602392314762, ""max_bin"": 473, ""max_delta_step"": 10, ""max_depth"": 3, ""min_child_weight"": 5.645066779546335, ""n_estimators"": 1790, ""reg_alpha"": 0.6065193093671484, ""reg_lambda"": 5.159258269284958, ""scale_pos_weight"": 24.0, ""subsample"": 0.6280140940784975}"
XGBoost[Raw all-history incumbent],Raw all-history incumbent,0.5671010081348425,"{""colsample_bylevel"": 0.6955303037866204, ""colsample_bytree"": 0.5502298482834342, ""gamma"": 0.34054025892686846, ""learning_rate"": 0.01788820529615122, ""max_bin"": 693, ""max_delta_step"": 1, ""max_depth"": 5, ""min_child_weight"": 0.17928063051726983, ""n_estimators"": 1102, ""reg_alpha"": 7.8703386917029325, ""reg_lambda"": 1.5262366889033188, ""scale_pos_weight"": 2.1343747458109497, ""subsample"": 0.952672307692442}"
XGBoost[Raw],Raw,0.8243902439024391,"{""colsample_bylevel"": 0.6955303037866204, ""colsample_bytree"": 0.5502298482834342, ""gamma"": 0.34054025892686846, ""learning_rate"": 0.01788820529615122, ""max_bin"": 693, ""max_delta_step"": 1, ""max_depth"": 5, ""min_child_weight"": 0.17928063051726983, ""n_estimators"": 1102, ""reg_alpha"": 7.8703386917029325, ""reg_lambda"": 1.5262366889033188, ""scale_pos_weight"": 4.898979485566356, ""subsample"": 0.952672307692442}"
XGBoost[Raw + TabPFN embeddings],Raw + TabPFN embeddings,0.8067567567567568,"{""colsample_bylevel"": 0.5066324805799333, ""colsample_bytree"": 0.9682109656266691, ""gamma"": 0.02397338207928648, ""learning_rate"": 0.015138602392314762, ""max_bin"": 473, ""max_delta_step"": 10, ""max_depth"": 3, ""min_child_weight"": 5.645066779546335, ""n_estimators"": 1790, ""reg_alpha"": 0.6065193093671484, ""reg_lambda"": 5.159258269284958, ""scale_pos_weight"": 24.0, ""subsample"": 0.6280140940784975}"
XGBoost[Raw + TabICL embeddings],Raw + TabICL embeddings,0.8108695652173914,"{""colsample_bylevel"": 0.9010984903770198, ""colsample_bytree"": 0.49100285402387395, ""gamma"": 8.342988013047341, ""learning_rate"": 0.0768467030262712, ""max_bin"": 775, ""max_delta_step"": 3, ""max_depth"": 4, ""min_child_weight"": 6.599971130767507, ""n_estimators"": 2098, ""reg_alpha"": 3.398042322726315, ""reg_lambda"": 5.00336351436056, ""scale_pos_weight"": 4.898979485566356, ""subsample"": 0.7113095778449228}"
