Model,Metric,Point Estimate,Bootstrap Median,CI Lower,CI Upper,Bootstrap Iterations Requested,Bootstrap Iterations Used,Block Unit,Confidence Level
Rule[SPY realized volatility 20d],average_precision,0.6157605507459528,0.6105925603610434,0.4534114984311454,0.7647998255820672,40,40,calendar_month,0.95
Rule[SPY realized volatility 20d],roc_auc,0.8121264253732988,0.8035531566781566,0.745739447745222,0.8705733255853331,40,40,calendar_month,0.95
Rule[SPY realized volatility 20d],top_20_recall,0.5210084033613446,0.5254273504273504,0.4422779981690571,0.6236616161616161,40,40,calendar_month,0.95
Rule[VIX close],average_precision,0.6405026074495641,0.6303914210949195,0.4610809344486829,0.7870812840825719,40,40,calendar_month,0.95
Rule[VIX close],roc_auc,0.8310174463486182,0.8264555243276459,0.7508203490580276,0.9114192215904157,40,40,calendar_month,0.95
Rule[VIX close],top_20_recall,0.5546218487394958,0.5592592592592593,0.45729042214257276,0.6884156586021506,40,40,calendar_month,0.95
XGBoost[Raw all-history incumbent],average_precision,0.5926632924108319,0.5930806478975292,0.4044809866709527,0.7585480905595752,40,40,calendar_month,0.95
XGBoost[Raw all-history incumbent],roc_auc,0.7855047530823354,0.7771135836863536,0.670986730498238,0.853265625339106,40,40,calendar_month,0.95
XGBoost[Raw all-history incumbent],top_20_recall,0.5462184873949579,0.5377492877492878,0.39110117838277125,0.6609287120359955,40,40,calendar_month,0.95
XGBoost[Raw],average_precision,0.528958423254691,0.563067295660383,0.4085160067096062,0.6604583735743935,40,40,calendar_month,0.95
XGBoost[Raw],roc_auc,0.7345111272855599,0.7424538078021151,0.669062634222996,0.7992221210152216,40,40,calendar_month,0.95
XGBoost[Raw],top_20_recall,0.4789915966386555,0.4653329410610964,0.3850067567567568,0.5985719241443108,40,40,calendar_month,0.95
XGBoost[Raw + TabPFN embeddings],average_precision,0.502959101012211,0.5447343192714161,0.28175927235389864,0.6833984279837042,40,40,calendar_month,0.95
XGBoost[Raw + TabPFN embeddings],roc_auc,0.6755773175411897,0.6933421574817963,0.5476888628676895,0.7804944116276148,40,40,calendar_month,0.95
XGBoost[Raw + TabPFN embeddings],top_20_recall,0.4369747899159664,0.4394927536231884,0.2866076845298281,0.5391826923076922,40,40,calendar_month,0.95
XGBoost[Raw + TabICL embeddings],average_precision,0.4682777759962482,0.49046972203173556,0.33601914809532696,0.634847137876256,40,40,calendar_month,0.95
XGBoost[Raw + TabICL embeddings],roc_auc,0.7042722600851364,0.7092676943905629,0.6015598155133142,0.7890163201927912,40,40,calendar_month,0.95
XGBoost[Raw + TabICL embeddings],top_20_recall,0.40336134453781514,0.4084928229665072,0.3123798076923077,0.5205416666666667,40,40,calendar_month,0.95
TabPFN[Direct all-history],average_precision,0.6740243983149548,0.6881562540153839,0.4542505387521068,0.7975922393371604,40,40,calendar_month,0.95
TabPFN[Direct all-history],roc_auc,0.8349323981561128,0.8325766168767019,0.7442720817112833,0.8878286105690347,40,40,calendar_month,0.95
TabPFN[Direct all-history],top_20_recall,0.5714285714285714,0.549074074074074,0.4573061379136146,0.7294560404807083,40,40,calendar_month,0.95
TabICL[Direct all-history],average_precision,0.59795303893453,0.5932592906597209,0.42765549834060324,0.740298483931511,40,40,calendar_month,0.95
TabICL[Direct all-history],roc_auc,0.7748627009859061,0.7754149836115038,0.692381576871382,0.8457545215470463,40,40,calendar_month,0.95
TabICL[Direct all-history],top_20_recall,0.4957983193277311,0.4827333918642084,0.38466770508826587,0.5838869352495986,40,40,calendar_month,0.95
