Model,Evaluation Window,bin,rows,high_vol_rows,score_min,score_max,mean_score,observed_high_vol_rate,abs_calibration_error
Dummy[Prior probability],holdout,1,50,17,0.18769230769230769,0.18769230769230769,0.18769230769230766,0.34,0.15230769230769237
Dummy[Prior probability],holdout,2,50,11,0.18769230769230769,0.18769230769230769,0.18769230769230766,0.22,0.03230769230769234
Dummy[Prior probability],holdout,3,50,1,0.18769230769230769,0.18769230769230769,0.18769230769230766,0.02,0.16769230769230767
Dummy[Prior probability],holdout,4,50,33,0.18769230769230769,0.18769230769230769,0.18769230769230766,0.66,0.4723076923076924
Dummy[Prior probability],holdout,5,50,20,0.18769230769230769,0.18769230769230769,0.18769230769230766,0.4,0.21230769230769236
Dummy[Prior probability],holdout,6,50,5,0.18769230769230769,0.18769230769230769,0.18769230769230766,0.1,0.08769230769230765
Dummy[Prior probability],holdout,7,50,0,0.18769230769230769,0.18769230769230769,0.18769230769230766,0.0,0.18769230769230766
Dummy[Prior probability],holdout,8,50,9,0.18769230769230769,0.18769230769230769,0.18769230769230766,0.18,0.007692307692307665
Dummy[Prior probability],holdout,9,50,7,0.18769230769230769,0.18769230769230769,0.18769230769230766,0.14,0.047692307692307645
Dummy[Prior probability],holdout,10,50,16,0.18769230769230769,0.18769230769230769,0.18769230769230766,0.32,0.13230769230769235
XGBoost[Raw all-history incumbent],holdout,1,50,3,0.008439742960035801,0.02894897200167179,0.021038737222552298,0.06,0.0389612627774477
XGBoost[Raw all-history incumbent],holdout,2,50,3,0.02905900962650776,0.043412841856479645,0.035732952281832694,0.06,0.024267047718167303
XGBoost[Raw all-history incumbent],holdout,3,50,6,0.04395052790641785,0.06527179479598999,0.05309840001165867,0.12,0.06690159998834133
XGBoost[Raw all-history incumbent],holdout,4,50,6,0.06581094861030579,0.09247128665447235,0.07945911005139351,0.12,0.04054088994860648
XGBoost[Raw all-history incumbent],holdout,5,50,10,0.09251768887042999,0.11532097309827805,0.10405813947319985,0.2,0.09594186052680016
XGBoost[Raw all-history incumbent],holdout,6,50,6,0.11548515409231186,0.1532866507768631,0.13389971911907195,0.12,0.013899719119071952
XGBoost[Raw all-history incumbent],holdout,7,50,7,0.15470141172409058,0.21334080398082733,0.18151027590036392,0.14,0.04151027590036391
XGBoost[Raw all-history incumbent],holdout,8,50,13,0.21433866024017334,0.3534892499446869,0.2707525083422661,0.26,0.010752508342266098
XGBoost[Raw all-history incumbent],holdout,9,50,30,0.3550228476524353,0.5960736274719238,0.4600073128938675,0.6,0.1399926871061325
XGBoost[Raw all-history incumbent],holdout,10,50,35,0.607516348361969,0.9790893197059631,0.8500770258903504,0.7,0.15007702589035044
XGBoost[Raw all-history incumbent] Calibration Base,calibration,1,35,5,0.004745458252727985,0.007760542910546064,0.00687747767993382,0.14285714285714285,0.13597966517720902
XGBoost[Raw all-history incumbent] Calibration Base,calibration,2,35,3,0.007803030777722597,0.008898749947547913,0.008371979490454708,0.08571428571428572,0.07734230622383101
XGBoost[Raw all-history incumbent] Calibration Base,calibration,3,35,4,0.00892603863030672,0.009990627877414227,0.009381773535694395,0.11428571428571428,0.10490394075001988
XGBoost[Raw all-history incumbent] Calibration Base,calibration,4,35,4,0.010106297209858894,0.011545266956090927,0.010839732603303023,0.11428571428571428,0.10344598168241126
XGBoost[Raw all-history incumbent] Calibration Base,calibration,5,35,7,0.011567413806915283,0.013454610481858253,0.012403263071818011,0.2,0.187596736928182
XGBoost[Raw all-history incumbent] Calibration Base,calibration,6,35,4,0.013461466878652573,0.015899108722805977,0.014450040140322277,0.11428571428571428,0.099835674145392
XGBoost[Raw all-history incumbent] Calibration Base,calibration,7,35,11,0.01592576503753662,0.0196318831294775,0.017802813542740686,0.3142857142857143,0.29648290074297357
XGBoost[Raw all-history incumbent] Calibration Base,calibration,8,35,13,0.020116819068789482,0.030085332691669464,0.024305505571620804,0.37142857142857144,0.34712306585695063
XGBoost[Raw all-history incumbent] Calibration Base,calibration,9,35,11,0.031734649091959,0.07609964907169342,0.04706340144787516,0.3142857142857143,0.26722231283783915
XGBoost[Raw all-history incumbent] Calibration Base,calibration,10,35,16,0.07672635465860367,0.4435015320777893,0.19928675017186573,0.45714285714285713,0.25785610697099137
XGBoost[Raw all-history incumbent] Calibration Base,holdout,1,50,2,0.0038846570532768965,0.009163571521639824,0.0070160700706765056,0.04,0.032983929929323495
XGBoost[Raw all-history incumbent] Calibration Base,holdout,2,50,3,0.00918479822576046,0.01589011959731579,0.01197493851184845,0.06,0.04802506148815155
XGBoost[Raw all-history incumbent] Calibration Base,holdout,3,50,7,0.015928806737065315,0.02564600482583046,0.02009566206485033,0.14,0.11990433793514968
XGBoost[Raw all-history incumbent] Calibration Base,holdout,4,50,6,0.025973940268158913,0.04076971486210823,0.033029321916401386,0.12,0.08697067808359861
XGBoost[Raw all-history incumbent] Calibration Base,holdout,5,50,10,0.04111922159790993,0.059430427849292755,0.04941796600818634,0.2,0.15058203399181366
XGBoost[Raw all-history incumbent] Calibration Base,holdout,6,50,11,0.05997590348124504,0.10055558383464813,0.07702526204288006,0.22,0.14297473795711996
XGBoost[Raw all-history incumbent] Calibration Base,holdout,7,50,7,0.100967176258564,0.14761438965797424,0.12223686441779137,0.14,0.017763135582208642
XGBoost[Raw all-history incumbent] Calibration Base,holdout,8,50,10,0.14776603877544403,0.19754517078399658,0.16699403166770935,0.2,0.033005968332290664
XGBoost[Raw all-history incumbent] Calibration Base,holdout,9,50,28,0.19819238781929016,0.578294038772583,0.349778017103672,0.56,0.21022198289632804
XGBoost[Raw all-history incumbent] Calibration Base,holdout,10,50,35,0.5880456566810608,0.9799954295158386,0.8664857578277588,0.7,0.16648575782775887
XGBoost[Raw all-history incumbent] Calibrated,calibration,1,35,5,0.19341503014295183,0.1958273688539522,0.19511915908058927,0.14285714285714285,0.05226201622344642
XGBoost[Raw all-history incumbent] Calibrated,calibration,2,35,3,0.19586152502934892,0.19674393513711544,0.1963194662674015,0.08571428571428572,0.11060518055311577
XGBoost[Raw all-history incumbent] Calibrated,calibration,3,35,4,0.19676594965924474,0.19762623450780648,0.19713398063817747,0.11428571428571428,0.08284826635246319
XGBoost[Raw all-history incumbent] Calibrated,calibration,4,35,4,0.19771987637248964,0.1988876116192299,0.1983146176334847,0.11428571428571428,0.08402890334777043
XGBoost[Raw all-history incumbent] Calibrated,calibration,5,35,7,0.19890562440657616,0.20044505112559313,0.19958664880137986,0.2,0.00041335119862015435
XGBoost[Raw all-history incumbent] Calibrated,calibration,6,35,4,0.20045066027655134,0.20245232699684185,0.2012613351837721,0.11428571428571428,0.08697562089805781
XGBoost[Raw all-history incumbent] Calibrated,calibration,7,35,11,0.20247429801046615,0.20554632587618787,0.20402730742199288,0.3142857142857143,0.1102584068637214
XGBoost[Raw all-history incumbent] Calibrated,calibration,8,35,13,0.20595083850656298,0.2143967484902925,0.20948371502275698,0.37142857142857144,0.16194485640581446
XGBoost[Raw all-history incumbent] Calibrated,calibration,9,35,11,0.21581816500949094,0.2565946830297459,0.2295396121561615,0.3142857142857143,0.08474610212955277
XGBoost[Raw all-history incumbent] Calibrated,calibration,10,35,16,0.2572053828442943,0.6924627523963274,0.39826782108499265,0.45714285714285713,0.05887503605786448
XGBoost[Raw all-history incumbent] Calibrated,holdout,1,50,2,0.19273047122136486,0.19695765245282473,0.1952325465978758,0.04,0.1552325465978758
XGBoost[Raw all-history incumbent] Calibrated,holdout,2,50,3,0.19697479049121866,0.20244491826429636,0.19924211866183328,0.06,0.13924211866183328
XGBoost[Raw all-history incumbent] Calibrated,holdout,3,50,7,0.20247680519260183,0.21060472047162507,0.20594264134616544,0.14,0.06594264134616543
XGBoost[Raw all-history incumbent] Calibrated,holdout,4,50,6,0.21088314936188776,0.22372569246787705,0.2169631096851623,0.12,0.09696310968516231
XGBoost[Raw all-history incumbent] Calibrated,holdout,5,50,10,0.22403568668908405,0.24070254733618032,0.23151559651010928,0.2,0.03151559651010927
XGBoost[Raw all-history incumbent] Calibrated,holdout,6,50,11,0.24121180121649663,0.28112088814865677,0.25766353388816976,0.22,0.03766353388816976
XGBoost[Raw all-history incumbent] Calibrated,holdout,7,50,7,0.2815456729128756,0.33210120981491303,0.30418636178857855,0.14,0.16418636178857854
XGBoost[Raw all-history incumbent] Calibrated,holdout,8,50,10,0.33227293358187193,0.3908298452981886,0.35455112988755916,0.2,0.15455112988755915
XGBoost[Raw all-history incumbent] Calibrated,holdout,9,50,28,0.3916166836592468,0.8175306566039103,0.577143252924795,0.56,0.017143252924794905
XGBoost[Raw all-history incumbent] Calibrated,holdout,10,50,35,0.8248390964295481,0.9720825798531672,0.9413249616735067,0.7,0.2413249616735067
XGBoost[Raw],holdout,1,50,1,0.0068239676766097546,0.016100328415632248,0.012223020475357772,0.02,0.007776979524642229
XGBoost[Raw],holdout,2,50,5,0.016160855069756508,0.022228728979825974,0.019310402497649194,0.1,0.08068959750235082
