CAGR,Annualized Volatility,Sharpe,Sortino,Max Drawdown,Average Weight,Annualized Turnover,Total Transaction Cost,Final Equity,Model,Threshold Source,Risk Action Rate in Holdout,Calibration Score Threshold,Target Action Rate,High-Risk Weight
-0.0020900835350046165,0.07061178368920919,0.005793522066206182,0.004412355076746635,-0.07284509783383364,0.38,30.744,0.0061,0.9958572738951175,Rule[VIX close],calibration_window_score_quantile,0.62,17.309,0.3,0.0
-0.00015605624180603517,0.0863319841646086,0.04147298585525258,0.04666023532488819,-0.0917225866592658,0.535,23.058,0.004575,0.999690388376383,Rule[VIX close],calibration_window_score_quantile,0.62,17.309,0.3,0.25
-0.04423380739575766,0.07433567841153643,-0.5713674195630484,-0.471742027142602,-0.11723725706984656,0.336,23.688,0.0047,0.9141452511202058,XGBoost[Raw all-history incumbent] Calibrated,calibration_window_score_quantile,0.664,0.21468103179413217,0.2,0.0
-0.04423380739575766,0.07433567841153643,-0.5713674195630484,-0.471742027142602,-0.11723725706984656,0.336,23.688,0.0047,0.9141452511202058,XGBoost[Raw all-history incumbent] Calibration Base,calibration_window_score_quantile,0.664,0.030415195971727354,0.2,0.0
-0.028936462780968952,0.09793732976521333,-0.250697594682043,-0.28772158447929835,-0.11873494968204579,0.6085,18.522,0.0036750000000000003,0.9434039976585066,TabICL[Direct all-history] Calibration Base,calibration_window_score_quantile,0.522,0.11132839396595953,0.3,0.25
-0.040664255251097514,0.11782935162650808,-0.2931823657601272,-0.3425744338286397,-0.1193925691460519,0.745,12.474,0.0024749999999999998,0.920931723839584,TabPFN[Direct all-history] Calibration Base,calibration_window_score_quantile,0.34,0.09237830936908722,0.1,0.25
-0.03340944213148789,0.07858316231554038,-0.39305333995453573,-0.4511418256036075,-0.11999167645163789,0.4345,14.741999999999999,0.002925,0.9348013740999038,XGBoost[Raw all-history incumbent] Calibrated,calibration_window_score_quantile,0.754,0.2056676796653004,0.3,0.25
-0.03340944213148789,0.07858316231554038,-0.39305333995453573,-0.4511418256036075,-0.11999167645163789,0.4345,14.741999999999999,0.002925,0.9348013740999038,XGBoost[Raw all-history incumbent] Calibration Base,calibration_window_score_quantile,0.754,0.019777363911271086,0.3,0.25
-0.04625929158636999,0.06015857053706217,-0.757132382418746,-0.5357116262495953,-0.12271638956617392,0.246,19.656,0.0039000000000000003,0.910305449890433,XGBoost[Raw all-history incumbent] Calibrated,calibration_window_score_quantile,0.754,0.2056676796653004,0.3,0.0
-0.04625929158636999,0.06015857053706217,-0.757132382418746,-0.5357116262495953,-0.12271638956617392,0.246,19.656,0.0039000000000000003,0.910305449890433,XGBoost[Raw all-history incumbent] Calibration Base,calibration_window_score_quantile,0.754,0.019777363911271086,0.3,0.0
-0.03204225384452597,0.08921846319322356,-0.32034974130624205,-0.3760221547423193,-0.12561593261833037,0.502,17.766,0.003525,0.9374266608472224,XGBoost[Raw all-history incumbent] Calibrated,calibration_window_score_quantile,0.664,0.21468103179413217,0.2,0.25
-0.03204225384452597,0.08921846319322356,-0.32034974130624205,-0.3760221547423193,-0.12561593261833037,0.502,17.766,0.003525,0.9374266608472224,XGBoost[Raw all-history incumbent] Calibration Base,calibration_window_score_quantile,0.664,0.030415195971727354,0.2,0.25
-0.05419189605962882,0.08502959070214533,-0.612596322303273,-0.7010117432813925,-0.12641573676357065,0.499,23.058,0.004575,0.8953444390553794,TabPFN[Direct all-history] Calibration Base,calibration_window_score_quantile,0.668,0.04030563347041606,0.3,0.25
-0.05775966469940719,0.09816913327864037,-0.5567654067352747,-0.6434464257025394,-0.13277574409862192,0.6295,23.058,0.004575000000000001,0.8886556673552302,Rule[VIX close],calibration_window_score_quantile,0.494,18.948,0.2,0.25
-0.05481313259425802,0.10880533410431509,-0.46344682565525286,-0.4632444841165489,-0.13281451747462147,0.66,16.631999999999998,0.0033,0.8941779701309255,TabPFN[Direct all-history] Calibration Base,calibration_window_score_quantile,0.34,0.09237830936908722,0.1,0.0
-0.03992898160124969,0.08522319579665259,-0.4353475162799202,-0.3803338410297913,-0.13448817034261817,0.478,24.695999999999998,0.004900000000000001,0.9223327267261662,TabICL[Direct all-history] Calibration Base,calibration_window_score_quantile,0.522,0.11132839396595953,0.3,0.0
-0.029917626865142544,0.11255508346083254,-0.21348313697316584,-0.26140080984549197,-0.14029132055898463,0.709,19.278,0.0038250000000000003,0.9415136347248558,Rule[VIX close],calibration_window_score_quantile,0.388,21.181,0.1,0.25
-0.036933790627804775,0.1136216729466162,-0.27426223655140264,-0.3293139163453896,-0.14331586874333224,0.7135,11.718,0.002325,0.9280507301705281,Rule[SPY realized volatility 20d],calibration_window_score_quantile,0.382,0.15958542378824708,0.3,0.25
-0.05003788384436336,0.10394488398477764,-0.4417182104701501,-0.4467701543600096,-0.14485878385950168,0.618,15.623999999999999,0.0031,0.9031636312056892,Rule[SPY realized volatility 20d],calibration_window_score_quantile,0.382,0.15958542378824708,0.3,0.0
-0.037026493379341274,0.12114746527132171,-0.2506122629049316,-0.29403717282927544,-0.14584821262282122,0.666,15.372,0.0030500000000000006,0.9278734920692076,TabPFN[Direct all-history] Calibration Base,calibration_window_score_quantile,0.668,0.04030563347041606,0.3,0.5
