CAGR,Annualized Volatility,Sharpe,Sortino,Max Drawdown,Average Weight,Annualized Turnover,Total Transaction Cost,Final Equity,Model,Threshold Source,Risk Action Rate in Holdout,Calibration Score Threshold,Target Action Rate,High-Risk Weight
-0.022096511532779473,0.12351823737018512,-0.11892364046523227,-0.14094746324236895,-0.1494821522455465,0.668,11.844,0.00235,0.9566344634516815,XGBoost[Raw all-history incumbent] Calibrated,calibration_window_score_quantile,0.664,0.21468103179413217,0.2,0.5
-0.022096511532779473,0.12351823737018512,-0.11892364046523227,-0.14094746324236895,-0.1494821522455465,0.668,11.844,0.00235,0.9566344634516815,XGBoost[Raw all-history incumbent] Calibration Base,calibration_window_score_quantile,0.664,0.030415195971727354,0.2,0.5
-0.048298783259295375,0.13385263566582453,-0.3025868521298225,-0.3566368676486604,-0.1517329324270661,0.779,10.331999999999999,0.00205,0.906447194272644,TabPFN[Direct all-history] Calibration Base,calibration_window_score_quantile,0.442,0.05868567004799843,0.2,0.5
-0.03960549860354945,0.12885143472973629,-0.24891676523337872,-0.29478171177106155,-0.1558517669777082,0.753,15.372,0.00305,0.9229494313134857,Rule[VIX close],calibration_window_score_quantile,0.494,18.948,0.2,0.5
-0.04639275822064781,0.13544750682219323,-0.28264640888836634,-0.33145071396557013,-0.16327572271391855,0.792,10.08,0.002,0.9100527127375759,TabICL[Direct all-history] Calibration Base,calibration_window_score_quantile,0.416,0.1403885930776596,0.2,0.5
-0.031460310965689575,0.15874103379440177,-0.12139623724964714,-0.13672583439231606,-0.18244178175912784,0.88,5.04,0.001,0.9385452205817965,XGBoost[Raw] Calibrated,calibration_window_score_quantile,0.24,0.2116533573802619,0.2,0.5
-0.031460310965689575,0.15874103379440177,-0.12139623724964714,-0.13672583439231606,-0.18244178175912784,0.88,5.04,0.001,0.9385452205817965,XGBoost[Raw] Calibration Base,calibration_window_score_quantile,0.24,0.02195099741220474,0.2,0.5
-0.05329778792725948,0.16017643066647713,-0.2612167495598407,-0.2942325386304325,-0.1903637393113895,0.885,7.811999999999999,0.0015500000000000002,0.8970245911179892,XGBoost[Raw + TabICL embeddings] Calibrated,calibration_window_score_quantile,0.23,0.2104226316721815,0.2,0.5
-0.05329778792725948,0.16017643066647713,-0.2612167495598407,-0.2942325386304325,-0.1903637393113895,0.885,7.811999999999999,0.0015500000000000002,0.8970245911179892,XGBoost[Raw + TabICL embeddings] Calibration Base,calibration_window_score_quantile,0.23,0.022888015955686566,0.2,0.5
-0.04656983095242895,0.16091288141168247,-0.21528619974105045,-0.2431069502763101,-0.19451020206800218,0.891,4.536,0.0009,0.909717455257987,XGBoost[Raw + TabPFN embeddings] Calibrated,calibration_window_score_quantile,0.218,0.21924844571059257,0.2,0.5
-0.04656983095242895,0.16091288141168247,-0.21528619974105045,-0.2431069502763101,-0.19451020206800218,0.891,4.536,0.0009,0.909717455257987,XGBoost[Raw + TabPFN embeddings] Calibration Base,calibration_window_score_quantile,0.218,0.011605950258672237,0.2,0.5
-0.04075377271368208,0.16061779129042134,-0.17821604041662556,-0.20794830118298635,-0.24918278636011948,0.898,5.544,0.0011,0.9207612278795165,Rule[SPY realized volatility 20d],calibration_window_score_quantile,0.204,0.20790755674095868,0.2,0.5
-0.009325557253767491,0.21080425905671235,0.06211690366333234,0.06943225002783,-0.2521934711375551,1.0,0.0,0.0,0.9815818207644249,Buy and hold SPY,none,0.0,,0.0,1.0
