Model,Base Model,Feature Set,Calibration,Evaluation Window,Average Precision,ROC AUC,Brier Score,Shared Feature Prep Seconds,Fit Seconds,Calibration Seconds,Predict Seconds,Workflow Seconds
Rule[VIX close],Rule,vix_close,none,calibration,0.4088167923589185,0.6447021116138764,,0.0,0.0,0.0,0.0,0.0
XGBoost[Raw + TabICL embeddings] Calibration Base,XGBoost,Raw + TabICL embeddings,none_calibration_base,calibration,0.39176022565573765,0.604520173453997,0.20357646898384837,12.879726707999907,24.428219745999968,0.0,0.037834694500020305,37.345781148499896
XGBoost[Raw + TabICL embeddings] Calibrated,XGBoost,Raw + TabICL embeddings,sigmoid,calibration,0.39176022565573765,0.604520173453997,0.1675090363486137,12.879726707999907,24.428219745999968,0.02702470499991705,0.005081483999958891,37.34005264299975
TabPFN[Direct all-history] Calibration Base,TabPFN,Raw all-history direct TFM context,none_calibration_base,calibration,0.3823082060409812,0.6837999622926094,0.1974995847765419,0.0,1.841182128000014,0.0,3.5223183219999896,5.363500450000004
XGBoost[Raw all-history incumbent] Calibration Base,XGBoost,Raw all-history incumbent,none_calibration_base,calibration,0.36940900709522795,0.6800056561085973,0.20292299236249683,0.0,45.57278522899992,0.0,0.022889996499998233,45.59567522549992
XGBoost[Raw all-history incumbent] Calibrated,XGBoost,Raw all-history incumbent,sigmoid,calibration,0.36940900709522795,0.6800056561085973,0.168372471973697,0.0,45.57278522899992,0.028814404000058857,0.004652880499975254,45.60625251349995
XGBoost[Raw] Calibration Base,XGBoost,Raw,none_calibration_base,calibration,0.3493939760790412,0.5596719457013575,0.2038823722586987,0.0,14.469919561999973,0.0,0.01879948699996703,14.48871904899994
XGBoost[Raw] Calibrated,XGBoost,Raw,sigmoid,calibration,0.3493939760790412,0.5596719457013575,0.16900798711709694,0.0,14.469919561999973,0.019737801000019317,0.0036313155000016195,14.493288678499994
XGBoost[Raw + TabPFN embeddings] Calibration Base,XGBoost,Raw + TabPFN embeddings,none_calibration_base,calibration,0.2905072484318422,0.5107937405731523,0.2154070977633492,14.231024340999909,19.03589126199995,0.0,0.03536864649998961,33.30228424949985
XGBoost[Raw + TabPFN embeddings] Calibrated,XGBoost,Raw + TabPFN embeddings,sigmoid,calibration,0.2905072484318422,0.5107937405731523,0.17282069758741542,14.231024340999909,19.03589126199995,0.027082143999905384,0.004918309999993653,33.29891605699976
TabICL[Direct all-history] Calibration Base,TabICL,Raw all-history direct TFM context,none_calibration_base,calibration,0.2895229065141757,0.5375895550527904,0.19030783780653496,0.0,2.9209750559999748,0.0,2.382053274499981,5.303028330499956
Rule[SPY realized volatility 20d],Rule,spy_rv_20d,none,calibration,0.26732343426784066,0.5623114630467572,,0.0,0.0,0.0,0.0,0.0
TabICL[Direct all-history] Calibration Base,TabICL,Raw all-history direct TFM context,none_calibration_base,holdout,0.6859106425146284,0.8267275414102649,0.12358926380884867,0.0,2.9209750559999748,0.0,2.382053274499981,5.303028330499956
TabPFN[Direct all-history],TabPFN,Raw all-history direct TFM context,none,holdout,0.6740243983149548,0.8349323981561128,0.12518433043606245,0.0,2.087017123999999,0.0,4.79945155300004,6.886468677000039
TabPFN[Direct all-history] Calibration Base,TabPFN,Raw all-history direct TFM context,none_calibration_base,holdout,0.6601775521721448,0.8195152076578662,0.13503633996538175,0.0,1.841182128000014,0.0,3.5223183219999896,5.363500450000004
XGBoost[Raw + TabICL embeddings] Calibration Base,XGBoost,Raw + TabICL embeddings,none_calibration_base,holdout,0.6434662695363361,0.7767595227067206,0.19319425882333294,12.879726707999907,24.428219745999968,0.0,0.037834694500020305,37.345781148499896
XGBoost[Raw + TabICL embeddings] Calibrated,XGBoost,Raw + TabICL embeddings,sigmoid,holdout,0.6434662695363361,0.7767595227067206,0.15123345618845524,12.879726707999907,24.428219745999968,0.02702470499991705,0.005081483999958891,37.34005264299975
XGBoost[Raw] Calibration Base,XGBoost,Raw,none_calibration_base,holdout,0.6421300287344884,0.8297381944903945,0.18525843042077314,0.0,14.469919561999973,0.0,0.01879948699996703,14.48871904899994
XGBoost[Raw] Calibrated,XGBoost,Raw,sigmoid,holdout,0.6421300287344884,0.8297381944903945,0.1573189971066838,0.0,14.469919561999973,0.019737801000019317,0.0036313155000016195,14.493288678499994
Rule[VIX close],Rule,vix_close,none,holdout,0.6405026074495641,0.8310174463486182,,0.0,0.0,0.0,0.0,0.0
Rule[SPY realized volatility 20d],Rule,spy_rv_20d,none,holdout,0.6157605507459528,0.8121264253732988,,0.0,0.0,0.0,0.0,0.0
TabICL[Direct all-history],TabICL,Raw all-history direct TFM context,none,holdout,0.59795303893453,0.7748627009859061,0.14241358344735477,0.0,3.1728752679999843,0.0,2.9833799649999264,6.156255232999911
XGBoost[Raw all-history incumbent] Calibration Base,XGBoost,Raw all-history incumbent,none_calibration_base,holdout,0.5954806561023959,0.7753148503495887,0.15159864053710426,0.0,45.57278522899992,0.0,0.022889996499998233,45.59567522549992
