Model,Base Model,Family,Feature Set,Embedding Source,Calibration,Evaluation Window,Rows,High Vol Rate,Score Type,Average Precision,ROC AUC,Brier Score,Log Loss,ECE Quantile 10,Top 10% Alerts,Top 10% Precision,Top 10% Recall,Top 20% Alerts,Top 20% Precision,Top 20% Recall,Alerts for 80% Recall,Precision at 80% Recall,Actual Recall at 80% Target,CV/Validation Average Precision,Shared Feature Prep Seconds,Fit Seconds,Calibration Seconds,Predict Seconds,Total Seconds,Workflow Seconds,Timing Notes,Best Params,Error
Rule[VIX close],Rule,domain_rule,vix_close,none,none,calibration,350,0.22285714285714286,raw_score,0.4088167923589185,0.6447021116138764,,,,35,0.5714285714285714,0.2564102564102564,70,0.44285714285714284,0.3974358974358974,272,0.23161764705882354,0.8076923076923077,,0.0,0.0,0.0,0.0,0.0,0.0,deterministic domain-rule score; not a probability,,
XGBoost[Raw + TabICL embeddings] Calibration Base,XGBoost,classical_calibration_base,Raw + TabICL embeddings,TabICL,none_calibration_base,calibration,350,0.22285714285714286,probability,0.39176022565573765,0.604520173453997,0.20357646898384837,0.8467817937847971,0.1938403307779559,35,0.5714285714285714,0.2564102564102564,70,0.5,0.44871794871794873,316,0.19936708860759494,0.8076923076923077,0.8108695652173914,12.879726707999907,24.428219745999968,0.0,0.037834694500020305,24.46605444049999,37.345781148499896,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; base model excludes calibration-window labels,"{""colsample_bylevel"": 0.9010984903770198, ""colsample_bytree"": 0.49100285402387395, ""gamma"": 8.342988013047341, ""learning_rate"": 0.0768467030262712, ""max_bin"": 775, ""max_delta_step"": 3, ""max_depth"": 4, ""min_child_weight"": 6.599971130767507, ""n_estimators"": 2098, ""reg_alpha"": 3.398042322726315, ""reg_lambda"": 5.00336351436056, ""scale_pos_weight"": 4.898979485566356, ""subsample"": 0.7113095778449228}",
XGBoost[Raw + TabICL embeddings] Calibrated,XGBoost,classical_calibrated,Raw + TabICL embeddings,TabICL,sigmoid,calibration,350,0.22285714285714286,probability,0.39176022565573765,0.604520173453997,0.1675090363486137,0.5150834061713786,0.12037707383895678,35,0.5714285714285714,0.2564102564102564,70,0.5,0.44871794871794873,316,0.19936708860759494,0.8076923076923077,0.8108695652173914,12.879726707999907,24.428219745999968,0.02702470499991705,0.005081483999958891,24.460325934999844,37.34005264299975,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; sigmoid calibration fitted on calibration window,"{""colsample_bylevel"": 0.9010984903770198, ""colsample_bytree"": 0.49100285402387395, ""gamma"": 8.342988013047341, ""learning_rate"": 0.0768467030262712, ""max_bin"": 775, ""max_delta_step"": 3, ""max_depth"": 4, ""min_child_weight"": 6.599971130767507, ""n_estimators"": 2098, ""reg_alpha"": 3.398042322726315, ""reg_lambda"": 5.00336351436056, ""scale_pos_weight"": 4.898979485566356, ""subsample"": 0.7113095778449228}",
TabPFN[Direct all-history] Calibration Base,TabPFN,direct_tfm_calibration_base,Raw all-history direct TFM context,TabPFN,none_calibration_base,calibration,350,0.22285714285714286,probability,0.3823082060409812,0.6837999622926094,0.1974995847765419,0.7252765199335398,0.17639468736547445,35,0.4857142857142857,0.21794871794871795,70,0.44285714285714284,0.3974358974358974,216,0.2916666666666667,0.8076923076923077,,0.0,1.841182128000014,0.0,3.5223183219999896,5.363500450000004,5.363500450000004,direct TFM base context excludes calibration-window labels,,
XGBoost[Raw all-history incumbent] Calibration Base,XGBoost,classical_incumbent_calibration_base,Raw all-history incumbent,none,none_calibration_base,calibration,350,0.22285714285714286,probability,0.36940900709522795,0.6800056561085973,0.20292299236249683,0.8199516279678781,0.18777886913158,35,0.45714285714285713,0.20512820512820512,70,0.38571428571428573,0.34615384615384615,224,0.28125,0.8076923076923077,0.5671010081348425,0.0,45.57278522899992,0.0,0.022889996499998233,45.59567522549992,45.59567522549992,raw all-history incumbent uses all pre-holdout raw labels available to the classical workflow; base model excludes calibration-window labels,"{""colsample_bylevel"": 0.6955303037866204, ""colsample_bytree"": 0.5502298482834342, ""gamma"": 0.34054025892686846, ""learning_rate"": 0.01788820529615122, ""max_bin"": 693, ""max_delta_step"": 1, ""max_depth"": 5, ""min_child_weight"": 0.17928063051726983, ""n_estimators"": 1102, ""reg_alpha"": 7.8703386917029325, ""reg_lambda"": 1.5262366889033188, ""scale_pos_weight"": 2.1343747458109497, ""subsample"": 0.952672307692442}",
XGBoost[Raw all-history incumbent] Calibrated,XGBoost,classical_incumbent_calibrated,Raw all-history incumbent,none,sigmoid,calibration,350,0.22285714285714286,probability,0.36940900709522795,0.6800056561085973,0.168372471973697,0.5170367813121568,0.0832957740030427,35,0.45714285714285713,0.20512820512820512,70,0.38571428571428573,0.34615384615384615,224,0.28125,0.8076923076923077,0.5671010081348425,0.0,45.57278522899992,0.028814404000058857,0.004652880499975254,45.60625251349995,45.60625251349995,raw all-history incumbent uses all pre-holdout raw labels available to the classical workflow; sigmoid calibration fitted on calibration window,"{""colsample_bylevel"": 0.6955303037866204, ""colsample_bytree"": 0.5502298482834342, ""gamma"": 0.34054025892686846, ""learning_rate"": 0.01788820529615122, ""max_bin"": 693, ""max_delta_step"": 1, ""max_depth"": 5, ""min_child_weight"": 0.17928063051726983, ""n_estimators"": 1102, ""reg_alpha"": 7.8703386917029325, ""reg_lambda"": 1.5262366889033188, ""scale_pos_weight"": 2.1343747458109497, ""subsample"": 0.952672307692442}",
XGBoost[Raw] Calibration Base,XGBoost,classical_calibration_base,Raw,none,none_calibration_base,calibration,350,0.22285714285714286,probability,0.3493939760790412,0.5596719457013575,0.2038823722586987,0.8880850208679729,0.18740734825442945,35,0.6285714285714286,0.28205128205128205,70,0.4,0.358974358974359,298,0.21140939597315436,0.8076923076923077,0.8243902439024391,0.0,14.469919561999973,0.0,0.01879948699996703,14.48871904899994,14.48871904899994,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; base model excludes calibration-window labels,"{""colsample_bylevel"": 0.6955303037866204, ""colsample_bytree"": 0.5502298482834342, ""gamma"": 0.34054025892686846, ""learning_rate"": 0.01788820529615122, ""max_bin"": 693, ""max_delta_step"": 1, ""max_depth"": 5, ""min_child_weight"": 0.17928063051726983, ""n_estimators"": 1102, ""reg_alpha"": 7.8703386917029325, ""reg_lambda"": 1.5262366889033188, ""scale_pos_weight"": 4.898979485566356, ""subsample"": 0.952672307692442}",
XGBoost[Raw] Calibrated,XGBoost,classical_calibrated,Raw,none,sigmoid,calibration,350,0.22285714285714286,probability,0.3493939760790412,0.5596719457013575,0.16900798711709694,0.5185623079500494,0.13291456998371914,35,0.6285714285714286,0.28205128205128205,70,0.4,0.358974358974359,298,0.21140939597315436,0.8076923076923077,0.8243902439024391,0.0,14.469919561999973,0.019737801000019317,0.0036313155000016195,14.493288678499994,14.493288678499994,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; sigmoid calibration fitted on calibration window,"{""colsample_bylevel"": 0.6955303037866204, ""colsample_bytree"": 0.5502298482834342, ""gamma"": 0.34054025892686846, ""learning_rate"": 0.01788820529615122, ""max_bin"": 693, ""max_delta_step"": 1, ""max_depth"": 5, ""min_child_weight"": 0.17928063051726983, ""n_estimators"": 1102, ""reg_alpha"": 7.8703386917029325, ""reg_lambda"": 1.5262366889033188, ""scale_pos_weight"": 4.898979485566356, ""subsample"": 0.952672307692442}",
XGBoost[Raw + TabPFN embeddings] Calibration Base,XGBoost,classical_calibration_base,Raw + TabPFN embeddings,TabPFN,none_calibration_base,calibration,350,0.22285714285714286,probability,0.2905072484318422,0.5107937405731523,0.2154070977633492,1.1617996357347047,0.20003317395998496,35,0.45714285714285713,0.20512820512820512,70,0.32857142857142857,0.2948717948717949,302,0.20860927152317882,0.8076923076923077,0.8067567567567568,14.231024340999909,19.03589126199995,0.0,0.03536864649998961,19.07125990849994,33.30228424949985,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; base model excludes calibration-window labels,"{""colsample_bylevel"": 0.5066324805799333, ""colsample_bytree"": 0.9682109656266691, ""gamma"": 0.02397338207928648, ""learning_rate"": 0.015138602392314762, ""max_bin"": 473, ""max_delta_step"": 10, ""max_depth"": 3, ""min_child_weight"": 5.645066779546335, ""n_estimators"": 1790, ""reg_alpha"": 0.6065193093671484, ""reg_lambda"": 5.159258269284958, ""scale_pos_weight"": 24.0, ""subsample"": 0.6280140940784975}",
XGBoost[Raw + TabPFN embeddings] Calibrated,XGBoost,classical_calibrated,Raw + TabPFN embeddings,TabPFN,sigmoid,calibration,350,0.22285714285714286,probability,0.2905072484318422,0.5107937405731523,0.17282069758741542,0.5288359370010519,0.08771385252424646,35,0.45714285714285713,0.20512820512820512,70,0.32857142857142857,0.2948717948717949,302,0.20860927152317882,0.8076923076923077,0.8067567567567568,14.231024340999909,19.03589126199995,0.027082143999905384,0.004918309999993653,19.06789171599985,33.29891605699976,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; sigmoid calibration fitted on calibration window,"{""colsample_bylevel"": 0.5066324805799333, ""colsample_bytree"": 0.9682109656266691, ""gamma"": 0.02397338207928648, ""learning_rate"": 0.015138602392314762, ""max_bin"": 473, ""max_delta_step"": 10, ""max_depth"": 3, ""min_child_weight"": 5.645066779546335, ""n_estimators"": 1790, ""reg_alpha"": 0.6065193093671484, ""reg_lambda"": 5.159258269284958, ""scale_pos_weight"": 24.0, ""subsample"": 0.6280140940784975}",
