Model,Feature Set,CV/Validation Average Precision,Best Params
XGBoost[Raw + TabICL embeddings] Calibration Base,Raw + TabICL embeddings,0.40879581832436623,"{""colsample_bylevel"": 0.5091838184702699, ""colsample_bytree"": 0.7152960098533754, ""gamma"": 0.0001828510588199686, ""learning_rate"": 0.012829918481122759, ""max_bin"": 369, ""max_delta_step"": 5, ""max_depth"": 2, ""min_child_weight"": 1.7869192791910866, ""n_estimators"": 1200, ""reg_alpha"": 15.056859598689561, ""reg_lambda"": 0.09361235080183364, ""scale_pos_weight"": 1.0, ""subsample"": 0.5853603237197593}"
XGBoost[Raw + TabICL embeddings] Calibrated,Raw + TabICL embeddings,0.40879581832436623,"{""colsample_bylevel"": 0.5091838184702699, ""colsample_bytree"": 0.7152960098533754, ""gamma"": 0.0001828510588199686, ""learning_rate"": 0.012829918481122759, ""max_bin"": 369, ""max_delta_step"": 5, ""max_depth"": 2, ""min_child_weight"": 1.7869192791910866, ""n_estimators"": 1200, ""reg_alpha"": 15.056859598689561, ""reg_lambda"": 0.09361235080183364, ""scale_pos_weight"": 1.0, ""subsample"": 0.5853603237197593}"
XGBoost[Raw all-history incumbent] Calibration Base,Raw all-history incumbent,0.6985262076236985,"{""colsample_bylevel"": 0.9638761415976065, ""colsample_bytree"": 0.9971993024555394, ""gamma"": 0.0001105023452335592, ""learning_rate"": 0.015842748813287347, ""max_bin"": 817, ""max_delta_step"": 1, ""max_depth"": 7, ""min_child_weight"": 48.7503043944788, ""n_estimators"": 402, ""reg_alpha"": 5.138446923504145, ""reg_lambda"": 0.27533096962597137, ""scale_pos_weight"": 1.0, ""subsample"": 0.7916384903020361}"
XGBoost[Raw all-history incumbent] Calibrated,Raw all-history incumbent,0.6985262076236985,"{""colsample_bylevel"": 0.9638761415976065, ""colsample_bytree"": 0.9971993024555394, ""gamma"": 0.0001105023452335592, ""learning_rate"": 0.015842748813287347, ""max_bin"": 817, ""max_delta_step"": 1, ""max_depth"": 7, ""min_child_weight"": 48.7503043944788, ""n_estimators"": 402, ""reg_alpha"": 5.138446923504145, ""reg_lambda"": 0.27533096962597137, ""scale_pos_weight"": 1.0, ""subsample"": 0.7916384903020361}"
XGBoost[Raw] Calibration Base,Raw,0.4886787602603518,"{""colsample_bylevel"": 0.6164797373768169, ""colsample_bytree"": 0.46342042985609594, ""gamma"": 1.6618554412851057, ""learning_rate"": 0.003280308724926746, ""max_bin"": 886, ""max_delta_step"": 10, ""max_depth"": 6, ""min_child_weight"": 0.7093517983475722, ""n_estimators"": 2031, ""reg_alpha"": 3.903755871230952, ""reg_lambda"": 98.44200190967568, ""scale_pos_weight"": 1.0, ""subsample"": 0.8952347300190071}"
XGBoost[Raw] Calibrated,Raw,0.4886787602603518,"{""colsample_bylevel"": 0.6164797373768169, ""colsample_bytree"": 0.46342042985609594, ""gamma"": 1.6618554412851057, ""learning_rate"": 0.003280308724926746, ""max_bin"": 886, ""max_delta_step"": 10, ""max_depth"": 6, ""min_child_weight"": 0.7093517983475722, ""n_estimators"": 2031, ""reg_alpha"": 3.903755871230952, ""reg_lambda"": 98.44200190967568, ""scale_pos_weight"": 1.0, ""subsample"": 0.8952347300190071}"
XGBoost[Raw + TabPFN embeddings] Calibration Base,Raw + TabPFN embeddings,0.6349046954802502,"{""colsample_bylevel"": 0.725419685702066, ""colsample_bytree"": 0.5122809252124154, ""gamma"": 8.11049187899339, ""learning_rate"": 0.10167046441455149, ""max_bin"": 309, ""max_delta_step"": 0, ""max_depth"": 2, ""min_child_weight"": 20.35443681940401, ""n_estimators"": 966, ""reg_alpha"": 0.00039063337524983705, ""reg_lambda"": 5.077473114232567, ""scale_pos_weight"": 24.15, ""subsample"": 0.5746427374699141}"
XGBoost[Raw + TabPFN embeddings] Calibrated,Raw + TabPFN embeddings,0.6349046954802502,"{""colsample_bylevel"": 0.725419685702066, ""colsample_bytree"": 0.5122809252124154, ""gamma"": 8.11049187899339, ""learning_rate"": 0.10167046441455149, ""max_bin"": 309, ""max_delta_step"": 0, ""max_depth"": 2, ""min_child_weight"": 20.35443681940401, ""n_estimators"": 966, ""reg_alpha"": 0.00039063337524983705, ""reg_lambda"": 5.077473114232567, ""scale_pos_weight"": 24.15, ""subsample"": 0.5746427374699141}"
XGBoost[Raw all-history incumbent],Raw all-history incumbent,0.6985262076236985,"{""colsample_bylevel"": 0.9638761415976065, ""colsample_bytree"": 0.9971993024555394, ""gamma"": 0.0001105023452335592, ""learning_rate"": 0.015842748813287347, ""max_bin"": 817, ""max_delta_step"": 1, ""max_depth"": 7, ""min_child_weight"": 48.7503043944788, ""n_estimators"": 402, ""reg_alpha"": 5.138446923504145, ""reg_lambda"": 0.27533096962597137, ""scale_pos_weight"": 1.0, ""subsample"": 0.7916384903020361}"
XGBoost[Raw],Raw,0.4886787602603518,"{""colsample_bylevel"": 0.6164797373768169, ""colsample_bytree"": 0.46342042985609594, ""gamma"": 1.6618554412851057, ""learning_rate"": 0.003280308724926746, ""max_bin"": 886, ""max_delta_step"": 10, ""max_depth"": 6, ""min_child_weight"": 0.7093517983475722, ""n_estimators"": 2031, ""reg_alpha"": 3.903755871230952, ""reg_lambda"": 98.44200190967568, ""scale_pos_weight"": 1.0, ""subsample"": 0.8952347300190071}"
