Model,Family,Calibration,Evaluation Window,Average Precision,Brier Score,Log Loss,ECE Quantile 10
XGBoost[Raw + TabICL embeddings] Calibration Base,classical_calibration_base,none_calibration_base,calibration,0.43834886384721844,0.19624689520934535,0.7154161364063234,0.1855932030804589
XGBoost[Raw + TabICL embeddings] Calibrated,classical_calibrated,sigmoid,calibration,0.43834886384721844,0.15267978642361685,0.4859205951477928,0.1111339077549656
XGBoost[Raw all-history incumbent] Calibration Base,classical_incumbent_calibration_base,none_calibration_base,calibration,0.41507063306200254,0.19937068067747452,0.7662074781114308,0.1854365726582943
XGBoost[Raw all-history incumbent] Calibrated,classical_incumbent_calibrated,sigmoid,calibration,0.41507063306200254,0.1668539262241558,0.513476363868176,0.10635300016378932
XGBoost[Raw] Calibration Base,classical_calibration_base,none_calibration_base,calibration,0.39497020166334673,0.2079071774023014,0.8375593603678462,0.19959316465070484
XGBoost[Raw] Calibrated,classical_calibrated,sigmoid,calibration,0.39497020166334673,0.1599356699295727,0.4978990380759842,0.052845082079924624
TabPFN[Direct all-history] Calibration Base,direct_tfm_calibration_base,none_calibration_base,calibration,0.347556410580513,0.1959500891824225,0.7195744737764059,0.16732849939318956
TabICL[Direct all-history] Calibration Base,direct_tfm_calibration_base,none_calibration_base,calibration,0.32131520642004335,0.18655515424539937,0.6576382926408851,0.13267258867548748
XGBoost[Raw + TabPFN embeddings] Calibration Base,classical_calibration_base,none_calibration_base,calibration,0.3106123640178249,0.20344695180368313,1.0112694218786062,0.19117486176845225
XGBoost[Raw + TabPFN embeddings] Calibrated,classical_calibrated,sigmoid,calibration,0.3106123640178249,0.16692530514457637,0.5153598016319371,0.09300913846232739
TabICL[Direct all-history] Calibration Base,direct_tfm_calibration_base,none_calibration_base,holdout,0.675102629844301,0.12223131143122623,0.39380434214104326,0.03688881264431585
TabPFN[Direct all-history],direct_tfm,none,holdout,0.6548013807094264,0.12527051818138296,0.4060018566339752,0.03892075172020803
TabPFN[Direct all-history] Calibration Base,direct_tfm_calibration_base,none_calibration_base,holdout,0.635847185013076,0.13428898741475923,0.4376471229842633,0.06492850994886883
XGBoost[Raw all-history incumbent] Calibration Base,classical_incumbent_calibration_base,none_calibration_base,holdout,0.630556502281961,0.13909110041841435,0.45930235457361124,0.09288574924886955
XGBoost[Raw all-history incumbent] Calibrated,classical_incumbent_calibrated,sigmoid,holdout,0.630556502281961,0.14044116371984433,0.4600001121099235,0.10241630211575993
XGBoost[Raw] Calibration Base,classical_calibration_base,none_calibration_base,holdout,0.6211347698453267,0.20183958145607095,0.7348570123432323,0.20344650122099323
XGBoost[Raw] Calibrated,classical_calibrated,sigmoid,holdout,0.6211347698453267,0.13096318198717607,0.4320034754541089,0.09270035295445296
XGBoost[Raw all-history incumbent],classical_incumbent,none,holdout,0.6117070562562414,0.13271028612546032,0.42421724826028817,0.039531945561566875
TabICL[Direct all-history],direct_tfm,none,holdout,0.6115725300007795,0.13414797394828287,0.4274239173048328,0.04123562735237595
XGBoost[Raw + TabICL embeddings] Calibration Base,classical_calibration_base,none_calibration_base,holdout,0.5894500776783895,0.2019577597343845,0.6981080712501371,0.18871874039972536
XGBoost[Raw + TabICL embeddings] Calibrated,classical_calibrated,sigmoid,holdout,0.5894500776783895,0.1473405782137697,0.4667699449637474,0.0952123089718246
XGBoost[Raw + TabPFN embeddings] Calibration Base,classical_calibration_base,none_calibration_base,holdout,0.5834016187467502,0.17106488306255643,0.7228041381033109,0.16151177761805044
XGBoost[Raw + TabPFN embeddings] Calibrated,classical_calibrated,sigmoid,holdout,0.5834016187467502,0.14587689263124548,0.46521996305385416,0.09370076334223963
XGBoost[Raw],classical,none,holdout,0.5282288368993502,0.18756458968673742,0.6010600554901303,0.15432464241990992
XGBoost[Raw + TabPFN embeddings],classical,none,holdout,0.4905750501445547,0.16697081021472185,0.7009234709664333,0.10506123514561191
XGBoost[Raw + TabICL embeddings],classical,none,holdout,0.43395492700908456,0.194488255892616,0.6379290806650332,0.1626979846526281
Dummy[Prior probability],baseline,none,holdout,0.23297262889879058,0.17958065740630574,0.5454818062065051,0.17057969335997528
