stage,device_index,device_name,allocated_mb,reserved_mb,max_allocated_mb,free_mb,total_mb
after_imports_and_configuration,0,Tesla T4,0.0,0.0,0.0,14807.8125,14912.6875
after_imports_and_configuration,1,Tesla T4,0.0,0.0,0.0,14807.8125,14912.6875
before_tabpfn_embedding_extraction,0,Tesla T4,0.0,0.0,0.0,14807.8125,14912.6875
before_tabpfn_embedding_extraction,1,Tesla T4,0.0,0.0,0.0,14807.8125,14912.6875
after_tabpfn_embedding_extraction,0,Tesla T4,9.859375,3760.0,2896.7490234375,11019.8125,14912.6875
after_tabpfn_embedding_extraction,1,Tesla T4,9.859375,3740.0,2900.21630859375,11039.8125,14912.6875
before_tabicl_embedding_extraction,0,Tesla T4,9.859375,3760.0,9.859375,11019.8125,14912.6875
before_tabicl_embedding_extraction,1,Tesla T4,9.859375,3740.0,9.859375,11039.8125,14912.6875
after_tabicl_embedding_extraction,0,Tesla T4,9.859375,10242.0,10254.60791015625,4535.8125,14912.6875
after_tabicl_embedding_extraction,1,Tesla T4,9.859375,22.0,9.859375,14757.8125,14912.6875
