Model,Evaluation Window,Type,Value,Alerts,Precision,Recall
Dummy[Prior probability],holdout,top_rate,0.05,79,0.35443037974683544,0.07650273224043716
Dummy[Prior probability],holdout,top_rate,0.1,158,0.4240506329113924,0.1830601092896175
Dummy[Prior probability],holdout,top_rate,0.2,315,0.32063492063492066,0.27595628415300544
Dummy[Prior probability],holdout,top_rate,0.3,472,0.22033898305084745,0.28415300546448086
Dummy[Prior probability],holdout,target_recall,0.5,604,0.3029801324503311,0.5
Dummy[Prior probability],holdout,target_recall,0.7,705,0.3645390070921986,0.7021857923497268
Dummy[Prior probability],holdout,target_recall,0.8,1133,0.2586054721977052,0.8005464480874317
Dummy[Prior probability],holdout,target_recall,0.9,1340,0.2462686567164179,0.9016393442622951
Rule[SPY realized volatility 20d],holdout,top_rate,0.05,79,0.7721518987341772,0.16666666666666666
Rule[SPY realized volatility 20d],holdout,top_rate,0.1,158,0.6708860759493671,0.2896174863387978
Rule[SPY realized volatility 20d],holdout,top_rate,0.2,315,0.5968253968253968,0.5136612021857924
Rule[SPY realized volatility 20d],holdout,top_rate,0.3,472,0.5508474576271186,0.7103825136612022
Rule[SPY realized volatility 20d],holdout,target_recall,0.5,299,0.6120401337792643,0.5
Rule[SPY realized volatility 20d],holdout,target_recall,0.7,452,0.5685840707964602,0.7021857923497268
Rule[SPY realized volatility 20d],holdout,target_recall,0.8,659,0.44461305007587254,0.8005464480874317
Rule[SPY realized volatility 20d],holdout,target_recall,0.9,1124,0.29359430604982206,0.9016393442622951
Rule[VIX close],holdout,top_rate,0.05,79,0.7341772151898734,0.15846994535519127
Rule[VIX close],holdout,top_rate,0.1,158,0.7151898734177216,0.3087431693989071
Rule[VIX close],holdout,top_rate,0.2,315,0.6444444444444445,0.5546448087431693
Rule[VIX close],holdout,top_rate,0.3,472,0.5360169491525424,0.6912568306010929
Rule[VIX close],holdout,target_recall,0.5,282,0.648936170212766,0.5
Rule[VIX close],holdout,target_recall,0.7,476,0.5399159663865546,0.7021857923497268
Rule[VIX close],holdout,target_recall,0.8,611,0.4795417348608838,0.8005464480874317
Rule[VIX close],holdout,target_recall,0.9,865,0.3815028901734104,0.9016393442622951
XGBoost[Raw all-history incumbent],holdout,top_rate,0.05,79,0.810126582278481,0.17486338797814208
XGBoost[Raw all-history incumbent],holdout,top_rate,0.1,158,0.7468354430379747,0.3224043715846995
XGBoost[Raw all-history incumbent],holdout,top_rate,0.2,315,0.6412698412698413,0.5519125683060109
XGBoost[Raw all-history incumbent],holdout,top_rate,0.3,472,0.5233050847457628,0.674863387978142
XGBoost[Raw all-history incumbent],holdout,target_recall,0.5,273,0.6703296703296703,0.5
XGBoost[Raw all-history incumbent],holdout,target_recall,0.7,533,0.4821763602251407,0.7021857923497268
XGBoost[Raw all-history incumbent],holdout,target_recall,0.8,725,0.40413793103448276,0.8005464480874317
XGBoost[Raw all-history incumbent],holdout,target_recall,0.9,1037,0.31822565091610416,0.9016393442622951
XGBoost[Raw all-history incumbent] Calibration Base,holdout,top_rate,0.05,79,0.8860759493670886,0.1912568306010929
XGBoost[Raw all-history incumbent] Calibration Base,holdout,top_rate,0.1,158,0.7341772151898734,0.31693989071038253
XGBoost[Raw all-history incumbent] Calibration Base,holdout,top_rate,0.2,315,0.6571428571428571,0.5655737704918032
