Model,Metric,Point Estimate,Bootstrap Median,CI Lower,CI Upper,Bootstrap Iterations Requested,Bootstrap Iterations Used,Block Unit,Confidence Level
Rule[SPY realized volatility 20d],average_precision,0.6014867301173222,0.6121931213229846,0.38455569224990127,0.74903698596701,300,300,calendar_month,0.95
Rule[SPY realized volatility 20d],roc_auc,0.8092578736140399,0.8061761105090467,0.7120153235949349,0.8841575017932682,300,300,calendar_month,0.95
Rule[SPY realized volatility 20d],top_20_recall,0.5136612021857924,0.5203406326034064,0.3912430579770541,0.6750318846607055,300,300,calendar_month,0.95
Rule[VIX close],average_precision,0.6326031416335401,0.6319124085315231,0.46427962351671,0.7829225745101989,300,300,calendar_month,0.95
Rule[VIX close],roc_auc,0.8324388363603383,0.83206070419004,0.7471683267279572,0.9008902484817404,300,300,calendar_month,0.95
Rule[VIX close],top_20_recall,0.5546448087431693,0.5448950069565377,0.43058492847586705,0.7010558339298497,300,300,calendar_month,0.95
XGBoost[Raw all-history incumbent],average_precision,0.6117070562562414,0.6150504369398866,0.42400475155693595,0.7546547904480436,300,300,calendar_month,0.95
XGBoost[Raw all-history incumbent],roc_auc,0.8108609391651361,0.8103712393995136,0.7280289221182027,0.8803068898783616,300,300,calendar_month,0.95
XGBoost[Raw all-history incumbent],top_20_recall,0.5519125683060109,0.5450815246733614,0.41801427738927743,0.703061924982307,300,300,calendar_month,0.95
XGBoost[Raw],average_precision,0.5282288368993502,0.5234752487120499,0.31473249637067957,0.6883211181960324,300,300,calendar_month,0.95
XGBoost[Raw],roc_auc,0.7119923814706483,0.7102975780721198,0.5766361456135856,0.819492369040696,300,300,calendar_month,0.95
XGBoost[Raw],top_20_recall,0.45081967213114754,0.44516428844787054,0.305113756944011,0.587330723656369,300,300,calendar_month,0.95
XGBoost[Raw + TabPFN embeddings],average_precision,0.4905750501445547,0.48023303665386585,0.2804227099240092,0.6647211411273037,300,300,calendar_month,0.95
XGBoost[Raw + TabPFN embeddings],roc_auc,0.6570437385211891,0.6500676745770415,0.5015877526319349,0.7960534403222267,300,300,calendar_month,0.95
XGBoost[Raw + TabPFN embeddings],top_20_recall,0.4371584699453552,0.4260222357842227,0.26709558823529417,0.564775486776458,300,300,calendar_month,0.95
XGBoost[Raw + TabICL embeddings],average_precision,0.43395492700908456,0.4388193933939362,0.2786237353178674,0.5866013515453696,300,300,calendar_month,0.95
XGBoost[Raw + TabICL embeddings],roc_auc,0.7044690837358004,0.7071442452851615,0.5841115412509783,0.812375830875616,300,300,calendar_month,0.95
XGBoost[Raw + TabICL embeddings],top_20_recall,0.4371584699453552,0.42737727973868067,0.3204096131206106,0.560659308962837,300,300,calendar_month,0.95
TabPFN[Direct all-history],average_precision,0.6548013807094264,0.6556811039535828,0.439056547240234,0.8050273774752927,300,300,calendar_month,0.95
TabPFN[Direct all-history],roc_auc,0.8208511892615016,0.8244961452879871,0.7134347190669871,0.9027500672797685,300,300,calendar_month,0.95
TabPFN[Direct all-history],top_20_recall,0.5601092896174863,0.5612748854121679,0.41377811621368327,0.7056485012346451,300,300,calendar_month,0.95
TabICL[Direct all-history],average_precision,0.6115725300007795,0.6113799769494319,0.4287680849971699,0.7664544032839142,300,300,calendar_month,0.95
TabICL[Direct all-history],roc_auc,0.797672493934653,0.8021581269220296,0.6884302501584585,0.8917187230131631,300,300,calendar_month,0.95
TabICL[Direct all-history],top_20_recall,0.5081967213114754,0.519665635871666,0.374696314824499,0.6750234082397,300,300,calendar_month,0.95
