Model,Evaluation Window,bin,rows,high_vol_rows,score_min,score_max,mean_score,observed_high_vol_rate,abs_calibration_error
Dummy[Prior probability],holdout,1,158,67,0.20323587851263128,0.20323587851263128,0.2032358785126314,0.4240506329113924,0.220814754398761
Dummy[Prior probability],holdout,2,157,34,0.20323587851263128,0.20323587851263128,0.20323587851263136,0.21656050955414013,0.013324631041508772
Dummy[Prior probability],holdout,3,157,3,0.20323587851263128,0.20323587851263128,0.20323587851263136,0.01910828025477707,0.1841275982578543
Dummy[Prior probability],holdout,4,157,88,0.20323587851263128,0.20323587851263128,0.20323587851263136,0.5605095541401274,0.357273675627496
Dummy[Prior probability],holdout,5,157,90,0.20323587851263128,0.20323587851263128,0.20323587851263136,0.5732484076433121,0.3700125291306807
Dummy[Prior probability],holdout,6,157,0,0.20323587851263128,0.20323587851263128,0.20323587851263136,0.0,0.20323587851263136
Dummy[Prior probability],holdout,7,157,0,0.20323587851263128,0.20323587851263128,0.20323587851263136,0.0,0.20323587851263136
Dummy[Prior probability],holdout,8,157,14,0.20323587851263128,0.20323587851263128,0.20323587851263136,0.08917197452229299,0.11406390399033838
Dummy[Prior probability],holdout,9,157,38,0.20323587851263128,0.20323587851263128,0.20323587851263136,0.24203821656050956,0.03880233804787819
Dummy[Prior probability],holdout,10,157,32,0.20323587851263128,0.20323587851263128,0.20323587851263136,0.20382165605095542,0.0005857775383240615
XGBoost[Raw all-history incumbent],holdout,1,158,4,0.013554329983890057,0.03721514344215393,0.029004183096834755,0.02531645569620253,0.0036877274006322236
XGBoost[Raw all-history incumbent],holdout,2,157,15,0.03727172315120697,0.05457915738224983,0.045404362047364,0.09554140127388536,0.05013703922652136
XGBoost[Raw all-history incumbent],holdout,3,157,14,0.05458199977874756,0.0771181583404541,0.06523044941246889,0.08917197452229299,0.0239415251098241
XGBoost[Raw all-history incumbent],holdout,4,157,11,0.07751458883285522,0.09733353555202484,0.08762082262973117,0.07006369426751592,0.01755712836221525
XGBoost[Raw all-history incumbent],holdout,5,157,18,0.09737098962068558,0.11597498506307602,0.10651350942007295,0.11464968152866242,0.008136172108589468
XGBoost[Raw all-history incumbent],holdout,6,157,24,0.11598586291074753,0.1443106085062027,0.12910558814835396,0.15286624203821655,0.023760653889862593
XGBoost[Raw all-history incumbent],holdout,7,157,33,0.1446468085050583,0.20090891420841217,0.16956405882622785,0.21019108280254778,0.040627023976319926
XGBoost[Raw all-history incumbent],holdout,8,157,45,0.20105868577957153,0.28225892782211304,0.23648489043591128,0.28662420382165604,0.05013931338574476
XGBoost[Raw all-history incumbent],holdout,9,157,85,0.28512269258499146,0.5706679821014404,0.3984161195861306,0.5414012738853503,0.1429851542992197
XGBoost[Raw all-history incumbent],holdout,10,157,117,0.5718511939048767,0.94659024477005,0.7797989549150892,0.7452229299363057,0.03457602497878354
