Model,Base Model,Feature Set,Calibration,Evaluation Window,Average Precision,ROC AUC,Brier Score,Shared Feature Prep Seconds,Fit Seconds,Calibration Seconds,Predict Seconds,Workflow Seconds
XGBoost[Raw + TabICL embeddings] Calibration Base,XGBoost,Raw + TabICL embeddings,none_calibration_base,calibration,0.43834886384721844,0.6359723237120936,0.19624689520934535,80.2510323009999,320.8283168189996,0.0,0.021164734499961924,401.10051385449947
XGBoost[Raw + TabICL embeddings] Calibrated,XGBoost,Raw + TabICL embeddings,sigmoid,calibration,0.43834886384721844,0.6359723237120936,0.15267978642361685,80.2510323009999,320.8283168189996,0.026841130999855523,0.005957413499800168,401.11214766449916
XGBoost[Raw all-history incumbent] Calibration Base,XGBoost,Raw all-history incumbent,none_calibration_base,calibration,0.41507063306200254,0.707206795761783,0.19937068067747452,0.0,1584.095955091,0.0,0.008164072999989003,1584.104119164
XGBoost[Raw all-history incumbent] Calibrated,XGBoost,Raw all-history incumbent,sigmoid,calibration,0.41507063306200254,0.707206795761783,0.1668539262241558,0.0,1584.095955091,0.03704072299979089,0.004070831500030181,1584.1370666454998
XGBoost[Raw] Calibration Base,XGBoost,Raw,none_calibration_base,calibration,0.39497020166334673,0.6238924917793205,0.2079071774023014,0.0,201.65576598399957,0.0,0.029822754000178975,201.68558873799975
XGBoost[Raw] Calibrated,XGBoost,Raw,sigmoid,calibration,0.39497020166334673,0.6238924917793205,0.1599356699295727,0.0,201.65576598399957,0.0315467880000142,0.0059563529998740705,201.69326912499946
Rule[VIX close],Rule,vix_close,none,calibration,0.3921756666260079,0.6403452685421994,,0.0,0.0,0.0,0.0,0.0
TabPFN[Direct all-history] Calibration Base,TabPFN,Raw all-history direct TFM context,none_calibration_base,calibration,0.347556410580513,0.6296698027036902,0.1959500891824225,0.0,8.423670782000045,0.0,37.34790919500006,45.7715799770001
TabICL[Direct all-history] Calibration Base,TabICL,Raw all-history direct TFM context,none_calibration_base,calibration,0.32131520642004335,0.5854379795396419,0.18655515424539937,0.0,3.527187632999812,0.0,17.734665002000156,21.26185263499997
XGBoost[Raw + TabPFN embeddings] Calibration Base,XGBoost,Raw + TabPFN embeddings,none_calibration_base,calibration,0.3106123640178249,0.49675739861161855,0.20344695180368313,122.59153253400041,255.47168439000006,0.0,0.015606477500114124,378.0788234015006
XGBoost[Raw + TabPFN embeddings] Calibrated,XGBoost,Raw + TabPFN embeddings,sigmoid,calibration,0.3106123640178249,0.49675739861161855,0.16692530514457637,122.59153253400041,255.47168439000006,0.027087980000032985,0.004737456000157181,378.09504236000066
Rule[SPY realized volatility 20d],Rule,spy_rv_20d,none,calibration,0.26482223621086415,0.5642583120204604,,0.0,0.0,0.0,0.0,0.0
TabICL[Direct all-history] Calibration Base,TabICL,Raw all-history direct TFM context,none_calibration_base,holdout,0.675102629844301,0.8449901367253929,0.12223131143122623,0.0,3.527187632999812,0.0,17.734665002000156,21.26185263499997
TabPFN[Direct all-history],TabPFN,Raw all-history direct TFM context,none,holdout,0.6548013807094264,0.8208511892615016,0.12527051818138296,0.0,9.605200127999979,0.0,51.371995309999875,60.97719543799985
TabPFN[Direct all-history] Calibration Base,TabPFN,Raw all-history direct TFM context,none_calibration_base,holdout,0.635847185013076,0.8129163548964924,0.13428898741475923,0.0,8.423670782000045,0.0,37.34790919500006,45.7715799770001
Rule[VIX close],Rule,vix_close,none,holdout,0.6326031416335401,0.8324388363603383,,0.0,0.0,0.0,0.0,0.0
XGBoost[Raw all-history incumbent] Calibration Base,XGBoost,Raw all-history incumbent,none_calibration_base,holdout,0.630556502281961,0.8219520214044396,0.13909110041841435,0.0,1584.095955091,0.0,0.008164072999989003,1584.104119164
XGBoost[Raw all-history incumbent] Calibrated,XGBoost,Raw all-history incumbent,sigmoid,holdout,0.630556502281961,0.8219520214044396,0.14044116371984433,0.0,1584.095955091,0.03704072299979089,0.004070831500030181,1584.1370666454998
XGBoost[Raw] Calibration Base,XGBoost,Raw,none_calibration_base,holdout,0.6211347698453267,0.8007142371267261,0.20183958145607095,0.0,201.65576598399957,0.0,0.029822754000178975,201.68558873799975
XGBoost[Raw] Calibrated,XGBoost,Raw,sigmoid,holdout,0.6211347698453267,0.8007142371267261,0.13096318198717607,0.0,201.65576598399957,0.0315467880000142,0.0059563529998740705,201.69326912499946
XGBoost[Raw all-history incumbent],XGBoost,Raw all-history incumbent,none,holdout,0.6117070562562414,0.8108609391651361,0.13271028612546032,0.0,1584.384319684,0.0,0.012960502999703749,1584.3972801869998
TabICL[Direct all-history],TabICL,Raw all-history direct TFM context,none,holdout,0.6115725300007795,0.797672493934653,0.13414797394828287,0.0,3.917005643000266,0.0,21.671648946000005,25.58865458900027
Rule[SPY realized volatility 20d],Rule,spy_rv_20d,none,holdout,0.6014867301173222,0.8092578736140399,,0.0,0.0,0.0,0.0,0.0
XGBoost[Raw + TabICL embeddings] Calibration Base,XGBoost,Raw + TabICL embeddings,none_calibration_base,holdout,0.5894500776783895,0.7362855134571346,0.2019577597343845,80.2510323009999,320.8283168189996,0.0,0.021164734499961924,401.10051385449947
XGBoost[Raw + TabICL embeddings] Calibrated,XGBoost,Raw + TabICL embeddings,sigmoid,holdout,0.5894500776783895,0.7362855134571346,0.1473405782137697,80.2510323009999,320.8283168189996,0.026841130999855523,0.005957413499800168,401.11214766449916
XGBoost[Raw + TabPFN embeddings] Calibration Base,XGBoost,Raw + TabPFN embeddings,none_calibration_base,holdout,0.5834016187467502,0.7899190531256377,0.17106488306255643,122.59153253400041,255.47168439000006,0.0,0.015606477500114124,378.0788234015006
XGBoost[Raw + TabPFN embeddings] Calibrated,XGBoost,Raw + TabPFN embeddings,sigmoid,holdout,0.5834016187467502,0.7899190531256377,0.14587689263124548,122.59153253400041,255.47168439000006,0.027087980000032985,0.004737456000157181,378.09504236000066
XGBoost[Raw],XGBoost,Raw,none,holdout,0.5282288368993502,0.7119923814706483,0.18756458968673742,0.0,205.5348803789998,0.0,0.057645325000066805,205.59252570399985
XGBoost[Raw + TabPFN embeddings],XGBoost,Raw + TabPFN embeddings,none,holdout,0.4905750501445547,0.6570437385211891,0.16697081021472185,122.59153253400041,255.5450794010003,0.0,0.028289648000281886,378.164901583001
XGBoost[Raw + TabICL embeddings],XGBoost,Raw + TabICL embeddings,none,holdout,0.43395492700908456,0.7044690837358004,0.194488255892616,80.2510323009999,320.97046725200016,0.0,0.03800209699966217,401.2595016499997
Dummy[Prior probability],Dummy,Raw,none,holdout,0.23297262889879058,0.5,0.17958065740630574,0.0,0.0,0.0,0.0,0.0
