Model,Base Model,Family,Feature Set,Embedding Source,Calibration,Evaluation Window,Rows,High Vol Rate,Score Type,Average Precision,ROC AUC,Brier Score,Log Loss,ECE Quantile 10,Top 10% Alerts,Top 10% Precision,Top 10% Recall,Top 20% Alerts,Top 20% Precision,Top 20% Recall,Alerts for 80% Recall,Precision at 80% Recall,Actual Recall at 80% Target,CV/Validation Average Precision,Shared Feature Prep Seconds,Fit Seconds,Calibration Seconds,Predict Seconds,Total Seconds,Workflow Seconds,Timing Notes,Best Params,Error
XGBoost[Raw + TabICL embeddings] Calibration Base,XGBoost,classical_calibration_base,Raw + TabICL embeddings,TabICL,none_calibration_base,calibration,503,0.22266401590457258,probability,0.43834886384721844,0.6359723237120936,0.19624689520934535,0.7154161364063234,0.1855932030804589,51,0.6470588235294118,0.29464285714285715,101,0.5247524752475248,0.4732142857142857,379,0.23746701846965698,0.8035714285714286,0.40879581832436623,80.2510323009999,320.8283168189996,0.0,0.021164734499961924,320.8494815534996,401.10051385449947,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; base model excludes calibration-window labels,"{""colsample_bylevel"": 0.5091838184702699, ""colsample_bytree"": 0.7152960098533754, ""gamma"": 0.0001828510588199686, ""learning_rate"": 0.012829918481122759, ""max_bin"": 369, ""max_delta_step"": 5, ""max_depth"": 2, ""min_child_weight"": 1.7869192791910866, ""n_estimators"": 1200, ""reg_alpha"": 15.056859598689561, ""reg_lambda"": 0.09361235080183364, ""scale_pos_weight"": 1.0, ""subsample"": 0.5853603237197593}",
XGBoost[Raw + TabICL embeddings] Calibrated,XGBoost,classical_calibrated,Raw + TabICL embeddings,TabICL,sigmoid,calibration,503,0.22266401590457258,probability,0.43834886384721844,0.6359723237120936,0.15267978642361685,0.4859205951477928,0.1111339077549656,51,0.6470588235294118,0.29464285714285715,101,0.5247524752475248,0.4732142857142857,379,0.23746701846965698,0.8035714285714286,0.40879581832436623,80.2510323009999,320.8283168189996,0.026841130999855523,0.005957413499800168,320.86111536349927,401.11214766449916,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; sigmoid calibration fitted on calibration window,"{""colsample_bylevel"": 0.5091838184702699, ""colsample_bytree"": 0.7152960098533754, ""gamma"": 0.0001828510588199686, ""learning_rate"": 0.012829918481122759, ""max_bin"": 369, ""max_delta_step"": 5, ""max_depth"": 2, ""min_child_weight"": 1.7869192791910866, ""n_estimators"": 1200, ""reg_alpha"": 15.056859598689561, ""reg_lambda"": 0.09361235080183364, ""scale_pos_weight"": 1.0, ""subsample"": 0.5853603237197593}",
XGBoost[Raw all-history incumbent] Calibration Base,XGBoost,classical_incumbent_calibration_base,Raw all-history incumbent,none,none_calibration_base,calibration,503,0.22266401590457258,probability,0.41507063306200254,0.707206795761783,0.19937068067747452,0.7662074781114308,0.1854365726582943,51,0.47058823529411764,0.21428571428571427,101,0.48514851485148514,0.4375,264,0.3409090909090909,0.8035714285714286,0.6985262076236985,0.0,1584.095955091,0.0,0.008164072999989003,1584.104119164,1584.104119164,raw all-history incumbent uses all pre-holdout raw labels available to the classical workflow; base model excludes calibration-window labels,"{""colsample_bylevel"": 0.9638761415976065, ""colsample_bytree"": 0.9971993024555394, ""gamma"": 0.0001105023452335592, ""learning_rate"": 0.015842748813287347, ""max_bin"": 817, ""max_delta_step"": 1, ""max_depth"": 7, ""min_child_weight"": 48.7503043944788, ""n_estimators"": 402, ""reg_alpha"": 5.138446923504145, ""reg_lambda"": 0.27533096962597137, ""scale_pos_weight"": 1.0, ""subsample"": 0.7916384903020361}",
XGBoost[Raw all-history incumbent] Calibrated,XGBoost,classical_incumbent_calibrated,Raw all-history incumbent,none,sigmoid,calibration,503,0.22266401590457258,probability,0.41507063306200254,0.707206795761783,0.1668539262241558,0.513476363868176,0.10635300016378932,51,0.47058823529411764,0.21428571428571427,101,0.48514851485148514,0.4375,264,0.3409090909090909,0.8035714285714286,0.6985262076236985,0.0,1584.095955091,0.03704072299979089,0.004070831500030181,1584.1370666454998,1584.1370666454998,raw all-history incumbent uses all pre-holdout raw labels available to the classical workflow; sigmoid calibration fitted on calibration window,"{""colsample_bylevel"": 0.9638761415976065, ""colsample_bytree"": 0.9971993024555394, ""gamma"": 0.0001105023452335592, ""learning_rate"": 0.015842748813287347, ""max_bin"": 817, ""max_delta_step"": 1, ""max_depth"": 7, ""min_child_weight"": 48.7503043944788, ""n_estimators"": 402, ""reg_alpha"": 5.138446923504145, ""reg_lambda"": 0.27533096962597137, ""scale_pos_weight"": 1.0, ""subsample"": 0.7916384903020361}",
XGBoost[Raw] Calibration Base,XGBoost,classical_calibration_base,Raw,none,none_calibration_base,calibration,503,0.22266401590457258,probability,0.39497020166334673,0.6238924917793205,0.2079071774023014,0.8375593603678462,0.19959316465070484,51,0.5490196078431373,0.25,101,0.45544554455445546,0.4107142857142857,435,0.20689655172413793,0.8035714285714286,0.4886787602603518,0.0,201.65576598399957,0.0,0.029822754000178975,201.68558873799975,201.68558873799975,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; base model excludes calibration-window labels,"{""colsample_bylevel"": 0.6164797373768169, ""colsample_bytree"": 0.46342042985609594, ""gamma"": 1.6618554412851057, ""learning_rate"": 0.003280308724926746, ""max_bin"": 886, ""max_delta_step"": 10, ""max_depth"": 6, ""min_child_weight"": 0.7093517983475722, ""n_estimators"": 2031, ""reg_alpha"": 3.903755871230952, ""reg_lambda"": 98.44200190967568, ""scale_pos_weight"": 1.0, ""subsample"": 0.8952347300190071}",
XGBoost[Raw] Calibrated,XGBoost,classical_calibrated,Raw,none,sigmoid,calibration,503,0.22266401590457258,probability,0.39497020166334673,0.6238924917793205,0.1599356699295727,0.4978990380759842,0.052845082079924624,51,0.5490196078431373,0.25,101,0.45544554455445546,0.4107142857142857,435,0.20689655172413793,0.8035714285714286,0.4886787602603518,0.0,201.65576598399957,0.0315467880000142,0.0059563529998740705,201.69326912499946,201.69326912499946,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; sigmoid calibration fitted on calibration window,"{""colsample_bylevel"": 0.6164797373768169, ""colsample_bytree"": 0.46342042985609594, ""gamma"": 1.6618554412851057, ""learning_rate"": 0.003280308724926746, ""max_bin"": 886, ""max_delta_step"": 10, ""max_depth"": 6, ""min_child_weight"": 0.7093517983475722, ""n_estimators"": 2031, ""reg_alpha"": 3.903755871230952, ""reg_lambda"": 98.44200190967568, ""scale_pos_weight"": 1.0, ""subsample"": 0.8952347300190071}",
Rule[VIX close],Rule,domain_rule,vix_close,none,none,calibration,503,0.22266401590457258,raw_score,0.3921756666260079,0.6403452685421994,,,,51,0.5098039215686274,0.23214285714285715,101,0.4158415841584158,0.375,398,0.22613065326633167,0.8035714285714286,,0.0,0.0,0.0,0.0,0.0,0.0,deterministic domain-rule score; not a probability,,
TabPFN[Direct all-history] Calibration Base,TabPFN,direct_tfm_calibration_base,Raw all-history direct TFM context,TabPFN,none_calibration_base,calibration,503,0.22266401590457258,probability,0.347556410580513,0.6296698027036902,0.1959500891824225,0.7195744737764059,0.16732849939318956,51,0.39215686274509803,0.17857142857142858,101,0.39603960396039606,0.35714285714285715,380,0.23684210526315788,0.8035714285714286,,0.0,8.423670782000045,0.0,37.34790919500006,45.7715799770001,45.7715799770001,direct TFM base context excludes calibration-window labels,,
TabICL[Direct all-history] Calibration Base,TabICL,direct_tfm_calibration_base,Raw all-history direct TFM context,TabICL,none_calibration_base,calibration,503,0.22266401590457258,probability,0.32131520642004335,0.5854379795396419,0.18655515424539937,0.6576382926408851,0.13267258867548748,51,0.43137254901960786,0.19642857142857142,101,0.42574257425742573,0.38392857142857145,432,0.20833333333333334,0.8035714285714286,,0.0,3.527187632999812,0.0,17.734665002000156,21.26185263499997,21.26185263499997,direct TFM base context excludes calibration-window labels,,
XGBoost[Raw + TabPFN embeddings] Calibration Base,XGBoost,classical_calibration_base,Raw + TabPFN embeddings,TabPFN,none_calibration_base,calibration,503,0.22266401590457258,probability,0.3106123640178249,0.49675739861161855,0.20344695180368313,1.0112694218786062,0.19117486176845225,51,0.43137254901960786,0.19642857142857142,101,0.37623762376237624,0.3392857142857143,457,0.19693654266958424,0.8035714285714286,0.6349046954802502,122.59153253400041,255.47168439000006,0.0,0.015606477500114124,255.48729086750018,378.0788234015006,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; base model excludes calibration-window labels,"{""colsample_bylevel"": 0.725419685702066, ""colsample_bytree"": 0.5122809252124154, ""gamma"": 8.11049187899339, ""learning_rate"": 0.10167046441455149, ""max_bin"": 309, ""max_delta_step"": 0, ""max_depth"": 2, ""min_child_weight"": 20.35443681940401, ""n_estimators"": 966, ""reg_alpha"": 0.00039063337524983705, ""reg_lambda"": 5.077473114232567, ""scale_pos_weight"": 24.15, ""subsample"": 0.5746427374699141}",
