Model,Feature Set,CV/Validation Average Precision,Best Params
XGBoost[Raw + TabICL embeddings] Calibration Base,Raw + TabICL embeddings,0.8068027210884354,"{'colsample_bylevel': np.float64(0.6872700594236812), 'colsample_bytree': np.float64(0.9728928685254539), 'gamma': np.float64(0.24658329458549094), 'learning_rate': np.float64(0.037069753392781075), 'max_bin': 742, 'max_delta_step': 1, 'max_depth': 4, 'min_child_weight': np.float64(0.09974583075316967), 'n_estimators': 1882, 'reg_alpha': np.float64(11.567327199145982), 'reg_lambda': np.float64(4.822460609377511), 'scale_pos_weight': 24.0, 'subsample': np.float64(0.5592630224331111)}"
XGBoost[Raw + TabICL embeddings] Calibrated,Raw + TabICL embeddings,0.8068027210884354,"{'colsample_bylevel': np.float64(0.6872700594236812), 'colsample_bytree': np.float64(0.9728928685254539), 'gamma': np.float64(0.24658329458549094), 'learning_rate': np.float64(0.037069753392781075), 'max_bin': 742, 'max_delta_step': 1, 'max_depth': 4, 'min_child_weight': np.float64(0.09974583075316967), 'n_estimators': 1882, 'reg_alpha': np.float64(11.567327199145982), 'reg_lambda': np.float64(4.822460609377511), 'scale_pos_weight': 24.0, 'subsample': np.float64(0.5592630224331111)}"
XGBoost[Raw all-history incumbent] Calibration Base,Raw all-history incumbent,0.5683446602631866,"{'colsample_bylevel': np.float64(0.6955303037866204), 'colsample_bytree': np.float64(0.5502298482834342), 'gamma': np.float64(0.34054025892686846), 'learning_rate': np.float64(0.01788820529615122), 'max_bin': 693, 'max_delta_step': 1, 'max_depth': 5, 'min_child_weight': np.float64(0.17928063051726983), 'n_estimators': 1102, 'reg_alpha': np.float64(7.8703386917029325), 'reg_lambda': np.float64(1.5262366889033188), 'scale_pos_weight': np.float64(2.1343747458109497), 'subsample': np.float64(0.952672307692442)}"
XGBoost[Raw all-history incumbent] Calibrated,Raw all-history incumbent,0.5683446602631866,"{'colsample_bylevel': np.float64(0.6955303037866204), 'colsample_bytree': np.float64(0.5502298482834342), 'gamma': np.float64(0.34054025892686846), 'learning_rate': np.float64(0.01788820529615122), 'max_bin': 693, 'max_delta_step': 1, 'max_depth': 5, 'min_child_weight': np.float64(0.17928063051726983), 'n_estimators': 1102, 'reg_alpha': np.float64(7.8703386917029325), 'reg_lambda': np.float64(1.5262366889033188), 'scale_pos_weight': np.float64(2.1343747458109497), 'subsample': np.float64(0.952672307692442)}"
XGBoost[Raw + TabPFN embeddings] Calibration Base,Raw + TabPFN embeddings,0.8060975609756098,"{'colsample_bylevel': np.float64(0.6872700594236812), 'colsample_bytree': np.float64(0.9728928685254539), 'gamma': np.float64(0.24658329458549094), 'learning_rate': np.float64(0.037069753392781075), 'max_bin': 742, 'max_delta_step': 1, 'max_depth': 4, 'min_child_weight': np.float64(0.09974583075316967), 'n_estimators': 1882, 'reg_alpha': np.float64(11.567327199145982), 'reg_lambda': np.float64(4.822460609377511), 'scale_pos_weight': 24.0, 'subsample': np.float64(0.5592630224331111)}"
XGBoost[Raw + TabPFN embeddings] Calibrated,Raw + TabPFN embeddings,0.8060975609756098,"{'colsample_bylevel': np.float64(0.6872700594236812), 'colsample_bytree': np.float64(0.9728928685254539), 'gamma': np.float64(0.24658329458549094), 'learning_rate': np.float64(0.037069753392781075), 'max_bin': 742, 'max_delta_step': 1, 'max_depth': 4, 'min_child_weight': np.float64(0.09974583075316967), 'n_estimators': 1882, 'reg_alpha': np.float64(11.567327199145982), 'reg_lambda': np.float64(4.822460609377511), 'scale_pos_weight': 24.0, 'subsample': np.float64(0.5592630224331111)}"
XGBoost[Raw] Calibration Base,Raw,0.8243902439024391,"{'colsample_bylevel': np.float64(0.6955303037866204), 'colsample_bytree': np.float64(0.5502298482834342), 'gamma': np.float64(0.34054025892686846), 'learning_rate': np.float64(0.01788820529615122), 'max_bin': 693, 'max_delta_step': 1, 'max_depth': 5, 'min_child_weight': np.float64(0.17928063051726983), 'n_estimators': 1102, 'reg_alpha': np.float64(7.8703386917029325), 'reg_lambda': np.float64(1.5262366889033188), 'scale_pos_weight': np.float64(4.898979485566356), 'subsample': np.float64(0.952672307692442)}"
XGBoost[Raw] Calibrated,Raw,0.8243902439024391,"{'colsample_bylevel': np.float64(0.6955303037866204), 'colsample_bytree': np.float64(0.5502298482834342), 'gamma': np.float64(0.34054025892686846), 'learning_rate': np.float64(0.01788820529615122), 'max_bin': 693, 'max_delta_step': 1, 'max_depth': 5, 'min_child_weight': np.float64(0.17928063051726983), 'n_estimators': 1102, 'reg_alpha': np.float64(7.8703386917029325), 'reg_lambda': np.float64(1.5262366889033188), 'scale_pos_weight': np.float64(4.898979485566356), 'subsample': np.float64(0.952672307692442)}"
XGBoost[Raw all-history incumbent],Raw all-history incumbent,0.5683446602631866,"{'colsample_bylevel': np.float64(0.6955303037866204), 'colsample_bytree': np.float64(0.5502298482834342), 'gamma': np.float64(0.34054025892686846), 'learning_rate': np.float64(0.01788820529615122), 'max_bin': 693, 'max_delta_step': 1, 'max_depth': 5, 'min_child_weight': np.float64(0.17928063051726983), 'n_estimators': 1102, 'reg_alpha': np.float64(7.8703386917029325), 'reg_lambda': np.float64(1.5262366889033188), 'scale_pos_weight': np.float64(2.1343747458109497), 'subsample': np.float64(0.952672307692442)}"
XGBoost[Raw + TabPFN embeddings],Raw + TabPFN embeddings,0.8060975609756098,"{'colsample_bylevel': np.float64(0.6872700594236812), 'colsample_bytree': np.float64(0.9728928685254539), 'gamma': np.float64(0.24658329458549094), 'learning_rate': np.float64(0.037069753392781075), 'max_bin': 742, 'max_delta_step': 1, 'max_depth': 4, 'min_child_weight': np.float64(0.09974583075316967), 'n_estimators': 1882, 'reg_alpha': np.float64(11.567327199145982), 'reg_lambda': np.float64(4.822460609377511), 'scale_pos_weight': 24.0, 'subsample': np.float64(0.5592630224331111)}"
XGBoost[Raw],Raw,0.8243902439024391,"{'colsample_bylevel': np.float64(0.6955303037866204), 'colsample_bytree': np.float64(0.5502298482834342), 'gamma': np.float64(0.34054025892686846), 'learning_rate': np.float64(0.01788820529615122), 'max_bin': 693, 'max_delta_step': 1, 'max_depth': 5, 'min_child_weight': np.float64(0.17928063051726983), 'n_estimators': 1102, 'reg_alpha': np.float64(7.8703386917029325), 'reg_lambda': np.float64(1.5262366889033188), 'scale_pos_weight': np.float64(4.898979485566356), 'subsample': np.float64(0.952672307692442)}"
