source,symbol,rows,error,feature_name
yfinance,SPY,5114,,
yfinance,QQQ,5114,,
yfinance,IWM,5114,,
yfinance,TLT,5114,,
yfinance,IEF,5114,,
yfinance,GLD,5114,,
yfinance,HYG,4796,,
yfinance,EEM,5114,,
yfinance,VNQ,5114,,
https://cdn.cboe.com/api/global/us_indices/daily_prices/VIX_History.csv,VIX,9178,,
FRED,DGS10,16785,,treasury_10y_yield
FRED,DGS2,13025,,treasury_2y_yield
FRED,T10Y2Y,13026,,yield_curve_10y_2y
FRED,BAMLH0A0HYM2,793,,high_yield_oas
FRED,BAMLC0A0CM,793,,investment_grade_oas
FRED,DFF,26241,,fed_funds_rate
