Model,Evaluation Window,Type,Value,Alerts,Precision,Recall
Dummy[Prior probability],holdout,top_rate,0.05,25,0.0,0.0
Dummy[Prior probability],holdout,top_rate,0.1,50,0.34,0.14285714285714285
Dummy[Prior probability],holdout,top_rate,0.2,100,0.28,0.23529411764705882
Dummy[Prior probability],holdout,top_rate,0.3,150,0.19333333333333333,0.24369747899159663
Dummy[Prior probability],holdout,target_recall,0.5,198,0.30303030303030304,0.5042016806722689
Dummy[Prior probability],holdout,target_recall,0.7,252,0.3333333333333333,0.7058823529411765
Dummy[Prior probability],holdout,target_recall,0.8,392,0.24489795918367346,0.8067226890756303
Dummy[Prior probability],holdout,target_recall,0.9,458,0.23580786026200873,0.907563025210084
Rule[SPY realized volatility 20d],holdout,top_rate,0.05,25,0.76,0.15966386554621848
Rule[SPY realized volatility 20d],holdout,top_rate,0.1,50,0.7,0.29411764705882354
Rule[SPY realized volatility 20d],holdout,top_rate,0.2,100,0.62,0.5210084033613446
Rule[SPY realized volatility 20d],holdout,top_rate,0.3,150,0.5666666666666667,0.7142857142857143
Rule[SPY realized volatility 20d],holdout,target_recall,0.5,91,0.6593406593406593,0.5042016806722689
Rule[SPY realized volatility 20d],holdout,target_recall,0.7,142,0.5915492957746479,0.7058823529411765
Rule[SPY realized volatility 20d],holdout,target_recall,0.8,212,0.4528301886792453,0.8067226890756303
Rule[SPY realized volatility 20d],holdout,target_recall,0.9,359,0.3008356545961003,0.907563025210084
Rule[VIX close],holdout,top_rate,0.05,25,0.8,0.16806722689075632
Rule[VIX close],holdout,top_rate,0.1,50,0.72,0.3025210084033613
Rule[VIX close],holdout,top_rate,0.2,100,0.66,0.5546218487394958
Rule[VIX close],holdout,top_rate,0.3,150,0.5333333333333333,0.6722689075630253
Rule[VIX close],holdout,target_recall,0.5,87,0.6896551724137931,0.5042016806722689
Rule[VIX close],holdout,target_recall,0.7,164,0.5121951219512195,0.7058823529411765
Rule[VIX close],holdout,target_recall,0.8,197,0.4873096446700508,0.8067226890756303
Rule[VIX close],holdout,target_recall,0.9,304,0.35526315789473684,0.907563025210084
XGBoost[Raw all-history incumbent],holdout,top_rate,0.05,25,0.76,0.15966386554621848
XGBoost[Raw all-history incumbent],holdout,top_rate,0.1,50,0.7,0.29411764705882354
XGBoost[Raw all-history incumbent],holdout,top_rate,0.2,100,0.67,0.5630252100840336
XGBoost[Raw all-history incumbent],holdout,top_rate,0.3,150,0.5133333333333333,0.6470588235294118
XGBoost[Raw all-history incumbent],holdout,target_recall,0.5,90,0.6666666666666666,0.5042016806722689
XGBoost[Raw all-history incumbent],holdout,target_recall,0.7,179,0.4692737430167598,0.7058823529411765
XGBoost[Raw all-history incumbent],holdout,target_recall,0.8,272,0.35294117647058826,0.8067226890756303
XGBoost[Raw all-history incumbent],holdout,target_recall,0.9,339,0.3185840707964602,0.907563025210084
XGBoost[Raw all-history incumbent] Calibration Base,holdout,top_rate,0.05,25,0.84,0.17647058823529413
XGBoost[Raw all-history incumbent] Calibration Base,holdout,top_rate,0.1,50,0.7,0.29411764705882354
XGBoost[Raw all-history incumbent] Calibration Base,holdout,top_rate,0.2,100,0.64,0.5378151260504201
XGBoost[Raw all-history incumbent] Calibration Base,holdout,top_rate,0.3,150,0.47333333333333333,0.5966386554621849
XGBoost[Raw all-history incumbent] Calibration Base,holdout,target_recall,0.5,88,0.6818181818181818,0.5042016806722689
XGBoost[Raw all-history incumbent] Calibration Base,holdout,target_recall,0.7,211,0.3981042654028436,0.7058823529411765
XGBoost[Raw all-history incumbent] Calibration Base,holdout,target_recall,0.8,265,0.3622641509433962,0.8067226890756303
XGBoost[Raw all-history incumbent] Calibration Base,holdout,target_recall,0.9,351,0.3076923076923077,0.907563025210084
XGBoost[Raw all-history incumbent] Calibrated,holdout,top_rate,0.05,25,0.84,0.17647058823529413
XGBoost[Raw all-history incumbent] Calibrated,holdout,top_rate,0.1,50,0.7,0.29411764705882354
