Model,Metric,Point Estimate,Bootstrap Median,CI Lower,CI Upper,Bootstrap Iterations Requested,Bootstrap Iterations Used,Block Unit,Confidence Level
Rule[SPY realized volatility 20d],average_precision,0.6157605507459528,0.6105925603610434,0.4534114984311454,0.7647998255820672,40,40,calendar_month,0.95
Rule[SPY realized volatility 20d],roc_auc,0.8121264253732988,0.8035531566781566,0.745739447745222,0.8705733255853331,40,40,calendar_month,0.95
Rule[SPY realized volatility 20d],top_20_recall,0.5210084033613446,0.5254273504273504,0.4422779981690571,0.6236616161616161,40,40,calendar_month,0.95
Rule[VIX close],average_precision,0.6405026074495641,0.6303914210949195,0.4610809344486829,0.7870812840825719,40,40,calendar_month,0.95
Rule[VIX close],roc_auc,0.8310174463486182,0.8264555243276459,0.7508203490580276,0.9114192215904157,40,40,calendar_month,0.95
Rule[VIX close],top_20_recall,0.5546218487394958,0.5592592592592593,0.45729042214257276,0.6884156586021506,40,40,calendar_month,0.95
XGBoost[Raw all-history incumbent],average_precision,0.5988353410623106,0.5977262479171659,0.4088706589524581,0.763662843305196,40,40,calendar_month,0.95
XGBoost[Raw all-history incumbent],roc_auc,0.7906438165817509,0.7822825901855636,0.6767105565289804,0.8567690221020674,40,40,calendar_month,0.95
XGBoost[Raw all-history incumbent],top_20_recall,0.5630252100840336,0.5431918656056587,0.40852498984152785,0.6693001265466817,40,40,calendar_month,0.95
XGBoost[Raw],average_precision,0.5327690137482813,0.5694894165096214,0.4168034228280771,0.6699167344672352,40,40,calendar_month,0.95
XGBoost[Raw],roc_auc,0.7352830896137983,0.7422742111653569,0.6729248937184794,0.7999094839836659,40,40,calendar_month,0.95
XGBoost[Raw],top_20_recall,0.47058823529411764,0.4711866870140251,0.38076190476190475,0.5983059666975022,40,40,calendar_month,0.95
XGBoost[Raw + TabPFN embeddings],average_precision,0.5606118074767639,0.591444097998321,0.33401141911650833,0.7197453576916416,40,40,calendar_month,0.95
XGBoost[Raw + TabPFN embeddings],roc_auc,0.723350757625885,0.7408269712891673,0.6022050524708289,0.8086043498133756,40,40,calendar_month,0.95
XGBoost[Raw + TabPFN embeddings],top_20_recall,0.4789915966386555,0.4585673820154592,0.3250505561172902,0.5678578932623617,40,40,calendar_month,0.95
XGBoost[Raw + TabICL embeddings],average_precision,0.4617946943441098,0.49133170376345575,0.3223029115693121,0.6406812388625218,40,40,calendar_month,0.95
XGBoost[Raw + TabICL embeddings],roc_auc,0.7100288934471428,0.7296443582547125,0.610650800646845,0.7992781479311916,40,40,calendar_month,0.95
XGBoost[Raw + TabICL embeddings],top_20_recall,0.4369747899159664,0.42041343669250647,0.3020098824786325,0.5328073394495413,40,40,calendar_month,0.95
TabPFN[Direct all-history],average_precision,0.6744350064630438,0.6885075505507314,0.4538872799381598,0.7985249419714849,40,40,calendar_month,0.95
TabPFN[Direct all-history],roc_auc,0.834998566355676,0.8325305309407844,0.7414883473431028,0.8880566259688896,40,40,calendar_month,0.95
TabPFN[Direct all-history],top_20_recall,0.5714285714285714,0.5511194029850747,0.4573061379136146,0.7294560404807083,40,40,calendar_month,0.95
TabICL[Direct all-history],average_precision,0.5995026016474783,0.5951421558616237,0.43044683122432936,0.7415271942751697,40,40,calendar_month,0.95
TabICL[Direct all-history],roc_auc,0.7759434482454399,0.7760598658955551,0.6938531326813726,0.8464620610514249,40,40,calendar_month,0.95
TabICL[Direct all-history],top_20_recall,0.4957983193277311,0.4876353526485221,0.38466770508826587,0.5841296536962005,40,40,calendar_month,0.95
