Model,Evaluation Window,bin,rows,high_vol_rows,score_min,score_max,mean_score,observed_high_vol_rate,abs_calibration_error
Dummy[Prior probability],holdout,1,50,17,0.18769230769230769,0.18769230769230769,0.18769230769230766,0.34,0.15230769230769237
Dummy[Prior probability],holdout,2,50,11,0.18769230769230769,0.18769230769230769,0.18769230769230766,0.22,0.03230769230769234
Dummy[Prior probability],holdout,3,50,1,0.18769230769230769,0.18769230769230769,0.18769230769230766,0.02,0.16769230769230767
Dummy[Prior probability],holdout,4,50,33,0.18769230769230769,0.18769230769230769,0.18769230769230766,0.66,0.4723076923076924
Dummy[Prior probability],holdout,5,50,20,0.18769230769230769,0.18769230769230769,0.18769230769230766,0.4,0.21230769230769236
Dummy[Prior probability],holdout,6,50,5,0.18769230769230769,0.18769230769230769,0.18769230769230766,0.1,0.08769230769230765
Dummy[Prior probability],holdout,7,50,0,0.18769230769230769,0.18769230769230769,0.18769230769230766,0.0,0.18769230769230766
Dummy[Prior probability],holdout,8,50,9,0.18769230769230769,0.18769230769230769,0.18769230769230766,0.18,0.007692307692307665
Dummy[Prior probability],holdout,9,50,7,0.18769230769230769,0.18769230769230769,0.18769230769230766,0.14,0.047692307692307645
Dummy[Prior probability],holdout,10,50,16,0.18769230769230769,0.18769230769230769,0.18769230769230766,0.32,0.13230769230769235
XGBoost[Raw all-history incumbent],holdout,1,50,3,0.00928663183003664,0.02917126938700676,0.021579842530190945,0.06,0.03842015746980905
XGBoost[Raw all-history incumbent],holdout,2,50,4,0.029426222667098045,0.04359796643257141,0.03597770679742098,0.08,0.04402229320257902
XGBoost[Raw all-history incumbent],holdout,3,50,4,0.04363683983683586,0.06597594171762466,0.05349152788519859,0.08,0.02650847211480141
XGBoost[Raw all-history incumbent],holdout,4,50,8,0.06674633920192719,0.09257729351520538,0.07875459656119346,0.16,0.08124540343880654
XGBoost[Raw all-history incumbent],holdout,5,50,10,0.09307416528463364,0.11611777544021606,0.10309547454118728,0.2,0.09690452545881273
XGBoost[Raw all-history incumbent],holdout,6,50,3,0.11645115166902542,0.15437790751457214,0.13211397916078568,0.06,0.07211397916078569
XGBoost[Raw all-history incumbent],holdout,7,50,10,0.15646591782569885,0.20928072929382324,0.1803334176540375,0.2,0.019666582345962524
XGBoost[Raw all-history incumbent],holdout,8,50,10,0.2116401493549347,0.3465717136859894,0.26475986003875734,0.2,0.06475986003875733
XGBoost[Raw all-history incumbent],holdout,9,50,32,0.3475175201892853,0.6060454249382019,0.46505276203155516,0.64,0.17494723796844486
XGBoost[Raw all-history incumbent],holdout,10,50,35,0.6095386743545532,0.97977614402771,0.8553855550289154,0.7,0.1553855550289155
XGBoost[Raw all-history incumbent] Calibration Base,calibration,1,35,3,0.0046457694843411446,0.008182300254702568,0.007023181274001087,0.08571428571428572,0.07869110444028463
XGBoost[Raw all-history incumbent] Calibration Base,calibration,2,35,6,0.008222977630794048,0.00954416487365961,0.008920136865760599,0.17142857142857143,0.16250843456281083
XGBoost[Raw all-history incumbent] Calibration Base,calibration,3,35,2,0.009548912756145,0.010766558349132538,0.01004000755825213,0.05714285714285714,0.04710284958460501
XGBoost[Raw all-history incumbent] Calibration Base,calibration,4,35,4,0.010786821134388447,0.012357405386865139,0.011598893760570458,0.11428571428571428,0.10268682052514383
XGBoost[Raw all-history incumbent] Calibration Base,calibration,5,35,4,0.012360245920717716,0.014199692755937576,0.013322586699255875,0.11428571428571428,0.10096312758645841
XGBoost[Raw all-history incumbent] Calibration Base,calibration,6,35,7,0.01420260313898325,0.01682128757238388,0.015461390492107187,0.2,0.18453860950789283
XGBoost[Raw all-history incumbent] Calibration Base,calibration,7,35,16,0.01700601354241371,0.020530886948108673,0.018589210084506442,0.45714285714285713,0.4385536470583507
XGBoost[Raw all-history incumbent] Calibration Base,calibration,8,35,10,0.020909776911139488,0.03323426842689514,0.025461440586618016,0.2857142857142857,0.26025284512766766
XGBoost[Raw all-history incumbent] Calibration Base,calibration,9,35,10,0.03336670622229576,0.075286865234375,0.04942111915775708,0.2857142857142857,0.23629316655652863
XGBoost[Raw all-history incumbent] Calibration Base,calibration,10,35,16,0.07817278057336807,0.43954548239707947,0.21291960882289068,0.45714285714285713,0.24422324831996645
XGBoost[Raw all-history incumbent] Calibration Base,holdout,1,50,2,0.004093550145626068,0.009962604381144047,0.007323380149900913,0.04,0.032676619850099085
XGBoost[Raw all-history incumbent] Calibration Base,holdout,2,50,3,0.009994609281420708,0.016121303662657738,0.01246941002085805,0.06,0.047530589979141946
XGBoost[Raw all-history incumbent] Calibration Base,holdout,3,50,7,0.016177890822291374,0.026334363967180252,0.020431351996958256,0.14,0.11956864800304176
XGBoost[Raw all-history incumbent] Calibration Base,holdout,4,50,6,0.026521671563386917,0.0421353317797184,0.03403784550726414,0.12,0.08596215449273586
XGBoost[Raw all-history incumbent] Calibration Base,holdout,5,50,9,0.04333898052573204,0.06197584420442581,0.05265653215348721,0.18,0.1273434678465128
XGBoost[Raw all-history incumbent] Calibration Base,holdout,6,50,11,0.06205456703901291,0.10476449877023697,0.08233009763062,0.22,0.13766990236937998
XGBoost[Raw all-history incumbent] Calibration Base,holdout,7,50,10,0.10487577319145203,0.1565987914800644,0.13404797986149788,0.2,0.06595202013850213
XGBoost[Raw all-history incumbent] Calibration Base,holdout,8,50,7,0.15696503221988678,0.21152432262897491,0.17986430168151857,0.14,0.039864301681518555
XGBoost[Raw all-history incumbent] Calibration Base,holdout,9,50,29,0.2154267281293869,0.5998473763465881,0.36338332504034043,0.58,0.21661667495965953
XGBoost[Raw all-history incumbent] Calibration Base,holdout,10,50,35,0.6057085394859314,0.981563925743103,0.8703088414669037,0.7,0.17030884146690373
XGBoost[Raw all-history incumbent] Calibrated,calibration,1,35,3,0.19089894642256727,0.1937307179969291,0.192800067830049,0.08571428571428572,0.10708578211576328
XGBoost[Raw all-history incumbent] Calibrated,calibration,2,35,6,0.19376347406282005,0.1948296678353505,0.19432569649716572,0.17142857142857143,0.022897125068594287
XGBoost[Raw all-history incumbent] Calibrated,calibration,3,35,2,0.19483350736805952,0.19582009082940743,0.1952311117802103,0.05714285714285714,0.13808825463735316
XGBoost[Raw all-history incumbent] Calibrated,calibration,4,35,4,0.19583654044371507,0.19711474413007216,0.1964969822994655,0.11428571428571428,0.08221126801375121
XGBoost[Raw all-history incumbent] Calibrated,calibration,5,35,4,0.19711706156101352,0.19862208010600066,0.1979037464148997,0.11428571428571428,0.08361803212918541
XGBoost[Raw all-history incumbent] Calibrated,calibration,6,35,7,0.1986244681884997,0.20078195509736588,0.19966008091608828,0.2,0.00033991908391173276
XGBoost[Raw all-history incumbent] Calibrated,calibration,7,35,16,0.2009348080945904,0.20386818401829104,0.2022500576108109,0.45714285714285713,0.25489279953204624
XGBoost[Raw all-history incumbent] Calibrated,calibration,8,35,10,0.20418538241194603,0.21470327842306938,0.2080432193892903,0.2857142857142857,0.0776710663249954
XGBoost[Raw all-history incumbent] Calibrated,calibration,9,35,10,0.2148184118146013,0.25350190898103425,0.22928942024171642,0.2857142857142857,0.05642486547256928
XGBoost[Raw all-history incumbent] Calibrated,calibration,10,35,16,0.256327526328957,0.689492382520991,0.4130789157172347,0.45714285714285713,0.04406394142562242
XGBoost[Raw all-history incumbent] Calibrated,holdout,1,50,2,0.1904596395963571,0.19516827306370169,0.19304376494396208,0.04,0.15304376494396207
XGBoost[Raw all-history incumbent] Calibrated,holdout,2,50,3,0.1951941900762967,0.20020353789806467,0.19721024450349667,0.06,0.13721024450349667
XGBoost[Raw all-history incumbent] Calibrated,holdout,3,50,7,0.20025025107595507,0.20876695437361084,0.20379466733931978,0.14,0.06379466733931977
XGBoost[Raw all-history incumbent] Calibrated,holdout,4,50,6,0.20892649672410982,0.2225410450927315,0.2154311821178432,0.12,0.09543118211784321
XGBoost[Raw all-history incumbent] Calibrated,holdout,5,50,9,0.22361643659657068,0.24073747147856434,0.23210204442208304,0.18,0.05210204442208305
XGBoost[Raw all-history incumbent] Calibrated,holdout,6,50,11,0.2408116561858859,0.2833178081366869,0.2606618860530393,0.22,0.0406618860530393
XGBoost[Raw all-history incumbent] Calibrated,holdout,7,50,10,0.2834342963849905,0.3405475265215031,0.3151597940428576,0.2,0.11515979404285759
XGBoost[Raw all-history incumbent] Calibrated,holdout,8,50,7,0.34097164854935963,0.4066789200816944,0.36812477537514554,0.14,0.22812477537514553
XGBoost[Raw all-history incumbent] Calibrated,holdout,9,50,29,0.4115419569432917,0.8353612257393072,0.5930825874248817,0.58,0.013082587424881775
XGBoost[Raw all-history incumbent] Calibrated,holdout,10,50,35,0.8394747246295311,0.9731918613827621,0.9445224326830466,0.7,0.24452243268304663
XGBoost[Raw],holdout,1,50,2,0.00664547411724925,0.016313860192894936,0.01239875914528966,0.04,0.027601240854710343
XGBoost[Raw],holdout,2,50,4,0.016419589519500732,0.02215188555419445,0.019338099882006646,0.08,0.060661900117993356
XGBoost[Raw],holdout,3,50,13,0.022322839125990868,0.029242616146802902,0.025533159375190736,0.26,0.23446684062480927
