CAGR,Annualized Volatility,Sharpe,Sortino,Max Drawdown,Average Weight,Annualized Turnover,Total Transaction Cost,Final Equity,Model,Threshold Source,Risk Action Rate in Holdout,Calibration Score Threshold,Target Action Rate,High-Risk Weight
-0.002090588004709182,0.07061172509146506,0.00578631059854769,0.004406856069429298,-0.07284427787556069,0.38,30.744,0.0061,0.9958562750222713,Rule[VIX close],calibration_window_score_quantile,0.62,17.309,0.3,0.0
-0.00015643571672085965,0.08633195425858686,0.041468575213552836,0.046655237295451436,-0.09172273188181956,0.535,23.058,0.004575,0.9996896355657393,Rule[VIX close],calibration_window_score_quantile,0.62,17.309,0.3,0.25
-0.03880818851921952,0.11786918123202571,-0.27664719853228004,-0.32337566091416264,-0.11939093892681041,0.7465,12.474,0.0024749999999999998,0.924470337187698,TabPFN[Direct all-history] Calibration Base,calibration_window_score_quantile,0.338,0.09310717731714252,0.1,0.25
-0.019984774456811905,0.07689983629278341,-0.2240437736582307,-0.19176228902405723,-0.12206481849828066,0.354,27.72,0.0055000000000000005,0.9607376433801729,XGBoost[Raw all-history incumbent] Calibrated,calibration_window_score_quantile,0.646,0.21472630510137578,0.2,0.0
-0.019984774456811905,0.07689983629278341,-0.2240437736582307,-0.19176228902405723,-0.12206481849828066,0.354,27.72,0.0055000000000000005,0.9607376433801729,XGBoost[Raw all-history incumbent] Calibration Base,calibration_window_score_quantile,0.646,0.03326075598597526,0.2,0.0
-0.040888083437898626,0.081039917485895,-0.4745488017629694,-0.5456919223429456,-0.12415755731920397,0.442,17.009999999999998,0.003375,0.9205054475424803,XGBoost[Raw all-history incumbent] Calibrated,calibration_window_score_quantile,0.744,0.20396334353638754,0.3,0.25
-0.040888083437898626,0.081039917485895,-0.4745488017629694,-0.5456919223429456,-0.12415755731920397,0.442,17.009999999999998,0.003375,0.9205054475424803,XGBoost[Raw all-history incumbent] Calibration Base,calibration_window_score_quantile,0.744,0.02064455393701791,0.3,0.25
-0.05302271795055846,0.085064513812229,-0.5977898721417759,-0.6843499173562955,-0.12427167120383564,0.5005,23.814,0.004725,0.8975417996717044,TabPFN[Direct all-history] Calibration Base,calibration_window_score_quantile,0.666,0.04024406932294368,0.3,0.25
-0.013716732224194783,0.09122369241754591,-0.10576276593633549,-0.12634325487676362,-0.12561436065233988,0.5155,20.79,0.004125,0.9729679675514077,XGBoost[Raw all-history incumbent] Calibrated,calibration_window_score_quantile,0.646,0.21472630510137578,0.2,0.25
-0.013716732224194783,0.09122369241754591,-0.10576276593633549,-0.12634325487676362,-0.12561436065233988,0.5155,20.79,0.004125,0.9729679675514077,XGBoost[Raw all-history incumbent] Calibration Base,calibration_window_score_quantile,0.646,0.03326075598597526,0.2,0.25
-0.03391418479745556,0.09912102853594075,-0.2983674119187625,-0.34302502706383475,-0.12561436065234033,0.613,19.278,0.0038250000000000003,0.9338330858363402,TabICL[Direct all-history] Calibration Base,calibration_window_score_quantile,0.516,0.11251343041658401,0.3,0.25
-0.056036918889056486,0.06354291128356808,-0.8756502129239434,-0.6441622006128697,-0.13226779975804603,0.256,22.68,0.0045000000000000005,0.8918823260478853,XGBoost[Raw all-history incumbent] Calibrated,calibration_window_score_quantile,0.744,0.20396334353638754,0.3,0.0
-0.056036918889056486,0.06354291128356808,-0.8756502129239434,-0.6441622006128697,-0.13226779975804603,0.256,22.68,0.0045000000000000005,0.8918823260478853,XGBoost[Raw all-history incumbent] Calibration Base,calibration_window_score_quantile,0.744,0.02064455393701791,0.3,0.0
-0.05775959746100179,0.09816910214055363,-0.5567648870291121,-0.6434454850746361,-0.1327756307771628,0.6295,23.058,0.004575000000000001,0.8886557931778453,Rule[VIX close],calibration_window_score_quantile,0.494,18.948,0.2,0.25
-0.05237281074889166,0.10885189771638674,-0.4395183626247816,-0.43951383704926367,-0.13310858959278016,0.662,16.631999999999998,0.0033,0.8987643945512068,TabPFN[Direct all-history] Calibration Base,calibration_window_score_quantile,0.338,0.09310717731714252,0.1,0.0
-0.02991750053012221,0.11255501365209412,-0.21348218237541441,-0.26139970688705005,-0.14029017595524007,0.709,19.278,0.0038250000000000003,0.9415138780075666,Rule[VIX close],calibration_window_score_quantile,0.388,21.181,0.1,0.25
-0.036934363064797804,0.11362175082800127,-0.2742671989079865,-0.3293196966624015,-0.14331541586391217,0.7135,11.718,0.002325,0.9280496356785072,Rule[SPY realized volatility 20d],calibration_window_score_quantile,0.382,0.15958671244824835,0.3,0.25
-0.046455404581019155,0.08666578055335666,-0.505360734072237,-0.4470889524741008,-0.1434743745241256,0.484,25.704,0.0051,0.9099340953712887,TabICL[Direct all-history] Calibration Base,calibration_window_score_quantile,0.516,0.11251343041658401,0.3,0.0
-0.05003863325628344,0.1039449610093714,-0.44172539144774037,-0.44677722042848916,-0.14485855246260015,0.618,15.623999999999999,0.0031,0.9031622175291641,Rule[SPY realized volatility 20d],calibration_window_score_quantile,0.382,0.15958671244824835,0.3,0.0
-0.03623342139287211,0.12116635410265379,-0.24376101735848507,-0.28604343445906644,-0.1458476029968645,0.667,15.876,0.0031500000000000005,0.9293903065353941,TabPFN[Direct all-history] Calibration Base,calibration_window_score_quantile,0.666,0.04024406932294368,0.3,0.5
-0.009816231702638567,0.12468080517533323,-0.016580022388915205,-0.019802709711275273,-0.1461250396521302,0.677,13.86,0.0027500000000000003,0.9806174309906738,XGBoost[Raw all-history incumbent] Calibrated,calibration_window_score_quantile,0.646,0.21472630510137578,0.2,0.5
-0.009816231702638567,0.12468080517533323,-0.016580022388915205,-0.019802709711275273,-0.1461250396521302,0.677,13.86,0.0027500000000000003,0.9806174309906738,XGBoost[Raw all-history incumbent] Calibration Base,calibration_window_score_quantile,0.646,0.03326075598597526,0.2,0.5
-0.0007051236887819501,0.12186473411255011,0.055401958186659966,0.06428333695784356,-0.14765254373301784,0.69,15.372,0.00305,0.9986014304877224,Rule[VIX close],calibration_window_score_quantile,0.62,17.309,0.3,0.5
