CAGR,Annualized Volatility,Sharpe,Sortino,Max Drawdown,Average Weight,Annualized Turnover,Total Transaction Cost,Final Equity,Model,Threshold Source,Risk Action Rate in Holdout,Calibration Score Threshold,Target Action Rate,High-Risk Weight
-0.009816231702638567,0.12468080517533323,-0.016580022388915205,-0.019802709711275273,-0.1461250396521302,0.677,13.86,0.0027500000000000003,0.9806174309906738,XGBoost[Raw all-history incumbent] Calibrated,calibration_window_score_quantile,0.646,0.21472630510137578,0.2,0.5
-0.009816231702638567,0.12468080517533323,-0.016580022388915205,-0.019802709711275273,-0.1461250396521302,0.677,13.86,0.0027500000000000003,0.9806174309906738,XGBoost[Raw all-history incumbent] Calibration Base,calibration_window_score_quantile,0.646,0.03326075598597526,0.2,0.5
-0.048298593463119155,0.13385263142810222,-0.3025853758594554,-0.35663508812513395,-0.15173224632181825,0.779,10.331999999999999,0.00205,0.9064475529457794,TabPFN[Direct all-history] Calibration Base,calibration_window_score_quantile,0.442,0.058685675263404846,0.2,0.5
-0.03960545628555023,0.128851447847528,-0.24891638471858038,-0.29478123678038254,-0.15585095865919052,0.753,15.372,0.00305,0.9229495120040665,Rule[VIX close],calibration_window_score_quantile,0.494,18.948,0.2,0.5
-0.04248584819690726,0.13509390780159908,-0.25348344980450643,-0.2975022256751182,-0.16327487857337986,0.791,10.08,0.002,0.9174653800237856,TabICL[Direct all-history] Calibration Base,calibration_window_score_quantile,0.418,0.140966859459877,0.2,0.5
-0.03759215899524293,0.15241657091555036,-0.17463368904604848,-0.19769212401189676,-0.1707425627371547,0.846,8.315999999999999,0.00165,0.9267923615586781,XGBoost[Raw + TabICL embeddings] Calibrated,calibration_window_score_quantile,0.308,0.2070385600584998,0.2,0.5
-0.03759215899524293,0.15241657091555036,-0.17463368904604848,-0.19769212401189676,-0.1707425627371547,0.846,8.315999999999999,0.00165,0.9267923615586781,XGBoost[Raw + TabICL embeddings] Calibration Base,calibration_window_score_quantile,0.308,0.02577969692647457,0.2,0.5
-0.03146059482363184,0.1587410475817248,-0.12139805575989937,-0.136727832816626,-0.18244141320983442,0.88,5.04,0.001,0.9385446748135912,XGBoost[Raw] Calibrated,calibration_window_score_quantile,0.24,0.21165336081223196,0.2,0.5
-0.03146059482363184,0.1587410475817248,-0.12139805575989937,-0.136727832816626,-0.18244141320983442,0.88,5.04,0.001,0.9385446748135912,XGBoost[Raw] Calibration Base,calibration_window_score_quantile,0.24,0.021950864046812055,0.2,0.5
-0.03524171766684825,0.15841512174413597,-0.14665896691388558,-0.164647843763503,-0.18244141320983442,0.878,4.536,0.0009,0.9312887493662936,XGBoost[Raw + TabPFN embeddings] Calibrated,calibration_window_score_quantile,0.244,0.2102181672115263,0.2,0.5
-0.03524171766684825,0.15841512174413597,-0.14665896691388558,-0.164647843763503,-0.18244141320983442,0.878,4.536,0.0009,0.9312887493662936,XGBoost[Raw + TabPFN embeddings] Calibration Base,calibration_window_score_quantile,0.244,0.025720971822738643,0.2,0.5
-0.04075384727411602,0.16061788259713064,-0.17821632865835238,-0.20794858772299235,-0.24918187362773225,0.898,5.544,0.0011,0.9207610858774066,Rule[SPY realized volatility 20d],calibration_window_score_quantile,0.204,0.2079050461147371,0.2,0.5
-0.009325576863975504,0.21080435734172845,0.06211687746547992,0.0694322416669763,-0.2521932428478759,1.0,0.0,0.0,0.9815817822123989,Buy and hold SPY,none,0.0,,0.0,1.0
