Model,Base Model,Feature Set,Calibration,Evaluation Window,Average Precision,ROC AUC,Brier Score,Shared Feature Prep Seconds,Fit Seconds,Calibration Seconds,Predict Seconds,Workflow Seconds
Rule[VIX close],Rule,vix_close,none,calibration,0.4088167923589185,0.6447021116138764,,0.0,0.0,0.0,0.0,0.0
XGBoost[Raw + TabICL embeddings] Calibration Base,XGBoost,Raw + TabICL embeddings,none_calibration_base,calibration,0.39198485605821337,0.6291006787330318,0.19821829932615845,13.430263835000005,25.666317369000012,0.0,0.02382221950000485,39.12040342350002
XGBoost[Raw + TabICL embeddings] Calibrated,XGBoost,Raw + TabICL embeddings,sigmoid,calibration,0.39198485605821337,0.6291006787330318,0.16704928579814093,13.430263835000005,25.666317369000012,0.03175818400006847,0.006723795500022334,39.13506318350011
TabPFN[Direct all-history] Calibration Base,TabPFN,Raw all-history direct TFM context,none_calibration_base,calibration,0.38465567382725663,0.68384709653092,0.19736644565291223,0.0,1.9472288299999718,0.0,3.9501664544999926,5.897395284499964
XGBoost[Raw all-history incumbent] Calibration Base,XGBoost,Raw all-history incumbent,none_calibration_base,calibration,0.3732701381955715,0.6843891402714932,0.20138649790943985,0.0,42.501939931999914,0.0,0.013950832999967133,42.51589076499988
XGBoost[Raw all-history incumbent] Calibrated,XGBoost,Raw all-history incumbent,sigmoid,calibration,0.3732701381955715,0.6843891402714932,0.16757948877012588,0.0,42.501939931999914,0.043763884999975744,0.00447560700001759,42.55017942399991
XGBoost[Raw + TabPFN embeddings] Calibration Base,XGBoost,Raw + TabPFN embeddings,none_calibration_base,calibration,0.3624012542261707,0.6088800904977375,0.2026497467100783,15.348615895999956,19.382822846000067,0.0,0.022011709499963672,34.75345045149999
XGBoost[Raw + TabPFN embeddings] Calibrated,XGBoost,Raw + TabPFN embeddings,sigmoid,calibration,0.3624012542261707,0.6088800904977375,0.16892021192316864,15.348615895999956,19.382822846000067,0.022656702999938716,0.004368105499963804,34.758463550499926
XGBoost[Raw] Calibration Base,XGBoost,Raw,none_calibration_base,calibration,0.3493939760790412,0.5596719457013575,0.20388243185315835,0.0,13.688940093000042,0.0,0.013081773000010344,13.702021866000052
XGBoost[Raw] Calibrated,XGBoost,Raw,sigmoid,calibration,0.3493939760790412,0.5596719457013575,0.16900800865175042,0.0,13.688940093000042,0.01947470200002499,0.003505850500005181,13.711920645500072
TabICL[Direct all-history] Calibration Base,TabICL,Raw all-history direct TFM context,none_calibration_base,calibration,0.2895506267003807,0.5385086726998491,0.19006769306552912,0.0,2.927054021999993,0.0,2.556028718499988,5.483082740499981
Rule[SPY realized volatility 20d],Rule,spy_rv_20d,none,calibration,0.26732343426784066,0.5623114630467572,,0.0,0.0,0.0,0.0,0.0
TabICL[Direct all-history] Calibration Base,TabICL,Raw all-history direct TFM context,none_calibration_base,holdout,0.6858265009032922,0.8266944573104833,0.12352948839399427,0.0,2.927054021999993,0.0,2.556028718499988,5.483082740499981
TabPFN[Direct all-history],TabPFN,Raw all-history direct TFM context,none,holdout,0.6744350064630438,0.834998566355676,0.12521247942459532,0.0,2.1398527250000825,0.0,5.007168746000048,7.14702147100013
TabPFN[Direct all-history] Calibration Base,TabPFN,Raw all-history direct TFM context,none_calibration_base,holdout,0.659553517422478,0.8188645536954939,0.13502090088237295,0.0,1.9472288299999718,0.0,3.9501664544999926,5.897395284499964
XGBoost[Raw + TabICL embeddings] Calibration Base,XGBoost,Raw + TabICL embeddings,none_calibration_base,holdout,0.6437404376104081,0.7777851297999514,0.15870028970009167,13.430263835000005,25.666317369000012,0.0,0.02382221950000485,39.12040342350002
XGBoost[Raw + TabICL embeddings] Calibrated,XGBoost,Raw + TabICL embeddings,sigmoid,holdout,0.6437404376104081,0.7777851297999514,0.14308254577032498,13.430263835000005,25.666317369000012,0.03175818400006847,0.006723795500022334,39.13506318350011
XGBoost[Raw] Calibration Base,XGBoost,Raw,none_calibration_base,holdout,0.6421300287344884,0.8297381944903945,0.18525864807450454,0.0,13.688940093000042,0.0,0.013081773000010344,13.702021866000052
XGBoost[Raw] Calibrated,XGBoost,Raw,sigmoid,holdout,0.6421300287344884,0.8297381944903945,0.15731909649598214,0.0,13.688940093000042,0.01947470200002499,0.003505850500005181,13.711920645500072
Rule[VIX close],Rule,vix_close,none,holdout,0.6405026074495641,0.8310174463486182,,0.0,0.0,0.0,0.0,0.0
Rule[SPY realized volatility 20d],Rule,spy_rv_20d,none,holdout,0.6157605507459528,0.8121264253732988,,0.0,0.0,0.0,0.0,0.0
XGBoost[Raw + TabPFN embeddings] Calibration Base,XGBoost,Raw + TabPFN embeddings,none_calibration_base,holdout,0.6139057833200445,0.8013630649110037,0.15648934274837759,15.348615895999956,19.382822846000067,0.0,0.022011709499963672,34.75345045149999
XGBoost[Raw + TabPFN embeddings] Calibrated,XGBoost,Raw + TabPFN embeddings,sigmoid,holdout,0.6139057833200445,0.8013630649110037,0.14811620439084403,15.348615895999956,19.382822846000067,0.022656702999938716,0.004368105499963804,34.758463550499926
TabICL[Direct all-history],TabICL,Raw all-history direct TFM context,none,holdout,0.5995026016474783,0.7759434482454399,0.142097739779079,0.0,3.1262071030000698,0.0,3.1526524990000553,6.278859602000125
XGBoost[Raw all-history incumbent],XGBoost,Raw all-history incumbent,none,holdout,0.5988353410623106,0.7906438165817509,0.13994187661483584,0.0,43.452133793999906,0.0,0.024620976000051087,43.47675476999996
XGBoost[Raw all-history incumbent] Calibration Base,XGBoost,Raw all-history incumbent,none_calibration_base,holdout,0.5834708180730921,0.7765279340082489,0.15028165059605947,0.0,42.501939931999914,0.0,0.013950832999967133,42.51589076499988
XGBoost[Raw all-history incumbent] Calibrated,XGBoost,Raw all-history incumbent,sigmoid,holdout,0.5834708180730921,0.7765279340082489,0.15430028284715636,0.0,42.501939931999914,0.043763884999975744,0.00447560700001759,42.55017942399991
XGBoost[Raw + TabPFN embeddings],XGBoost,Raw + TabPFN embeddings,none,holdout,0.5606118074767639,0.723350757625885,0.1572495945757186,15.348615895999956,20.98688451299995,0.0,0.04008460500006095,36.37558501399997
XGBoost[Raw],XGBoost,Raw,none,holdout,0.5327690137482813,0.7352830896137983,0.17725930739764026,0.0,14.434968384999934,0.0,0.023226966000038374,14.458195350999972
XGBoost[Raw + TabICL embeddings],XGBoost,Raw + TabICL embeddings,none,holdout,0.4617946943441098,0.7100288934471428,0.2005555641135082,13.430263835000005,28.284621961000084,0.0,0.04388452699993195,41.75877032300002
Dummy[Prior probability],Dummy,Raw,none,holdout,0.238,0.5,0.18388686390532546,0.0,0.0,0.0,0.0,0.0
