Model,Base Model,Family,Feature Set,Embedding Source,Calibration,Evaluation Window,Rows,High Vol Rate,Score Type,Average Precision,ROC AUC,Brier Score,Log Loss,ECE Quantile 10,Top 10% Alerts,Top 10% Precision,Top 10% Recall,Top 20% Alerts,Top 20% Precision,Top 20% Recall,Alerts for 80% Recall,Precision at 80% Recall,Actual Recall at 80% Target,CV/Validation Average Precision,Shared Feature Prep Seconds,Fit Seconds,Calibration Seconds,Predict Seconds,Total Seconds,Workflow Seconds,Timing Notes,Best Params,Error
Rule[VIX close],Rule,domain_rule,vix_close,none,none,calibration,350,0.22285714285714286,raw_score,0.4088167923589185,0.6447021116138764,,,,35,0.5714285714285714,0.2564102564102564,70,0.44285714285714284,0.3974358974358974,272,0.23161764705882354,0.8076923076923077,,0.0,0.0,0.0,0.0,0.0,0.0,deterministic domain-rule score; not a probability,,
XGBoost[Raw + TabICL embeddings] Calibration Base,XGBoost,classical_calibration_base,Raw + TabICL embeddings,TabICL,none_calibration_base,calibration,350,0.22285714285714286,probability,0.39198485605821337,0.6291006787330318,0.19821829932615845,0.8011121451491532,0.17731031531867172,35,0.6285714285714286,0.28205128205128205,70,0.4857142857142857,0.4358974358974359,272,0.23161764705882354,0.8076923076923077,0.8068027210884354,13.430263835000005,25.666317369000012,0.0,0.02382221950000485,25.690139588500017,39.12040342350002,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; base model excludes calibration-window labels,"{'colsample_bylevel': np.float64(0.6872700594236812), 'colsample_bytree': np.float64(0.9728928685254539), 'gamma': np.float64(0.24658329458549094), 'learning_rate': np.float64(0.037069753392781075), 'max_bin': 742, 'max_delta_step': 1, 'max_depth': 4, 'min_child_weight': np.float64(0.09974583075316967), 'n_estimators': 1882, 'reg_alpha': np.float64(11.567327199145982), 'reg_lambda': np.float64(4.822460609377511), 'scale_pos_weight': 24.0, 'subsample': np.float64(0.5592630224331111)}",
XGBoost[Raw + TabICL embeddings] Calibrated,XGBoost,classical_calibrated,Raw + TabICL embeddings,TabICL,sigmoid,calibration,350,0.22285714285714286,probability,0.39198485605821337,0.6291006787330318,0.16704928579814093,0.5134812949591654,0.08109024264394445,35,0.6285714285714286,0.28205128205128205,70,0.4857142857142857,0.4358974358974359,272,0.23161764705882354,0.8076923076923077,0.8068027210884354,13.430263835000005,25.666317369000012,0.03175818400006847,0.006723795500022334,25.704799348500103,39.13506318350011,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; sigmoid calibration fitted on calibration window,"{'colsample_bylevel': np.float64(0.6872700594236812), 'colsample_bytree': np.float64(0.9728928685254539), 'gamma': np.float64(0.24658329458549094), 'learning_rate': np.float64(0.037069753392781075), 'max_bin': 742, 'max_delta_step': 1, 'max_depth': 4, 'min_child_weight': np.float64(0.09974583075316967), 'n_estimators': 1882, 'reg_alpha': np.float64(11.567327199145982), 'reg_lambda': np.float64(4.822460609377511), 'scale_pos_weight': 24.0, 'subsample': np.float64(0.5592630224331111)}",
TabPFN[Direct all-history] Calibration Base,TabPFN,direct_tfm_calibration_base,Raw all-history direct TFM context,TabPFN,none_calibration_base,calibration,350,0.22285714285714286,probability,0.38465567382725663,0.68384709653092,0.19736644565291223,0.7249881152830518,0.17646567545531852,35,0.4857142857142857,0.21794871794871795,70,0.44285714285714284,0.3974358974358974,216,0.2916666666666667,0.8076923076923077,,0.0,1.9472288299999718,0.0,3.9501664544999926,5.897395284499964,5.897395284499964,direct TFM base context excludes calibration-window labels,,
XGBoost[Raw all-history incumbent] Calibration Base,XGBoost,classical_incumbent_calibration_base,Raw all-history incumbent,none,none_calibration_base,calibration,350,0.22285714285714286,probability,0.3732701381955715,0.6843891402714932,0.20138649790943985,0.8076736703878357,0.18558138532697094,35,0.45714285714285713,0.20512820512820512,70,0.37142857142857144,0.3333333333333333,209,0.3014354066985646,0.8076923076923077,0.5683446602631866,0.0,42.501939931999914,0.0,0.013950832999967133,42.51589076499988,42.51589076499988,raw all-history incumbent uses all pre-holdout raw labels available to the classical workflow; base model excludes calibration-window labels,"{'colsample_bylevel': np.float64(0.6955303037866204), 'colsample_bytree': np.float64(0.5502298482834342), 'gamma': np.float64(0.34054025892686846), 'learning_rate': np.float64(0.01788820529615122), 'max_bin': 693, 'max_delta_step': 1, 'max_depth': 5, 'min_child_weight': np.float64(0.17928063051726983), 'n_estimators': 1102, 'reg_alpha': np.float64(7.8703386917029325), 'reg_lambda': np.float64(1.5262366889033188), 'scale_pos_weight': np.float64(2.1343747458109497), 'subsample': np.float64(0.952672307692442)}",
XGBoost[Raw all-history incumbent] Calibrated,XGBoost,classical_incumbent_calibrated,Raw all-history incumbent,none,sigmoid,calibration,350,0.22285714285714286,probability,0.3732701381955715,0.6843891402714932,0.16757948877012588,0.5152902157197978,0.08672930538037925,35,0.45714285714285713,0.20512820512820512,70,0.37142857142857144,0.3333333333333333,209,0.3014354066985646,0.8076923076923077,0.5683446602631866,0.0,42.501939931999914,0.043763884999975744,0.00447560700001759,42.55017942399991,42.55017942399991,raw all-history incumbent uses all pre-holdout raw labels available to the classical workflow; sigmoid calibration fitted on calibration window,"{'colsample_bylevel': np.float64(0.6955303037866204), 'colsample_bytree': np.float64(0.5502298482834342), 'gamma': np.float64(0.34054025892686846), 'learning_rate': np.float64(0.01788820529615122), 'max_bin': 693, 'max_delta_step': 1, 'max_depth': 5, 'min_child_weight': np.float64(0.17928063051726983), 'n_estimators': 1102, 'reg_alpha': np.float64(7.8703386917029325), 'reg_lambda': np.float64(1.5262366889033188), 'scale_pos_weight': np.float64(2.1343747458109497), 'subsample': np.float64(0.952672307692442)}",
XGBoost[Raw + TabPFN embeddings] Calibration Base,XGBoost,classical_calibration_base,Raw + TabPFN embeddings,TabPFN,none_calibration_base,calibration,350,0.22285714285714286,probability,0.3624012542261707,0.6088800904977375,0.2026497467100783,0.8733141439520663,0.175344140040023,35,0.5714285714285714,0.2564102564102564,70,0.44285714285714284,0.3974358974358974,260,0.2423076923076923,0.8076923076923077,0.8060975609756098,15.348615895999956,19.382822846000067,0.0,0.022011709499963672,19.40483455550003,34.75345045149999,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; base model excludes calibration-window labels,"{'colsample_bylevel': np.float64(0.6872700594236812), 'colsample_bytree': np.float64(0.9728928685254539), 'gamma': np.float64(0.24658329458549094), 'learning_rate': np.float64(0.037069753392781075), 'max_bin': 742, 'max_delta_step': 1, 'max_depth': 4, 'min_child_weight': np.float64(0.09974583075316967), 'n_estimators': 1882, 'reg_alpha': np.float64(11.567327199145982), 'reg_lambda': np.float64(4.822460609377511), 'scale_pos_weight': 24.0, 'subsample': np.float64(0.5592630224331111)}",
XGBoost[Raw + TabPFN embeddings] Calibrated,XGBoost,classical_calibrated,Raw + TabPFN embeddings,TabPFN,sigmoid,calibration,350,0.22285714285714286,probability,0.3624012542261707,0.6088800904977375,0.16892021192316864,0.5179632462994217,0.07829373262489693,35,0.5714285714285714,0.2564102564102564,70,0.44285714285714284,0.3974358974358974,260,0.2423076923076923,0.8076923076923077,0.8060975609756098,15.348615895999956,19.382822846000067,0.022656702999938716,0.004368105499963804,19.40984765449997,34.758463550499926,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; sigmoid calibration fitted on calibration window,"{'colsample_bylevel': np.float64(0.6872700594236812), 'colsample_bytree': np.float64(0.9728928685254539), 'gamma': np.float64(0.24658329458549094), 'learning_rate': np.float64(0.037069753392781075), 'max_bin': 742, 'max_delta_step': 1, 'max_depth': 4, 'min_child_weight': np.float64(0.09974583075316967), 'n_estimators': 1882, 'reg_alpha': np.float64(11.567327199145982), 'reg_lambda': np.float64(4.822460609377511), 'scale_pos_weight': 24.0, 'subsample': np.float64(0.5592630224331111)}",
XGBoost[Raw] Calibration Base,XGBoost,classical_calibration_base,Raw,none,none_calibration_base,calibration,350,0.22285714285714286,probability,0.3493939760790412,0.5596719457013575,0.20388243185315835,0.8880858466965994,0.1874074711517564,35,0.6285714285714286,0.28205128205128205,70,0.4,0.358974358974359,298,0.21140939597315436,0.8076923076923077,0.8243902439024391,0.0,13.688940093000042,0.0,0.013081773000010344,13.702021866000052,13.702021866000052,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; base model excludes calibration-window labels,"{'colsample_bylevel': np.float64(0.6955303037866204), 'colsample_bytree': np.float64(0.5502298482834342), 'gamma': np.float64(0.34054025892686846), 'learning_rate': np.float64(0.01788820529615122), 'max_bin': 693, 'max_delta_step': 1, 'max_depth': 5, 'min_child_weight': np.float64(0.17928063051726983), 'n_estimators': 1102, 'reg_alpha': np.float64(7.8703386917029325), 'reg_lambda': np.float64(1.5262366889033188), 'scale_pos_weight': np.float64(4.898979485566356), 'subsample': np.float64(0.952672307692442)}",
XGBoost[Raw] Calibrated,XGBoost,classical_calibrated,Raw,none,sigmoid,calibration,350,0.22285714285714286,probability,0.3493939760790412,0.5596719457013575,0.16900800865175042,0.5185623537922432,0.1329146234772104,35,0.6285714285714286,0.28205128205128205,70,0.4,0.358974358974359,298,0.21140939597315436,0.8076923076923077,0.8243902439024391,0.0,13.688940093000042,0.01947470200002499,0.003505850500005181,13.711920645500072,13.711920645500072,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; sigmoid calibration fitted on calibration window,"{'colsample_bylevel': np.float64(0.6955303037866204), 'colsample_bytree': np.float64(0.5502298482834342), 'gamma': np.float64(0.34054025892686846), 'learning_rate': np.float64(0.01788820529615122), 'max_bin': 693, 'max_delta_step': 1, 'max_depth': 5, 'min_child_weight': np.float64(0.17928063051726983), 'n_estimators': 1102, 'reg_alpha': np.float64(7.8703386917029325), 'reg_lambda': np.float64(1.5262366889033188), 'scale_pos_weight': np.float64(4.898979485566356), 'subsample': np.float64(0.952672307692442)}",
TabICL[Direct all-history] Calibration Base,TabICL,direct_tfm_calibration_base,Raw all-history direct TFM context,TabICL,none_calibration_base,calibration,350,0.22285714285714286,probability,0.2895506267003807,0.5385086726998491,0.19006769306552912,0.6565533653530078,0.13323954569674762,35,0.42857142857142855,0.19230769230769232,70,0.38571428571428573,0.34615384615384615,313,0.2012779552715655,0.8076923076923077,,0.0,2.927054021999993,0.0,2.556028718499988,5.483082740499981,5.483082740499981,direct TFM base context excludes calibration-window labels,,
Rule[SPY realized volatility 20d],Rule,domain_rule,spy_rv_20d,none,none,calibration,350,0.22285714285714286,raw_score,0.26732343426784066,0.5623114630467572,,,,35,0.11428571428571428,0.05128205128205128,70,0.32857142857142857,0.2948717948717949,308,0.20454545454545456,0.8076923076923077,,0.0,0.0,0.0,0.0,0.0,0.0,deterministic domain-rule score; not a probability,,
TabICL[Direct all-history] Calibration Base,TabICL,direct_tfm_calibration_base,Raw all-history direct TFM context,TabICL,none_calibration_base,holdout,500,0.238,probability,0.6858265009032922,0.8266944573104833,0.12352948839399427,0.40140061149842265,0.04074658411741256,50,0.82,0.3445378151260504,100,0.65,0.5462184873949579,224,0.42857142857142855,0.8067226890756303,,0.0,2.927054021999993,0.0,2.556028718499988,5.483082740499981,5.483082740499981,direct TFM base context excludes calibration-window labels,,
TabPFN[Direct all-history],TabPFN,direct_tfm,Raw all-history direct TFM context,TabPFN,none,holdout,500,0.238,probability,0.6744350064630438,0.834998566355676,0.12521247942459532,0.40311677687971226,0.046140495716594156,50,0.78,0.3277310924369748,100,0.68,0.5714285714285714,204,0.47058823529411764,0.8067226890756303,,0.0,2.1398527250000825,0.0,5.007168746000048,7.14702147100013,7.14702147100013,direct TFM classifier fitted on all pre-holdout labels; no task-specific weight training claim is made,,
TabPFN[Direct all-history] Calibration Base,TabPFN,direct_tfm_calibration_base,Raw all-history direct TFM context,TabPFN,none_calibration_base,holdout,500,0.238,probability,0.659553517422478,0.8188645536954939,0.13502090088237295,0.4451538548765073,0.0764044316476211,50,0.76,0.31932773109243695,100,0.67,0.5630252100840336,198,0.48484848484848486,0.8067226890756303,,0.0,1.9472288299999718,0.0,3.9501664544999926,5.897395284499964,5.897395284499964,direct TFM base context excludes calibration-window labels,,
XGBoost[Raw + TabICL embeddings] Calibration Base,XGBoost,classical_calibration_base,Raw + TabICL embeddings,TabICL,none_calibration_base,holdout,500,0.238,probability,0.6437404376104081,0.7777851297999514,0.15870028970009167,0.5985021717760113,0.15305056425370273,50,0.82,0.3445378151260504,100,0.7,0.5882352941176471,307,0.3127035830618892,0.8067226890756303,0.8068027210884354,13.430263835000005,25.666317369000012,0.0,0.02382221950000485,25.690139588500017,39.12040342350002,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; base model excludes calibration-window labels,"{'colsample_bylevel': np.float64(0.6872700594236812), 'colsample_bytree': np.float64(0.9728928685254539), 'gamma': np.float64(0.24658329458549094), 'learning_rate': np.float64(0.037069753392781075), 'max_bin': 742, 'max_delta_step': 1, 'max_depth': 4, 'min_child_weight': np.float64(0.09974583075316967), 'n_estimators': 1882, 'reg_alpha': np.float64(11.567327199145982), 'reg_lambda': np.float64(4.822460609377511), 'scale_pos_weight': 24.0, 'subsample': np.float64(0.5592630224331111)}",
XGBoost[Raw + TabICL embeddings] Calibrated,XGBoost,classical_calibrated,Raw + TabICL embeddings,TabICL,sigmoid,holdout,500,0.238,probability,0.6437404376104081,0.7777851297999514,0.14308254577032498,0.4579671131502952,0.1145097097504052,50,0.82,0.3445378151260504,100,0.7,0.5882352941176471,307,0.3127035830618892,0.8067226890756303,0.8068027210884354,13.430263835000005,25.666317369000012,0.03175818400006847,0.006723795500022334,25.704799348500103,39.13506318350011,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; sigmoid calibration fitted on calibration window,"{'colsample_bylevel': np.float64(0.6872700594236812), 'colsample_bytree': np.float64(0.9728928685254539), 'gamma': np.float64(0.24658329458549094), 'learning_rate': np.float64(0.037069753392781075), 'max_bin': 742, 'max_delta_step': 1, 'max_depth': 4, 'min_child_weight': np.float64(0.09974583075316967), 'n_estimators': 1882, 'reg_alpha': np.float64(11.567327199145982), 'reg_lambda': np.float64(4.822460609377511), 'scale_pos_weight': 24.0, 'subsample': np.float64(0.5592630224331111)}",
XGBoost[Raw] Calibration Base,XGBoost,classical_calibration_base,Raw,none,none_calibration_base,holdout,500,0.238,probability,0.6421300287344884,0.8297381944903945,0.18525864807450454,0.7078935920542764,0.19034214663505555,50,0.84,0.35294117647058826,100,0.67,0.5630252100840336,218,0.44036697247706424,0.8067226890756303,0.8243902439024391,0.0,13.688940093000042,0.0,0.013081773000010344,13.702021866000052,13.702021866000052,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; base model excludes calibration-window labels,"{'colsample_bylevel': np.float64(0.6955303037866204), 'colsample_bytree': np.float64(0.5502298482834342), 'gamma': np.float64(0.34054025892686846), 'learning_rate': np.float64(0.01788820529615122), 'max_bin': 693, 'max_delta_step': 1, 'max_depth': 5, 'min_child_weight': np.float64(0.17928063051726983), 'n_estimators': 1102, 'reg_alpha': np.float64(7.8703386917029325), 'reg_lambda': np.float64(1.5262366889033188), 'scale_pos_weight': np.float64(4.898979485566356), 'subsample': np.float64(0.952672307692442)}",
XGBoost[Raw] Calibrated,XGBoost,classical_calibrated,Raw,none,sigmoid,holdout,500,0.238,probability,0.6421300287344884,0.8297381944903945,0.15731909649598214,0.48961475868280635,0.14778825046904911,50,0.84,0.35294117647058826,100,0.67,0.5630252100840336,218,0.44036697247706424,0.8067226890756303,0.8243902439024391,0.0,13.688940093000042,0.01947470200002499,0.003505850500005181,13.711920645500072,13.711920645500072,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; sigmoid calibration fitted on calibration window,"{'colsample_bylevel': np.float64(0.6955303037866204), 'colsample_bytree': np.float64(0.5502298482834342), 'gamma': np.float64(0.34054025892686846), 'learning_rate': np.float64(0.01788820529615122), 'max_bin': 693, 'max_delta_step': 1, 'max_depth': 5, 'min_child_weight': np.float64(0.17928063051726983), 'n_estimators': 1102, 'reg_alpha': np.float64(7.8703386917029325), 'reg_lambda': np.float64(1.5262366889033188), 'scale_pos_weight': np.float64(4.898979485566356), 'subsample': np.float64(0.952672307692442)}",
Rule[VIX close],Rule,domain_rule,vix_close,none,none,holdout,500,0.238,raw_score,0.6405026074495641,0.8310174463486182,,,,50,0.72,0.3025210084033613,100,0.66,0.5546218487394958,197,0.4873096446700508,0.8067226890756303,,0.0,0.0,0.0,0.0,0.0,0.0,deterministic domain-rule score; not a probability,,
