Model,Feature Set,CV/Validation Average Precision,Best Params
XGBoost[Raw all-history incumbent] Calibration Base,Raw all-history incumbent,0.6313742655190774,"{""colsample_bylevel"": 0.9638761415976065, ""colsample_bytree"": 0.9971993024555394, ""gamma"": 0.0001105023452335592, ""learning_rate"": 0.015842748813287347, ""max_bin"": 817, ""max_delta_step"": 1, ""max_depth"": 7, ""min_child_weight"": 48.7503043944788, ""n_estimators"": 402, ""reg_alpha"": 5.138446923504145, ""reg_lambda"": 0.27533096962597137, ""scale_pos_weight"": 1.0, ""subsample"": 0.7916384903020361}"
XGBoost[Raw all-history incumbent] Calibrated,Raw all-history incumbent,0.6313742655190774,"{""colsample_bylevel"": 0.9638761415976065, ""colsample_bytree"": 0.9971993024555394, ""gamma"": 0.0001105023452335592, ""learning_rate"": 0.015842748813287347, ""max_bin"": 817, ""max_delta_step"": 1, ""max_depth"": 7, ""min_child_weight"": 48.7503043944788, ""n_estimators"": 402, ""reg_alpha"": 5.138446923504145, ""reg_lambda"": 0.27533096962597137, ""scale_pos_weight"": 1.0, ""subsample"": 0.7916384903020361}"
XGBoost[Raw + TabPFN embeddings] Calibration Base,Raw + TabPFN embeddings,0.5071438254130493,"{""colsample_bylevel"": 0.6557066546956472, ""colsample_bytree"": 0.9887307907418297, ""gamma"": 0.00011271497507587927, ""learning_rate"": 0.003224196768428403, ""max_bin"": 601, ""max_delta_step"": 10, ""max_depth"": 8, ""min_child_weight"": 0.5468685745058192, ""n_estimators"": 1677, ""reg_alpha"": 0.01088833676458495, ""reg_lambda"": 1.0338227526235808, ""scale_pos_weight"": 2.750628554859509, ""subsample"": 0.9771155792161237}"
XGBoost[Raw + TabPFN embeddings] Calibrated,Raw + TabPFN embeddings,0.5071438254130493,"{""colsample_bylevel"": 0.6557066546956472, ""colsample_bytree"": 0.9887307907418297, ""gamma"": 0.00011271497507587927, ""learning_rate"": 0.003224196768428403, ""max_bin"": 601, ""max_delta_step"": 10, ""max_depth"": 8, ""min_child_weight"": 0.5468685745058192, ""n_estimators"": 1677, ""reg_alpha"": 0.01088833676458495, ""reg_lambda"": 1.0338227526235808, ""scale_pos_weight"": 2.750628554859509, ""subsample"": 0.9771155792161237}"
XGBoost[Raw + TabICL embeddings] Calibration Base,Raw + TabICL embeddings,0.4507916077795864,"{""colsample_bylevel"": 0.965794744159495, ""colsample_bytree"": 0.8543669599878991, ""gamma"": 0.000487916790365637, ""learning_rate"": 0.008668224398556848, ""max_bin"": 165, ""max_delta_step"": 3, ""max_depth"": 6, ""min_child_weight"": 0.07003590571021803, ""n_estimators"": 1313, ""reg_alpha"": 3.692525569632977e-05, ""reg_lambda"": 0.2665639151820219, ""scale_pos_weight"": 1.0, ""subsample"": 0.9525159689356304}"
XGBoost[Raw + TabICL embeddings] Calibrated,Raw + TabICL embeddings,0.4507916077795864,"{""colsample_bylevel"": 0.965794744159495, ""colsample_bytree"": 0.8543669599878991, ""gamma"": 0.000487916790365637, ""learning_rate"": 0.008668224398556848, ""max_bin"": 165, ""max_delta_step"": 3, ""max_depth"": 6, ""min_child_weight"": 0.07003590571021803, ""n_estimators"": 1313, ""reg_alpha"": 3.692525569632977e-05, ""reg_lambda"": 0.2665639151820219, ""scale_pos_weight"": 1.0, ""subsample"": 0.9525159689356304}"
XGBoost[Raw] Calibration Base,Raw,0.5139222485335624,"{""colsample_bylevel"": 0.743904900404369, ""colsample_bytree"": 0.9179496348098805, ""gamma"": 3.3676406817541684e-05, ""learning_rate"": 0.08850040653330693, ""max_bin"": 791, ""max_delta_step"": 0, ""max_depth"": 8, ""min_child_weight"": 0.0714293072131967, ""n_estimators"": 942, ""reg_alpha"": 0.007460669282028744, ""reg_lambda"": 87.46439286957852, ""scale_pos_weight"": 7.56595744680851, ""subsample"": 0.9534746183383094}"
XGBoost[Raw] Calibrated,Raw,0.5139222485335624,"{""colsample_bylevel"": 0.743904900404369, ""colsample_bytree"": 0.9179496348098805, ""gamma"": 3.3676406817541684e-05, ""learning_rate"": 0.08850040653330693, ""max_bin"": 791, ""max_delta_step"": 0, ""max_depth"": 8, ""min_child_weight"": 0.0714293072131967, ""n_estimators"": 942, ""reg_alpha"": 0.007460669282028744, ""reg_lambda"": 87.46439286957852, ""scale_pos_weight"": 7.56595744680851, ""subsample"": 0.9534746183383094}"
XGBoost[Raw all-history incumbent],Raw all-history incumbent,0.6313742655190774,"{""colsample_bylevel"": 0.9638761415976065, ""colsample_bytree"": 0.9971993024555394, ""gamma"": 0.0001105023452335592, ""learning_rate"": 0.015842748813287347, ""max_bin"": 817, ""max_delta_step"": 1, ""max_depth"": 7, ""min_child_weight"": 48.7503043944788, ""n_estimators"": 402, ""reg_alpha"": 5.138446923504145, ""reg_lambda"": 0.27533096962597137, ""scale_pos_weight"": 1.0, ""subsample"": 0.7916384903020361}"
XGBoost[Raw + TabICL embeddings],Raw + TabICL embeddings,0.4507916077795864,"{""colsample_bylevel"": 0.965794744159495, ""colsample_bytree"": 0.8543669599878991, ""gamma"": 0.000487916790365637, ""learning_rate"": 0.008668224398556848, ""max_bin"": 165, ""max_delta_step"": 3, ""max_depth"": 6, ""min_child_weight"": 0.07003590571021803, ""n_estimators"": 1313, ""reg_alpha"": 3.692525569632977e-05, ""reg_lambda"": 0.2665639151820219, ""scale_pos_weight"": 1.0, ""subsample"": 0.9525159689356304}"
