source,symbol,rows,error,feature_name
yfinance,SPY,5114,,
yfinance,QQQ,5114,,
yfinance,IWM,5114,,
yfinance,TLT,5114,,
yfinance,IEF,5114,,
yfinance,GLD,5114,,
yfinance,HYG,4796,,
yfinance,EEM,5114,,
yfinance,VNQ,5114,,
https://cdn.cboe.com/api/global/us_indices/daily_prices/VIX_History.csv,VIX,9179,,
FRED,DGS10,16786,,treasury_10y_yield
FRED,DGS2,13026,,treasury_2y_yield
FRED,T10Y2Y,13027,,yield_curve_10y_2y
FRED,BAMLH0A0HYM2,794,,high_yield_oas
FRED,BAMLC0A0CM,794,,investment_grade_oas
FRED,DFF,26242,,fed_funds_rate
