feature,missing_rate_before_policy,precalibration_nonmissing_count,retained_by_feature_policy,dropped_for_sparse_history,dropped_for_insufficient_precalibration_history,missing_indicator_added,n_unique_after_target_filter
investment_grade_oas_change_20d,0.8574501368791553,0,False,True,True,False,100
high_yield_oas_change_20d,0.8574501368791553,0,False,True,True,False,225
investment_grade_oas_change_5d,0.8545170121235823,0,False,True,True,False,53
high_yield_oas_change_5d,0.8545170121235823,0,False,True,True,False,154
investment_grade_oas,0.8535393038717247,0,False,True,True,False,75
high_yield_oas,0.8535393038717247,0,False,True,True,False,190
credit_spread_gap_hy_minus_ig,0.8535393038717247,0,False,True,True,False,229
hyg_return_252d,0.1114587407117716,2450,True,False,False,True,4522
hyg_drawdown_200d,0.10109503324208056,2503,True,False,False,True,3759
hyg_ma_distance_200d,0.10109503324208056,2503,True,False,False,True,4578
hyg_return_126d,0.08682049276495894,2576,True,False,False,True,4648
hyg_rv_126d,0.08682049276495894,2576,True,False,False,True,4650
corr_spy_hyg_126d,0.08682049276495894,2576,True,False,False,True,4651
hyg_drawdown_126d,0.0866249511145874,2577,True,False,False,True,3809
hyg_ma_distance_126d,0.0866249511145874,2577,True,False,False,True,4652
hyg_return_60d,0.07391474384043802,2642,True,False,False,True,4714
hyg_rv_60d,0.07391474384043802,2642,True,False,False,True,4715
corr_spy_hyg_60d,0.07391474384043802,2642,True,False,False,True,4717
relative_return_spy_hyg_60d,0.07391474384043802,2642,True,False,False,True,4717
hyg_drawdown_60d,0.07371920219006649,2643,True,False,False,True,3810
hyg_ma_distance_60d,0.07371920219006649,2643,True,False,False,True,4718
hyg_volume_zscore_60d,0.07371920219006649,2643,True,False,False,True,4718
hyg_return_20d,0.06609307782557684,2682,True,False,False,True,4751
hyg_rv_20d,0.06609307782557684,2682,True,False,False,True,4755
hyg_volume_volatility_20d,0.06609307782557684,2682,True,False,False,True,4757
corr_spy_hyg_20d,0.06609307782557684,2682,True,False,False,True,4757
relative_return_spy_hyg_20d,0.06609307782557684,2682,True,False,False,True,4757
hyg_drawdown_20d,0.06589753617520532,2683,True,False,False,True,3652
hyg_ma_distance_20d,0.06589753617520532,2683,True,False,False,True,4758
hyg_rv_10d,0.06413766132186155,2692,True,False,False,True,4767
hyg_return_5d,0.06315995307000391,2697,True,False,False,True,4754
hyg_rv_5d,0.06315995307000391,2697,True,False,False,True,4772
hyg_volume_change_5d,0.06315995307000391,2697,True,False,False,True,4772
hyg_return_1d,0.06237778646851779,2701,True,False,False,True,4703
ief_return_252d,0.049276495893625344,2768,True,False,False,True,4839
iwm_return_252d,0.049276495893625344,2768,True,False,False,True,4842
vnq_return_252d,0.049276495893625344,2768,True,False,False,True,4842
spy_return_252d,0.049276495893625344,2768,True,False,False,True,4843
qqq_return_252d,0.049276495893625344,2768,True,False,False,True,4843
tlt_return_252d,0.049276495893625344,2768,True,False,False,True,4843
gld_return_252d,0.049276495893625344,2768,True,False,False,True,4843
eem_return_252d,0.049276495893625344,2768,True,False,False,True,4843
vix_zscore_252d,0.049080954243253816,2769,True,False,False,True,4844
qqq_drawdown_200d,0.0389127884239343,2821,True,False,False,True,4088
spy_drawdown_200d,0.0389127884239343,2821,True,False,False,True,4116
eem_drawdown_200d,0.0389127884239343,2821,True,False,False,True,4309
vnq_drawdown_200d,0.0389127884239343,2821,True,False,False,True,4367
ief_drawdown_200d,0.0389127884239343,2821,True,False,False,True,4385
gld_drawdown_200d,0.0389127884239343,2821,True,False,False,True,4425
iwm_drawdown_200d,0.0389127884239343,2821,True,False,False,True,4427
tlt_drawdown_200d,0.0389127884239343,2821,True,False,False,True,4580
spy_ma_distance_200d,0.0389127884239343,2821,True,False,False,True,4896
qqq_ma_distance_200d,0.0389127884239343,2821,True,False,False,True,4896
iwm_ma_distance_200d,0.0389127884239343,2821,True,False,False,True,4896
tlt_ma_distance_200d,0.0389127884239343,2821,True,False,False,True,4896
ief_ma_distance_200d,0.0389127884239343,2821,True,False,False,True,4896
gld_ma_distance_200d,0.0389127884239343,2821,True,False,False,True,4896
eem_ma_distance_200d,0.0389127884239343,2821,True,False,False,True,4896
vnq_ma_distance_200d,0.0389127884239343,2821,True,False,False,True,4896
ief_return_126d,0.024638247946812672,2894,True,False,False,True,4965
eem_return_126d,0.024638247946812672,2894,True,False,False,True,4967
vnq_return_126d,0.024638247946812672,2894,True,False,False,True,4967
gld_return_126d,0.024638247946812672,2894,True,False,False,True,4968
spy_return_126d,0.024638247946812672,2894,True,False,False,True,4969
spy_rv_126d,0.024638247946812672,2894,True,False,False,True,4969
qqq_return_126d,0.024638247946812672,2894,True,False,False,True,4969
qqq_rv_126d,0.024638247946812672,2894,True,False,False,True,4969
iwm_return_126d,0.024638247946812672,2894,True,False,False,True,4969
iwm_rv_126d,0.024638247946812672,2894,True,False,False,True,4969
tlt_return_126d,0.024638247946812672,2894,True,False,False,True,4969
tlt_rv_126d,0.024638247946812672,2894,True,False,False,True,4969
ief_rv_126d,0.024638247946812672,2894,True,False,False,True,4969
gld_rv_126d,0.024638247946812672,2894,True,False,False,True,4969
eem_rv_126d,0.024638247946812672,2894,True,False,False,True,4969
vnq_rv_126d,0.024638247946812672,2894,True,False,False,True,4969
corr_spy_tlt_126d,0.024638247946812672,2894,True,False,False,True,4969
corr_spy_gld_126d,0.024638247946812672,2894,True,False,False,True,4969
corr_spy_eem_126d,0.024638247946812672,2894,True,False,False,True,4969
corr_qqq_tlt_126d,0.024638247946812672,2894,True,False,False,True,4969
hyg_downside_rv_126d,0.02444270629644114,2895,True,False,False,True,3284
qqq_downside_rv_126d,0.02444270629644114,2895,True,False,False,True,3406
spy_downside_rv_126d,0.02444270629644114,2895,True,False,False,True,3444
iwm_downside_rv_126d,0.02444270629644114,2895,True,False,False,True,3546
eem_downside_rv_126d,0.02444270629644114,2895,True,False,False,True,3554
vnq_downside_rv_126d,0.02444270629644114,2895,True,False,False,True,3556
gld_downside_rv_126d,0.02444270629644114,2895,True,False,False,True,3575
ief_downside_rv_126d,0.02444270629644114,2895,True,False,False,True,3594
tlt_downside_rv_126d,0.02444270629644114,2895,True,False,False,True,3620
qqq_drawdown_126d,0.02444270629644114,2895,True,False,False,True,4124
spy_drawdown_126d,0.02444270629644114,2895,True,False,False,True,4160
eem_drawdown_126d,0.02444270629644114,2895,True,False,False,True,4343
vnq_drawdown_126d,0.02444270629644114,2895,True,False,False,True,4398
ief_drawdown_126d,0.02444270629644114,2895,True,False,False,True,4405
iwm_drawdown_126d,0.02444270629644114,2895,True,False,False,True,4457
gld_drawdown_126d,0.02444270629644114,2895,True,False,False,True,4459
tlt_drawdown_126d,0.02444270629644114,2895,True,False,False,True,4620
spy_ma_distance_126d,0.02444270629644114,2895,True,False,False,True,4970
qqq_ma_distance_126d,0.02444270629644114,2895,True,False,False,True,4970
iwm_ma_distance_126d,0.02444270629644114,2895,True,False,False,True,4970
tlt_ma_distance_126d,0.02444270629644114,2895,True,False,False,True,4970
ief_ma_distance_126d,0.02444270629644114,2895,True,False,False,True,4970
gld_ma_distance_126d,0.02444270629644114,2895,True,False,False,True,4970
eem_ma_distance_126d,0.02444270629644114,2895,True,False,False,True,4970
vnq_ma_distance_126d,0.02444270629644114,2895,True,False,False,True,4970
eem_return_60d,0.011732499022291749,2960,True,False,False,True,5029
qqq_return_60d,0.011732499022291749,2960,True,False,False,True,5034
qqq_rv_60d,0.011732499022291749,2960,True,False,False,True,5034
vnq_return_60d,0.011732499022291749,2960,True,False,False,True,5034
spy_return_60d,0.011732499022291749,2960,True,False,False,True,5035
spy_rv_60d,0.011732499022291749,2960,True,False,False,True,5035
iwm_return_60d,0.011732499022291749,2960,True,False,False,True,5035
iwm_rv_60d,0.011732499022291749,2960,True,False,False,True,5035
tlt_return_60d,0.011732499022291749,2960,True,False,False,True,5035
tlt_rv_60d,0.011732499022291749,2960,True,False,False,True,5035
ief_return_60d,0.011732499022291749,2960,True,False,False,True,5035
ief_rv_60d,0.011732499022291749,2960,True,False,False,True,5035
gld_return_60d,0.011732499022291749,2960,True,False,False,True,5035
gld_rv_60d,0.011732499022291749,2960,True,False,False,True,5035
eem_rv_60d,0.011732499022291749,2960,True,False,False,True,5035
vnq_rv_60d,0.011732499022291749,2960,True,False,False,True,5035
corr_spy_tlt_60d,0.011732499022291749,2960,True,False,False,True,5035
relative_return_spy_tlt_60d,0.011732499022291749,2960,True,False,False,True,5035
corr_spy_gld_60d,0.011732499022291749,2960,True,False,False,True,5035
relative_return_spy_gld_60d,0.011732499022291749,2960,True,False,False,True,5035
corr_spy_eem_60d,0.011732499022291749,2960,True,False,False,True,5035
relative_return_spy_eem_60d,0.011732499022291749,2960,True,False,False,True,5035
corr_qqq_tlt_60d,0.011732499022291749,2960,True,False,False,True,5035
relative_return_qqq_tlt_60d,0.011732499022291749,2960,True,False,False,True,5035
hyg_downside_rv_60d,0.011536957371920219,2961,True,False,False,True,3325
qqq_downside_rv_60d,0.011536957371920219,2961,True,False,False,True,3435
spy_downside_rv_60d,0.011536957371920219,2961,True,False,False,True,3504
iwm_downside_rv_60d,0.011536957371920219,2961,True,False,False,True,3593
vnq_downside_rv_60d,0.011536957371920219,2961,True,False,False,True,3608
eem_downside_rv_60d,0.011536957371920219,2961,True,False,False,True,3610
gld_downside_rv_60d,0.011536957371920219,2961,True,False,False,True,3635
ief_downside_rv_60d,0.011536957371920219,2961,True,False,False,True,3660
tlt_downside_rv_60d,0.011536957371920219,2961,True,False,False,True,3683
qqq_drawdown_60d,0.011536957371920219,2961,True,False,False,True,4080
spy_drawdown_60d,0.011536957371920219,2961,True,False,False,True,4107
eem_drawdown_60d,0.011536957371920219,2961,True,False,False,True,4340
vnq_drawdown_60d,0.011536957371920219,2961,True,False,False,True,4353
ief_drawdown_60d,0.011536957371920219,2961,True,False,False,True,4360
iwm_drawdown_60d,0.011536957371920219,2961,True,False,False,True,4399
gld_drawdown_60d,0.011536957371920219,2961,True,False,False,True,4413
tlt_drawdown_60d,0.011536957371920219,2961,True,False,False,True,4570
spy_ma_distance_60d,0.011536957371920219,2961,True,False,False,True,5036
spy_volume_zscore_60d,0.011536957371920219,2961,True,False,False,True,5036
qqq_ma_distance_60d,0.011536957371920219,2961,True,False,False,True,5036
qqq_volume_zscore_60d,0.011536957371920219,2961,True,False,False,True,5036
iwm_ma_distance_60d,0.011536957371920219,2961,True,False,False,True,5036
iwm_volume_zscore_60d,0.011536957371920219,2961,True,False,False,True,5036
tlt_ma_distance_60d,0.011536957371920219,2961,True,False,False,True,5036
tlt_volume_zscore_60d,0.011536957371920219,2961,True,False,False,True,5036
ief_ma_distance_60d,0.011536957371920219,2961,True,False,False,True,5036
ief_volume_zscore_60d,0.011536957371920219,2961,True,False,False,True,5036
gld_ma_distance_60d,0.011536957371920219,2961,True,False,False,True,5036
gld_volume_zscore_60d,0.011536957371920219,2961,True,False,False,True,5036
eem_ma_distance_60d,0.011536957371920219,2961,True,False,False,True,5036
eem_volume_zscore_60d,0.011536957371920219,2961,True,False,False,True,5036
vnq_ma_distance_60d,0.011536957371920219,2961,True,False,False,True,5036
vnq_volume_zscore_60d,0.011536957371920219,2961,True,False,False,True,5036
vix_ma_distance_60d,0.011536957371920219,2961,True,False,False,True,5036
fed_funds_rate_change_20d,0.003910833007430583,3000,True,False,False,True,392
treasury_10y_yield_change_20d,0.003910833007430583,3000,True,False,False,True,544
yield_curve_10y_2y_change_20d,0.003910833007430583,3000,True,False,False,True,548
treasury_2y_yield_change_20d,0.003910833007430583,3000,True,False,False,True,697
vix_change_20d,0.003910833007430583,3000,True,False,False,True,5054
eem_return_20d,0.003910833007430583,3000,True,False,False,True,5070
iwm_return_20d,0.003910833007430583,3000,True,False,False,True,5071
gld_return_20d,0.003910833007430583,3000,True,False,False,True,5072
vnq_return_20d,0.003910833007430583,3000,True,False,False,True,5073
spy_return_20d,0.003910833007430583,3000,True,False,False,True,5074
qqq_return_20d,0.003910833007430583,3000,True,False,False,True,5074
qqq_rv_20d,0.003910833007430583,3000,True,False,False,True,5074
ief_return_20d,0.003910833007430583,3000,True,False,False,True,5074
spy_rv_20d,0.003910833007430583,3000,True,False,False,True,5075
spy_volume_volatility_20d,0.003910833007430583,3000,True,False,False,True,5075
qqq_volume_volatility_20d,0.003910833007430583,3000,True,False,False,True,5075
iwm_rv_20d,0.003910833007430583,3000,True,False,False,True,5075
iwm_volume_volatility_20d,0.003910833007430583,3000,True,False,False,True,5075
tlt_return_20d,0.003910833007430583,3000,True,False,False,True,5075
tlt_rv_20d,0.003910833007430583,3000,True,False,False,True,5075
tlt_volume_volatility_20d,0.003910833007430583,3000,True,False,False,True,5075
ief_rv_20d,0.003910833007430583,3000,True,False,False,True,5075
ief_volume_volatility_20d,0.003910833007430583,3000,True,False,False,True,5075
gld_rv_20d,0.003910833007430583,3000,True,False,False,True,5075
gld_volume_volatility_20d,0.003910833007430583,3000,True,False,False,True,5075
eem_rv_20d,0.003910833007430583,3000,True,False,False,True,5075
eem_volume_volatility_20d,0.003910833007430583,3000,True,False,False,True,5075
vnq_rv_20d,0.003910833007430583,3000,True,False,False,True,5075
vnq_volume_volatility_20d,0.003910833007430583,3000,True,False,False,True,5075
corr_spy_tlt_20d,0.003910833007430583,3000,True,False,False,True,5075
relative_return_spy_tlt_20d,0.003910833007430583,3000,True,False,False,True,5075
corr_spy_gld_20d,0.003910833007430583,3000,True,False,False,True,5075
relative_return_spy_gld_20d,0.003910833007430583,3000,True,False,False,True,5075
corr_spy_eem_20d,0.003910833007430583,3000,True,False,False,True,5075
relative_return_spy_eem_20d,0.003910833007430583,3000,True,False,False,True,5075
corr_qqq_tlt_20d,0.003910833007430583,3000,True,False,False,True,5075
relative_return_qqq_tlt_20d,0.003910833007430583,3000,True,False,False,True,5075
vix_minus_spy_rv_20d,0.003910833007430583,3000,True,False,False,True,5075
vix_to_spy_rv_20d,0.003910833007430583,3000,True,False,False,True,5075
hyg_downside_rv_20d,0.0037152913570590537,3001,True,False,False,True,3330
qqq_downside_rv_20d,0.0037152913570590537,3001,True,False,False,True,3474
spy_downside_rv_20d,0.0037152913570590537,3001,True,False,False,True,3512
iwm_downside_rv_20d,0.0037152913570590537,3001,True,False,False,True,3601
eem_downside_rv_20d,0.0037152913570590537,3001,True,False,False,True,3623
vnq_downside_rv_20d,0.0037152913570590537,3001,True,False,False,True,3634
gld_downside_rv_20d,0.0037152913570590537,3001,True,False,False,True,3659
ief_downside_rv_20d,0.0037152913570590537,3001,True,False,False,True,3662
tlt_downside_rv_20d,0.0037152913570590537,3001,True,False,False,True,3700
qqq_drawdown_20d,0.0037152913570590537,3001,True,False,False,True,3881
spy_drawdown_20d,0.0037152913570590537,3001,True,False,False,True,3904
vnq_drawdown_20d,0.0037152913570590537,3001,True,False,False,True,4152
iwm_drawdown_20d,0.0037152913570590537,3001,True,False,False,True,4175
ief_drawdown_20d,0.0037152913570590537,3001,True,False,False,True,4181
eem_drawdown_20d,0.0037152913570590537,3001,True,False,False,True,4203
