Model,Evaluation Window,Type,Value,Alerts,Precision,Recall
Dummy[Prior probability],holdout,top_rate,0.05,79,0.35443037974683544,0.07650273224043716
Dummy[Prior probability],holdout,top_rate,0.1,158,0.4240506329113924,0.1830601092896175
Dummy[Prior probability],holdout,top_rate,0.2,315,0.32063492063492066,0.27595628415300544
Dummy[Prior probability],holdout,top_rate,0.3,472,0.22033898305084745,0.28415300546448086
Dummy[Prior probability],holdout,target_recall,0.5,604,0.3029801324503311,0.5
Dummy[Prior probability],holdout,target_recall,0.7,705,0.3645390070921986,0.7021857923497268
Dummy[Prior probability],holdout,target_recall,0.8,1133,0.2586054721977052,0.8005464480874317
Dummy[Prior probability],holdout,target_recall,0.9,1340,0.2462686567164179,0.9016393442622951
Rule[SPY realized volatility 20d],holdout,top_rate,0.05,79,0.7721518987341772,0.16666666666666666
Rule[SPY realized volatility 20d],holdout,top_rate,0.1,158,0.6708860759493671,0.2896174863387978
Rule[SPY realized volatility 20d],holdout,top_rate,0.2,315,0.5968253968253968,0.5136612021857924
Rule[SPY realized volatility 20d],holdout,top_rate,0.3,472,0.5508474576271186,0.7103825136612022
Rule[SPY realized volatility 20d],holdout,target_recall,0.5,299,0.6120401337792643,0.5
Rule[SPY realized volatility 20d],holdout,target_recall,0.7,452,0.5685840707964602,0.7021857923497268
Rule[SPY realized volatility 20d],holdout,target_recall,0.8,659,0.44461305007587254,0.8005464480874317
Rule[SPY realized volatility 20d],holdout,target_recall,0.9,1124,0.29359430604982206,0.9016393442622951
Rule[SPY Parkinson realized volatility 20d],holdout,top_rate,0.05,79,0.7848101265822784,0.16939890710382513
Rule[SPY Parkinson realized volatility 20d],holdout,top_rate,0.1,158,0.7848101265822784,0.33879781420765026
Rule[SPY Parkinson realized volatility 20d],holdout,top_rate,0.2,315,0.6412698412698413,0.5519125683060109
Rule[SPY Parkinson realized volatility 20d],holdout,top_rate,0.3,472,0.5317796610169492,0.6857923497267759
Rule[SPY Parkinson realized volatility 20d],holdout,target_recall,0.5,278,0.658273381294964,0.5
Rule[SPY Parkinson realized volatility 20d],holdout,target_recall,0.7,491,0.5234215885947047,0.7021857923497268
Rule[SPY Parkinson realized volatility 20d],holdout,target_recall,0.8,699,0.41917024320457796,0.8005464480874317
Rule[SPY Parkinson realized volatility 20d],holdout,target_recall,0.9,1089,0.30303030303030304,0.9016393442622951
Rule[SPY Garman-Klass realized volatility 20d],holdout,top_rate,0.05,79,0.7848101265822784,0.16939890710382513
Rule[SPY Garman-Klass realized volatility 20d],holdout,top_rate,0.1,158,0.8354430379746836,0.36065573770491804
Rule[SPY Garman-Klass realized volatility 20d],holdout,top_rate,0.2,315,0.6031746031746031,0.5191256830601093
Rule[SPY Garman-Klass realized volatility 20d],holdout,top_rate,0.3,472,0.5084745762711864,0.6557377049180327
Rule[SPY Garman-Klass realized volatility 20d],holdout,target_recall,0.5,285,0.6421052631578947,0.5
Rule[SPY Garman-Klass realized volatility 20d],holdout,target_recall,0.7,540,0.4759259259259259,0.7021857923497268
Rule[SPY Garman-Klass realized volatility 20d],holdout,target_recall,0.8,754,0.3885941644562334,0.8005464480874317
Rule[SPY Garman-Klass realized volatility 20d],holdout,target_recall,0.9,1100,0.3,0.9016393442622951
Rule[VIX close],holdout,top_rate,0.05,79,0.7341772151898734,0.15846994535519127
