Model,Metric,Point Estimate,Bootstrap Median,CI Lower,CI Upper,Bootstrap Iterations Requested,Bootstrap Iterations Used,Block Unit,Confidence Level
Rule[SPY realized volatility 20d],average_precision,0.6014824651490764,0.6121799267446533,0.3845541961787673,0.7490354137737113,300,300,calendar_month,0.95
Rule[SPY realized volatility 20d],roc_auc,0.80925333877514,0.8061750151324124,0.7120051549175468,0.8841575017932682,300,300,calendar_month,0.95
Rule[SPY realized volatility 20d],top_20_recall,0.5136612021857924,0.5203406326034064,0.3912430579770541,0.6750318846607055,300,300,calendar_month,0.95
Rule[SPY Parkinson realized volatility 20d],average_precision,0.6278017233190802,0.61867326407544,0.43066426377064954,0.7787338661964366,300,300,calendar_month,0.95
Rule[SPY Parkinson realized volatility 20d],roc_auc,0.8137360270276399,0.8117991830980709,0.7201941094737664,0.8906254030684855,300,300,calendar_month,0.95
Rule[SPY Parkinson realized volatility 20d],top_20_recall,0.5519125683060109,0.54233498678446,0.4138643318599116,0.7093641732283464,300,300,calendar_month,0.95
Rule[SPY Garman-Klass realized volatility 20d],average_precision,0.6230972653715359,0.6251479748873947,0.4226023340359154,0.763706787878972,300,300,calendar_month,0.95
Rule[SPY Garman-Klass realized volatility 20d],roc_auc,0.8022515475137746,0.8036950437846619,0.7091048139276852,0.8815522490491493,300,300,calendar_month,0.95
Rule[SPY Garman-Klass realized volatility 20d],top_20_recall,0.5191256830601093,0.5169334741781297,0.3890402592546429,0.6765851267095736,300,300,calendar_month,0.95
Rule[VIX close],average_precision,0.6326031416335401,0.6244947214533972,0.4366279560693561,0.7770146995178,300,300,calendar_month,0.95
Rule[VIX close],roc_auc,0.8324388363603383,0.8298970998279371,0.7520166547307624,0.900052051553044,300,300,calendar_month,0.95
Rule[VIX close],top_20_recall,0.5546448087431693,0.5385717434428037,0.42207026917707235,0.6717988430677364,300,300,calendar_month,0.95
Rule[VIX z-score 252d],average_precision,0.5991737949244991,0.5932144981129669,0.397020103163665,0.7647930149010288,300,300,calendar_month,0.95
Rule[VIX z-score 252d],roc_auc,0.8428383556674148,0.8393778074889318,0.7620155459547955,0.9025529504428249,300,300,calendar_month,0.95
Rule[VIX z-score 252d],top_20_recall,0.4972677595628415,0.49006942526922015,0.3822505579046277,0.6242907801418438,300,300,calendar_month,0.95
Rule[VIX/realized volatility gap 20d],average_precision,0.2348011834528706,0.24265367878447286,0.15075858782622623,0.3424629245062083,300,300,calendar_month,0.95
Rule[VIX/realized volatility gap 20d],roc_auc,0.42451307167312885,0.4255738552723154,0.3292327886602681,0.5181294099333684,300,300,calendar_month,0.95
Rule[VIX/realized volatility gap 20d],top_20_recall,0.20491803278688525,0.2030294167824328,0.12096895401812972,0.2911276318645538,300,300,calendar_month,0.95
XGBoost[Raw all-history incumbent],average_precision,0.6129948367240888,0.6163472362266454,0.3929443380100456,0.7680246420253751,300,300,calendar_month,0.95
XGBoost[Raw all-history incumbent],roc_auc,0.8121601705099426,0.813284729945818,0.7188735471302105,0.8875009508335736,300,300,calendar_month,0.95
XGBoost[Raw all-history incumbent],top_20_recall,0.5573770491803278,0.5440932003432003,0.4123019672308832,0.6937220642015439,300,300,calendar_month,0.95
XGBoost[Raw],average_precision,0.4559989845081834,0.46050809880306176,0.3061521071003088,0.636467634274353,300,300,calendar_month,0.95
XGBoost[Raw],roc_auc,0.7320975897331247,0.7383973302308886,0.6267492557876322,0.8283198308651654,300,300,calendar_month,0.95
XGBoost[Raw],top_20_recall,0.4262295081967213,0.4273182957393483,0.2911265198390377,0.5851304266566986,300,300,calendar_month,0.95
XGBoost[Raw + TabPFN embeddings],average_precision,0.5313075447156105,0.5338063103488079,0.35475488661219085,0.6790009763472596,300,300,calendar_month,0.95
XGBoost[Raw + TabPFN embeddings],roc_auc,0.7458041403079155,0.7415808167900451,0.6457356763550549,0.834281730894532,300,300,calendar_month,0.95
XGBoost[Raw + TabPFN embeddings],top_20_recall,0.45081967213114754,0.43979536258948027,0.3293017865765331,0.573801967629324,300,300,calendar_month,0.95
XGBoost[Raw + TabICL embeddings],average_precision,0.5435969158265281,0.5254489348892148,0.3263638418212864,0.7082066317015422,300,300,calendar_month,0.95
XGBoost[Raw + TabICL embeddings],roc_auc,0.7508536834228965,0.7487936280260831,0.6562485661697082,0.8385246308996954,300,300,calendar_month,0.95
XGBoost[Raw + TabICL embeddings],top_20_recall,0.4426229508196721,0.4328884986830553,0.3251533118851555,0.5630283001303296,300,300,calendar_month,0.95
TabPFN[Direct all-history],average_precision,0.6635733606425451,0.6521316633009425,0.46169606484293013,0.7923104430783352,300,300,calendar_month,0.95
TabPFN[Direct all-history],roc_auc,0.83015214384509,0.8271662475193516,0.7060867758877951,0.9054401374918759,300,300,calendar_month,0.95
TabPFN[Direct all-history],top_20_recall,0.5765027322404371,0.5595667592329054,0.43661527777012243,0.7059810186055253,300,300,calendar_month,0.95
TabICL[Direct all-history],average_precision,0.6270072532356344,0.6209397377500854,0.4046312496088794,0.7713100720867977,300,300,calendar_month,0.95
TabICL[Direct all-history],roc_auc,0.8103314967235788,0.8102672795123211,0.7090171464580342,0.8986609725310296,300,300,calendar_month,0.95
TabICL[Direct all-history],top_20_recall,0.5273224043715847,0.5271243751837695,0.3893081613508443,0.6953335783640563,300,300,calendar_month,0.95
