Model,Primary Target Quantile,Sensitivity Target Quantile,Sensitivity Threshold,Holdout High Vol Rows,Holdout High Vol Rate,Average Precision,ROC AUC,Top 20% Alerts,Top 20% Precision,Top 20% Recall,Alerts for 80% Recall,Precision at 80% Recall,Actual Recall at 80% Target,Refit Policy
Rule[SPY realized volatility 20d],0.8,0.7,0.1681455414824684,551,0.35073201782304264,0.7472381931025205,0.8128038148108607,315,0.8253968253968254,0.47186932849364793,814,0.5417690417690417,0.8003629764065335,no refit; same trained scores evaluated against alternate pre-holdout thresholds
Rule[SPY Parkinson realized volatility 20d],0.8,0.7,0.1681455414824684,551,0.35073201782304264,0.7449077958729973,0.8157396533931176,315,0.8571428571428571,0.4900181488203267,758,0.5817941952506597,0.8003629764065335,no refit; same trained scores evaluated against alternate pre-holdout thresholds
Rule[SPY Garman-Klass realized volatility 20d],0.8,0.7,0.1681455414824684,551,0.35073201782304264,0.7366552840986083,0.8076225045372051,315,0.7968253968253968,0.455535390199637,759,0.5810276679841897,0.8003629764065335,no refit; same trained scores evaluated against alternate pre-holdout thresholds
Rule[VIX close],0.8,0.7,0.1681455414824684,551,0.35073201782304264,0.7616873198043727,0.8453809472972491,315,0.8317460317460318,0.47549909255898365,701,0.6291012838801712,0.8003629764065335,no refit; same trained scores evaluated against alternate pre-holdout thresholds
Rule[VIX z-score 252d],0.8,0.7,0.1681455414824684,551,0.35073201782304264,0.6773622070052945,0.7982758620689655,315,0.7301587301587301,0.41742286751361163,774,0.5697674418604651,0.8003629764065335,no refit; same trained scores evaluated against alternate pre-holdout thresholds
Rule[VIX/realized volatility gap 20d],0.8,0.7,0.1681455414824684,551,0.35073201782304264,0.36732413119063245,0.43885093057186575,315,0.37142857142857144,0.21234119782214156,1424,0.30969101123595505,0.8003629764065335,no refit; same trained scores evaluated against alternate pre-holdout thresholds
XGBoost[Raw all-history incumbent],0.8,0.7,0.1681455414824684,551,0.35073201782304264,0.7356195118016122,0.7895857798654853,315,0.8317460317460318,0.47549909255898365,860,0.5127906976744186,0.8003629764065335,no refit; same trained scores evaluated against alternate pre-holdout thresholds
XGBoost[Raw],0.8,0.7,0.1681455414824684,551,0.35073201782304264,0.5888208151039784,0.6994413010213159,315,0.6412698412698413,0.3666061705989111,951,0.4637223974763407,0.8003629764065335,no refit; same trained scores evaluated against alternate pre-holdout thresholds
XGBoost[Raw + TabPFN embeddings],0.8,0.7,0.1681455414824684,551,0.35073201782304264,0.6397854754744541,0.715857086936408,315,0.692063492063492,0.3956442831215971,969,0.4551083591331269,0.8003629764065335,no refit; same trained scores evaluated against alternate pre-holdout thresholds
XGBoost[Raw + TabICL embeddings],0.8,0.7,0.1681455414824684,551,0.35073201782304264,0.6310627101832122,0.7248051670759048,315,0.6476190476190476,0.3702359346642468,939,0.4696485623003195,0.8003629764065335,no refit; same trained scores evaluated against alternate pre-holdout thresholds
TabPFN[Direct all-history],0.8,0.7,0.1681455414824684,551,0.35073201782304264,0.7843606474993076,0.8191212056510444,315,0.8539682539682539,0.4882032667876588,728,0.6057692307692307,0.8003629764065335,no refit; same trained scores evaluated against alternate pre-holdout thresholds
TabICL[Direct all-history],0.8,0.7,0.1681455414824684,551,0.35073201782304264,0.7244530530605998,0.7831358314650725,315,0.7714285714285715,0.44101633393829404,901,0.4894561598224195,0.8003629764065335,no refit; same trained scores evaluated against alternate pre-holdout thresholds
Rule[SPY realized volatility 20d],0.8,0.75,0.1822146664558216,484,0.30808402291534054,0.7045880214166722,0.8178814996160484,315,0.7682539682539683,0.5,691,0.5615050651230101,0.8016528925619835,no refit; same trained scores evaluated against alternate pre-holdout thresholds
Rule[SPY Parkinson realized volatility 20d],0.8,0.75,0.1822146664558216,484,0.30808402291534054,0.6994872804830818,0.8158800094277221,315,0.7968253968253968,0.518595041322314,754,0.5145888594164456,0.8016528925619835,no refit; same trained scores evaluated against alternate pre-holdout thresholds
Rule[SPY Garman-Klass realized volatility 20d],0.8,0.75,0.1822146664558216,484,0.30808402291534054,0.6941224322198886,0.8070586267458393,315,0.7428571428571429,0.4834710743801653,755,0.5139072847682119,0.8016528925619835,no refit; same trained scores evaluated against alternate pre-holdout thresholds
Rule[VIX close],0.8,0.75,0.1822146664558216,484,0.30808402291534054,0.729368902481978,0.8421597846829928,315,0.7841269841269841,0.5103305785123967,676,0.5739644970414202,0.8016528925619835,no refit; same trained scores evaluated against alternate pre-holdout thresholds
Rule[VIX z-score 252d],0.8,0.75,0.1822146664558216,484,0.30808402291534054,0.6524780599953801,0.8173873045078196,315,0.6825396825396826,0.44421487603305787,717,0.5411436541143654,0.8016528925619835,no refit; same trained scores evaluated against alternate pre-holdout thresholds
Rule[VIX/realized volatility gap 20d],0.8,0.75,0.1822146664558216,484,0.30808402291534054,0.3077284073144185,0.43272674051715615,315,0.3047619047619048,0.19834710743801653,1435,0.27038327526132405,0.8016528925619835,no refit; same trained scores evaluated against alternate pre-holdout thresholds
XGBoost[Raw all-history incumbent],0.8,0.75,0.1822146664558216,484,0.30808402291534054,0.7148991249661567,0.7953100884229094,315,0.7841269841269841,0.5103305785123967,822,0.4720194647201946,0.8016528925619835,no refit; same trained scores evaluated against alternate pre-holdout thresholds
XGBoost[Raw],0.8,0.75,0.1822146664558216,484,0.30808402291534054,0.5529348304694988,0.7193237890319099,315,0.6063492063492063,0.39462809917355374,926,0.4190064794816415,0.8016528925619835,no refit; same trained scores evaluated against alternate pre-holdout thresholds
XGBoost[Raw + TabPFN embeddings],0.8,0.75,0.1822146664558216,484,0.30808402291534054,0.6176147559616936,0.7322051746029332,315,0.6571428571428571,0.42768595041322316,935,0.41497326203208557,0.8016528925619835,no refit; same trained scores evaluated against alternate pre-holdout thresholds
XGBoost[Raw + TabICL embeddings],0.8,0.75,0.1822146664558216,484,0.30808402291534054,0.6145792496696232,0.7402016316041573,315,0.6190476190476191,0.40289256198347106,906,0.4282560706401766,0.8016528925619835,no refit; same trained scores evaluated against alternate pre-holdout thresholds
TabPFN[Direct all-history],0.8,0.75,0.1822146664558216,484,0.30808402291534054,0.7612545367740086,0.8221049670409878,315,0.8031746031746032,0.5227272727272727,680,0.5705882352941176,0.8016528925619835,no refit; same trained scores evaluated against alternate pre-holdout thresholds
TabICL[Direct all-history],0.8,0.75,0.1822146664558216,484,0.30808402291534054,0.7138085233229876,0.7969475849065211,315,0.7365079365079366,0.4793388429752066,827,0.46916565900846435,0.8016528925619835,no refit; same trained scores evaluated against alternate pre-holdout thresholds
Rule[SPY realized volatility 20d],0.8,0.8,0.200600646458928,366,0.23297262889879058,0.6014824651490764,0.80925333877514,315,0.5968253968253968,0.5136612021857924,659,0.44461305007587254,0.8005464480874317,no refit; same trained scores evaluated against alternate pre-holdout thresholds
Rule[SPY Parkinson realized volatility 20d],0.8,0.8,0.200600646458928,366,0.23297262889879058,0.6278017233190802,0.8137360270276399,315,0.6412698412698413,0.5519125683060109,699,0.41917024320457796,0.8005464480874317,no refit; same trained scores evaluated against alternate pre-holdout thresholds
Rule[SPY Garman-Klass realized volatility 20d],0.8,0.8,0.200600646458928,366,0.23297262889879058,0.6230972653715359,0.8022515475137746,315,0.6031746031746031,0.5191256830601093,754,0.3885941644562334,0.8005464480874317,no refit; same trained scores evaluated against alternate pre-holdout thresholds
Rule[VIX close],0.8,0.8,0.200600646458928,366,0.23297262889879058,0.6326031416335401,0.8324388363603383,315,0.6444444444444445,0.5546448087431693,611,0.4795417348608838,0.8005464480874317,no refit; same trained scores evaluated against alternate pre-holdout thresholds
Rule[VIX z-score 252d],0.8,0.8,0.200600646458928,366,0.23297262889879058,0.5991737949244991,0.8428383556674148,315,0.5777777777777777,0.4972677595628415,616,0.47564935064935066,0.8005464480874317,no refit; same trained scores evaluated against alternate pre-holdout thresholds
Rule[VIX/realized volatility gap 20d],0.8,0.8,0.200600646458928,366,0.23297262889879058,0.2348011834528706,0.42451307167312885,315,0.23809523809523808,0.20491803278688525,1438,0.20375521557719053,0.8005464480874317,no refit; same trained scores evaluated against alternate pre-holdout thresholds
XGBoost[Raw all-history incumbent],0.8,0.8,0.200600646458928,366,0.23297262889879058,0.6129948367240888,0.8121601705099426,315,0.6476190476190476,0.5573770491803278,701,0.41797432239657634,0.8005464480874317,no refit; same trained scores evaluated against alternate pre-holdout thresholds
XGBoost[Raw],0.8,0.8,0.200600646458928,366,0.23297262889879058,0.4559989845081834,0.7320975897331247,315,0.49523809523809526,0.4262295081967213,890,0.3292134831460674,0.8005464480874317,no refit; same trained scores evaluated against alternate pre-holdout thresholds
XGBoost[Raw + TabPFN embeddings],0.8,0.8,0.200600646458928,366,0.23297262889879058,0.5313075447156105,0.7458041403079155,315,0.5238095238095238,0.45081967213114754,833,0.3517406962785114,0.8005464480874317,no refit; same trained scores evaluated against alternate pre-holdout thresholds
XGBoost[Raw + TabICL embeddings],0.8,0.8,0.200600646458928,366,0.23297262889879058,0.5435969158265281,0.7508536834228965,315,0.5142857142857142,0.4426229508196721,850,0.3447058823529412,0.8005464480874317,no refit; same trained scores evaluated against alternate pre-holdout thresholds
TabPFN[Direct all-history],0.8,0.8,0.200600646458928,366,0.23297262889879058,0.6635733606425451,0.83015214384509,315,0.6698412698412698,0.5765027322404371,614,0.4771986970684039,0.8005464480874317,no refit; same trained scores evaluated against alternate pre-holdout thresholds
TabICL[Direct all-history],0.8,0.8,0.200600646458928,366,0.23297262889879058,0.6270072532356344,0.8103314967235788,315,0.6126984126984127,0.5273224043715847,742,0.3948787061994609,0.8005464480874317,no refit; same trained scores evaluated against alternate pre-holdout thresholds
Rule[SPY realized volatility 20d],0.8,0.85,0.2228690071382831,267,0.16995544239338,0.5664055815967481,0.8522896992256612,315,0.5111111111111111,0.602996254681648,478,0.4476987447698745,0.8014981273408239,no refit; same trained scores evaluated against alternate pre-holdout thresholds
Rule[SPY Parkinson realized volatility 20d],0.8,0.85,0.2228690071382831,267,0.16995544239338,0.6174556251911446,0.8566841295007007,315,0.5619047619047619,0.6629213483146067,521,0.4107485604606526,0.8014981273408239,no refit; same trained scores evaluated against alternate pre-holdout thresholds
Rule[SPY Garman-Klass realized volatility 20d],0.8,0.85,0.2228690071382831,267,0.16995544239338,0.613170064758359,0.8446899198088278,315,0.5365079365079365,0.6329588014981273,570,0.37543859649122807,0.8014981273408239,no refit; same trained scores evaluated against alternate pre-holdout thresholds
Rule[VIX close],0.8,0.85,0.2228690071382831,267,0.16995544239338,0.5867520086165552,0.8530292847131269,315,0.5396825396825397,0.6367041198501873,524,0.4083969465648855,0.8014981273408239,no refit; same trained scores evaluated against alternate pre-holdout thresholds
Rule[VIX z-score 252d],0.8,0.85,0.2228690071382831,267,0.16995544239338,0.5485596415134537,0.8664581466418511,315,0.4793650793650794,0.5655430711610487,525,0.4076190476190476,0.8014981273408239,no refit; same trained scores evaluated against alternate pre-holdout thresholds
Rule[VIX/realized volatility gap 20d],0.8,0.85,0.2228690071382831,267,0.16995544239338,0.15765894523588292,0.38075584200730683,315,0.1365079365079365,0.16104868913857678,1458,0.1467764060356653,0.8014981273408239,no refit; same trained scores evaluated against alternate pre-holdout thresholds
XGBoost[Raw all-history incumbent],0.8,0.85,0.2228690071382831,267,0.16995544239338,0.5876160177226151,0.8598334711978126,315,0.5746031746031746,0.6779026217228464,506,0.42292490118577075,0.8014981273408239,no refit; same trained scores evaluated against alternate pre-holdout thresholds
XGBoost[Raw],0.8,0.85,0.2228690071382831,267,0.16995544239338,0.4085378662660654,0.7790692998782198,315,0.4380952380952381,0.5168539325842697,788,0.2715736040609137,0.8014981273408239,no refit; same trained scores evaluated against alternate pre-holdout thresholds
XGBoost[Raw + TabPFN embeddings],0.8,0.85,0.2228690071382831,267,0.16995544239338,0.47501157150118595,0.7696830265848671,315,0.4634920634920635,0.5468164794007491,711,0.3009845288326301,0.8014981273408239,no refit; same trained scores evaluated against alternate pre-holdout thresholds
XGBoost[Raw + TabICL embeddings],0.8,0.85,0.2228690071382831,267,0.16995544239338,0.5182961720609641,0.7924191769490591,315,0.45396825396825397,0.5355805243445693,721,0.29680998613037446,0.8014981273408239,no refit; same trained scores evaluated against alternate pre-holdout thresholds
TabPFN[Direct all-history],0.8,0.85,0.2228690071382831,267,0.16995544239338,0.6468719748793194,0.874520346499391,315,0.5873015873015873,0.6928838951310862,395,0.5417721518987342,0.8014981273408239,no refit; same trained scores evaluated against alternate pre-holdout thresholds
TabICL[Direct all-history],0.8,0.85,0.2228690071382831,267,0.16995544239338,0.6138787246246279,0.8505549045288482,315,0.546031746031746,0.6441947565543071,546,0.39194139194139194,0.8014981273408239,no refit; same trained scores evaluated against alternate pre-holdout thresholds
Rule[SPY realized volatility 20d],0.8,0.9,0.2745066089938816,157,0.09993634627625717,0.45241233961480687,0.8605573023180388,315,0.30158730158730157,0.6050955414012739,437,0.28832951945080093,0.802547770700637,no refit; same trained scores evaluated against alternate pre-holdout thresholds
