Model,Evaluation Window,bin,rows,high_vol_rows,score_min,score_max,mean_score,observed_high_vol_rate,abs_calibration_error
Dummy[Prior probability],holdout,1,158,67,0.20323587851263128,0.20323587851263128,0.2032358785126314,0.4240506329113924,0.220814754398761
Dummy[Prior probability],holdout,2,157,34,0.20323587851263128,0.20323587851263128,0.20323587851263136,0.21656050955414013,0.013324631041508772
Dummy[Prior probability],holdout,3,157,3,0.20323587851263128,0.20323587851263128,0.20323587851263136,0.01910828025477707,0.1841275982578543
Dummy[Prior probability],holdout,4,157,88,0.20323587851263128,0.20323587851263128,0.20323587851263136,0.5605095541401274,0.357273675627496
Dummy[Prior probability],holdout,5,157,90,0.20323587851263128,0.20323587851263128,0.20323587851263136,0.5732484076433121,0.3700125291306807
Dummy[Prior probability],holdout,6,157,0,0.20323587851263128,0.20323587851263128,0.20323587851263136,0.0,0.20323587851263136
Dummy[Prior probability],holdout,7,157,0,0.20323587851263128,0.20323587851263128,0.20323587851263136,0.0,0.20323587851263136
Dummy[Prior probability],holdout,8,157,14,0.20323587851263128,0.20323587851263128,0.20323587851263136,0.08917197452229299,0.11406390399033838
Dummy[Prior probability],holdout,9,157,38,0.20323587851263128,0.20323587851263128,0.20323587851263136,0.24203821656050956,0.03880233804787819
Dummy[Prior probability],holdout,10,157,32,0.20323587851263128,0.20323587851263128,0.20323587851263136,0.20382165605095542,0.0005857775383240615
XGBoost[Raw all-history incumbent],holdout,1,158,6,0.012597421184182167,0.03688875958323479,0.028889176948585466,0.0379746835443038,0.009085506595718332
XGBoost[Raw all-history incumbent],holdout,2,157,16,0.03700806200504303,0.05414898321032524,0.0448553196041827,0.10191082802547771,0.05705550842129501
XGBoost[Raw all-history incumbent],holdout,3,157,9,0.05417070910334587,0.08109991252422333,0.06695990012899326,0.05732484076433121,0.009635059364662052
XGBoost[Raw all-history incumbent],holdout,4,157,15,0.08123917877674103,0.10029290616512299,0.09040651517878671,0.09554140127388536,0.0051348860950986425
XGBoost[Raw all-history incumbent],holdout,5,157,15,0.10040365159511566,0.11971625685691833,0.10962376530003395,0.09554140127388536,0.014082364026148597
XGBoost[Raw all-history incumbent],holdout,6,157,25,0.12023048847913742,0.14882852137088776,0.13385859743994513,0.1592356687898089,0.025377071349863778
XGBoost[Raw all-history incumbent],holdout,7,157,34,0.14914408326148987,0.20914454758167267,0.17460887608634437,0.21656050955414013,0.04195163346779576
XGBoost[Raw all-history incumbent],holdout,8,157,43,0.20918850600719452,0.29531538486480713,0.24496492496721303,0.27388535031847133,0.0289204253512583
XGBoost[Raw all-history incumbent],holdout,9,157,86,0.29544714093208313,0.5969365835189819,0.41341731958328537,0.5477707006369427,0.1343533810536573
XGBoost[Raw all-history incumbent],holdout,10,157,117,0.605059027671814,0.948327362537384,0.786773330087115,0.7452229299363057,0.04155040015080935
