Model,Base Model,Family,Feature Set,Embedding Source,Calibration,Evaluation Window,Rows,High Vol Rate,Score Type,Average Precision,ROC AUC,Brier Score,Log Loss,ECE Quantile 10,Top 10% Alerts,Top 10% Precision,Top 10% Recall,Top 20% Alerts,Top 20% Precision,Top 20% Recall,Alerts for 80% Recall,Precision at 80% Recall,Actual Recall at 80% Target,CV/Validation Average Precision,Shared Feature Prep Seconds,Fit Seconds,Calibration Seconds,Predict Seconds,Total Seconds,Workflow Seconds,Timing Notes,Best Params,Error
Rule[VIX z-score 252d],Rule,domain_rule,vix_zscore_252d,none,none,calibration,503,0.22266401590457258,raw_score,0.46202578071757716,0.7464833759590793,,,,51,0.45098039215686275,0.20535714285714285,101,0.5544554455445545,0.5,233,0.38626609442060084,0.8035714285714286,,0.0,0.0,0.0,0.0,0.0,0.0,deterministic domain-rule score; not a probability,,
XGBoost[Raw all-history incumbent] Calibration Base,XGBoost,classical_incumbent_calibration_base,Raw all-history incumbent,none,none_calibration_base,calibration,503,0.22266401590457258,probability,0.4177810628028046,0.7094674826452321,0.19917599968621874,0.7645729786155108,0.18258673186223237,51,0.47058823529411764,0.21428571428571427,101,0.49504950495049505,0.44642857142857145,270,0.3333333333333333,0.8035714285714286,0.6313742655190774,0.0,1611.1298367120003,0.0,0.009939626999994289,1611.1397763390003,1611.1397763390003,raw all-history incumbent uses all pre-holdout raw labels available to the classical workflow; base model excludes calibration-window labels,"{""colsample_bylevel"": 0.9638761415976065, ""colsample_bytree"": 0.9971993024555394, ""gamma"": 0.0001105023452335592, ""learning_rate"": 0.015842748813287347, ""max_bin"": 817, ""max_delta_step"": 1, ""max_depth"": 7, ""min_child_weight"": 48.7503043944788, ""n_estimators"": 402, ""reg_alpha"": 5.138446923504145, ""reg_lambda"": 0.27533096962597137, ""scale_pos_weight"": 1.0, ""subsample"": 0.7916384903020361}",
XGBoost[Raw all-history incumbent] Calibrated,XGBoost,classical_incumbent_calibrated,Raw all-history incumbent,none,sigmoid,calibration,503,0.22266401590457258,probability,0.4177810628028046,0.7094674826452321,0.1666666080717152,0.5130468929798425,0.11384018280845624,51,0.47058823529411764,0.21428571428571427,101,0.49504950495049505,0.44642857142857145,270,0.3333333333333333,0.8035714285714286,0.6313742655190774,0.0,1611.1298367120003,0.03115442799980883,0.004326531500055353,1611.1653176715001,1611.1653176715001,raw all-history incumbent uses all pre-holdout raw labels available to the classical workflow; sigmoid calibration fitted on calibration window,"{""colsample_bylevel"": 0.9638761415976065, ""colsample_bytree"": 0.9971993024555394, ""gamma"": 0.0001105023452335592, ""learning_rate"": 0.015842748813287347, ""max_bin"": 817, ""max_delta_step"": 1, ""max_depth"": 7, ""min_child_weight"": 48.7503043944788, ""n_estimators"": 402, ""reg_alpha"": 5.138446923504145, ""reg_lambda"": 0.27533096962597137, ""scale_pos_weight"": 1.0, ""subsample"": 0.7916384903020361}",
Rule[VIX close],Rule,domain_rule,vix_close,none,none,calibration,503,0.22266401590457258,raw_score,0.3921756666260079,0.6403452685421994,,,,51,0.5098039215686274,0.23214285714285715,101,0.4158415841584158,0.375,398,0.22613065326633167,0.8035714285714286,,0.0,0.0,0.0,0.0,0.0,0.0,deterministic domain-rule score; not a probability,,
TabPFN[Direct all-history] Calibration Base,TabPFN,direct_tfm_calibration_base,Raw all-history direct TFM context,TabPFN,none_calibration_base,calibration,503,0.22266401590457258,probability,0.3575732441972244,0.648303343076361,0.1928178111436634,0.6786981392126783,0.16338754151151638,51,0.37254901960784315,0.16964285714285715,101,0.4158415841584158,0.375,371,0.24258760107816713,0.8035714285714286,,0.0,8.305410435999875,0.0,36.462216192500364,44.76762662850024,44.76762662850024,direct TFM base context excludes calibration-window labels,,
TabICL[Direct all-history] Calibration Base,TabICL,direct_tfm_calibration_base,Raw all-history direct TFM context,TabICL,none_calibration_base,calibration,503,0.22266401590457258,probability,0.31938703221375014,0.5849241870661308,0.18622411950774864,0.6521882404990206,0.12874616496473235,51,0.47058823529411764,0.21428571428571427,101,0.4158415841584158,0.375,412,0.21844660194174756,0.8035714285714286,,0.0,3.825349605000156,0.0,18.531539414000235,22.35688901900039,22.35688901900039,direct TFM base context excludes calibration-window labels,,
Rule[SPY Parkinson realized volatility 20d],Rule,domain_rule,spy_parkinson_rv_20d,none,none,calibration,503,0.22266401590457258,raw_score,0.2958223095144873,0.5990363536719036,,,,51,0.29411764705882354,0.13392857142857142,101,0.36633663366336633,0.33035714285714285,409,0.2200488997555012,0.8035714285714286,,0.0,0.0,0.0,0.0,0.0,0.0,deterministic domain-rule score; not a probability,,
Rule[SPY Garman-Klass realized volatility 20d],Rule,domain_rule,spy_garman_klass_rv_20d,none,none,calibration,503,0.22266401590457258,raw_score,0.29461235447456363,0.5869336865180855,,,,51,0.37254901960784315,0.16964285714285715,101,0.3564356435643564,0.32142857142857145,409,0.2200488997555012,0.8035714285714286,,0.0,0.0,0.0,0.0,0.0,0.0,deterministic domain-rule score; not a probability,,
XGBoost[Raw + TabPFN embeddings] Calibration Base,XGBoost,classical_calibration_base,Raw + TabPFN embeddings,TabPFN,none_calibration_base,calibration,503,0.22266401590457258,probability,0.2943878849123399,0.49584398976982097,0.21302585484775918,1.0570244857704452,0.20175822317566924,51,0.47058823529411764,0.21428571428571427,101,0.3564356435643564,0.32142857142857145,468,0.19230769230769232,0.8035714285714286,0.5071438254130493,101.28040664399998,528.4156924630001,0.0,0.042273774499790306,528.4579662374999,629.7383728814999,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; base model excludes calibration-window labels,"{""colsample_bylevel"": 0.6557066546956472, ""colsample_bytree"": 0.9887307907418297, ""gamma"": 0.00011271497507587927, ""learning_rate"": 0.003224196768428403, ""max_bin"": 601, ""max_delta_step"": 10, ""max_depth"": 8, ""min_child_weight"": 0.5468685745058192, ""n_estimators"": 1677, ""reg_alpha"": 0.01088833676458495, ""reg_lambda"": 1.0338227526235808, ""scale_pos_weight"": 2.750628554859509, ""subsample"": 0.9771155792161237}",
XGBoost[Raw + TabPFN embeddings] Calibrated,XGBoost,classical_calibrated,Raw + TabPFN embeddings,TabPFN,sigmoid,calibration,503,0.22266401590457258,probability,0.2943878849123399,0.49584398976982097,0.17229432520253954,0.5276764431305618,0.13552696604233547,51,0.47058823529411764,0.21428571428571427,101,0.3564356435643564,0.32142857142857145,468,0.19230769230769232,0.8035714285714286,0.5071438254130493,101.28040664399998,528.4156924630001,0.05141845399975864,0.011089319499888006,528.4782002364998,629.7586068804998,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; sigmoid calibration fitted on calibration window,"{""colsample_bylevel"": 0.6557066546956472, ""colsample_bytree"": 0.9887307907418297, ""gamma"": 0.00011271497507587927, ""learning_rate"": 0.003224196768428403, ""max_bin"": 601, ""max_delta_step"": 10, ""max_depth"": 8, ""min_child_weight"": 0.5468685745058192, ""n_estimators"": 1677, ""reg_alpha"": 0.01088833676458495, ""reg_lambda"": 1.0338227526235808, ""scale_pos_weight"": 2.750628554859509, ""subsample"": 0.9771155792161237}",
