Model,Evaluation Window,months,mean_spearman_ic,median_spearman_ic,mean_top_k_hit_rate,mean_selected_forward_return,mean_universe_forward_return,mean_active_forward_return
TabPFN[Direct allocation scorer] Calibration Base,calibration,24,0.10416666666666667,0.2583333333333333,0.4305555555555555,0.006012142239158781,0.0064736203369988475,-0.00046147809784006605
Rule[Low volatility top-k],calibration,24,-0.13819444444444443,-0.26666666666666666,0.19444444444444442,0.005701925751610776,0.0064736203369988475,-0.0007716945853880709
TabICL[Direct allocation scorer] Calibration Base,calibration,24,0.12650535806963523,0.21666666666666667,0.4166666666666667,0.005248678490036845,0.0064736203369988475,-0.0012249418469620025
XGBoost[GPU allocation scorer] Calibrated,calibration,24,0.05416666666666666,0.04166666666666666,0.34722222222222215,0.0036189424861526147,0.0064736203369988475,-0.0028546778508462324
XGBoost[GPU allocation scorer] Calibration Base,calibration,24,0.05416666666666666,0.04166666666666666,0.34722222222222215,0.0036189424861526147,0.0064736203369988475,-0.0028546778508462324
Rule[Risk-adjusted momentum top-k],calibration,24,-0.1909722222222222,-0.2583333333333333,0.2638888888888889,0.0010227986430453694,0.0064736203369988475,-0.005450821693953479
Rule[12M momentum top-k],calibration,24,-0.13958333333333334,-0.15833333333333333,0.2916666666666667,0.0010107103747761317,0.0064736203369988475,-0.005462909962222716
Rule[6M momentum top-k],calibration,24,-0.18333333333333332,-0.24166666666666664,0.27777777777777773,-0.0026102330494885803,0.0064736203369988475,-0.009083853386487428
XGBoost[GPU allocation scorer] Calibrated,holdout,75,0.08022222222222224,0.09999999999999999,0.43555555555555553,0.01194696768225287,0.007758542603216837,0.004188425079036034
XGBoost[GPU allocation scorer] Calibration Base,holdout,75,0.08022222222222224,0.09999999999999999,0.43555555555555553,0.01194696768225287,0.007758542603216837,0.004188425079036034
TabPFN[Direct allocation scorer],holdout,75,0.10149708851414178,0.15,0.41333333333333333,0.011139264750704713,0.007758542603216837,0.0033807221474878766
Rule[12M momentum top-k],holdout,75,0.10644444444444444,0.09999999999999999,0.40888888888888886,0.011042800518678297,0.007758542603216837,0.0032842579154614597
TabICL[Direct allocation scorer],holdout,75,0.08913906371449022,0.13333333333333333,0.39555555555555555,0.010426907594617573,0.007758542603216837,0.002668364991400735
TabPFN[Direct allocation scorer] Calibration Base,holdout,75,0.076,0.11666666666666665,0.39555555555555555,0.010338548519879228,0.007758542603216837,0.0025800059166623916
Rule[Risk-adjusted momentum top-k],holdout,75,0.05355555555555556,0.09999999999999999,0.37777777777777777,0.010186488221332193,0.007758542603216837,0.0024279456181153557
Rule[6M momentum top-k],holdout,75,0.07733333333333334,0.08333333333333334,0.39555555555555555,0.009890621808362074,0.007758542603216837,0.0021320792051452374
Dummy[Preholdout prior probability],holdout,75,,,0.3244444444444444,0.009148663126218948,0.007758542603216837,0.0013901205230021107
XGBoost[GPU allocation scorer],holdout,75,0.06533333333333334,0.08333333333333334,0.37333333333333335,0.008708041701859204,0.007758542603216837,0.0009494990986423668
TabICL[Direct allocation scorer] Calibration Base,holdout,75,0.06458117877531973,0.06666666666666667,0.3822222222222222,0.008453347700763933,0.007758542603216837,0.000694805097547095
Rule[Low volatility top-k],holdout,75,-0.10644444444444444,-0.19999999999999998,0.28888888888888886,0.004283239092811878,0.007758542603216837,-0.003475303510404958
