                                            Model Evaluation Window  months  mean_spearman_ic  median_spearman_ic  mean_top_k_hit_rate  mean_selected_forward_return  mean_universe_forward_return  mean_active_forward_return
TabPFN[Direct allocation scorer] Calibration Base       calibration      24          0.104167            0.258333             0.430556                      0.006012                      0.006474                   -0.000461
                       Rule[Low volatility top-k]       calibration      24         -0.138194           -0.266667             0.194444                      0.005702                      0.006474                   -0.000772
TabICL[Direct allocation scorer] Calibration Base       calibration      24          0.126505            0.216667             0.416667                      0.005249                      0.006474                   -0.001225
        XGBoost[GPU allocation scorer] Calibrated       calibration      24          0.054167            0.041667             0.347222                      0.003619                      0.006474                   -0.002855
  XGBoost[GPU allocation scorer] Calibration Base       calibration      24          0.054167            0.041667             0.347222                      0.003619                      0.006474                   -0.002855
               Rule[Risk-adjusted momentum top-k]       calibration      24         -0.190972           -0.258333             0.263889                      0.001023                      0.006474                   -0.005451
                         Rule[12M momentum top-k]       calibration      24         -0.139583           -0.158333             0.291667                      0.001011                      0.006474                   -0.005463
                          Rule[6M momentum top-k]       calibration      24         -0.183333           -0.241667             0.277778                     -0.002610                      0.006474                   -0.009084
        XGBoost[GPU allocation scorer] Calibrated           holdout      75          0.080222            0.100000             0.435556                      0.011947                      0.007759                    0.004188
  XGBoost[GPU allocation scorer] Calibration Base           holdout      75          0.080222            0.100000             0.435556                      0.011947                      0.007759                    0.004188
                 TabPFN[Direct allocation scorer]           holdout      75          0.101497            0.150000             0.413333                      0.011139                      0.007759                    0.003381
                         Rule[12M momentum top-k]           holdout      75          0.106444            0.100000             0.408889                      0.011043                      0.007759                    0.003284
                 TabICL[Direct allocation scorer]           holdout      75          0.089139            0.133333             0.395556                      0.010427                      0.007759                    0.002668
TabPFN[Direct allocation scorer] Calibration Base           holdout      75          0.076000            0.116667             0.395556                      0.010339                      0.007759                    0.002580
               Rule[Risk-adjusted momentum top-k]           holdout      75          0.053556            0.100000             0.377778                      0.010186                      0.007759                    0.002428
                          Rule[6M momentum top-k]           holdout      75          0.077333            0.083333             0.395556                      0.009891                      0.007759                    0.002132
              Dummy[Preholdout prior probability]           holdout      75               NaN                 NaN             0.324444                      0.009149                      0.007759                    0.001390
                   XGBoost[GPU allocation scorer]           holdout      75          0.065333            0.083333             0.373333                      0.008708                      0.007759                    0.000949
TabICL[Direct allocation scorer] Calibration Base           holdout      75          0.064581            0.066667             0.382222                      0.008453                      0.007759                    0.000695
                       Rule[Low volatility top-k]           holdout      75         -0.106444           -0.200000             0.288889                      0.004283                      0.007759                   -0.003475
