Model,Base Model,Family,Calibration,Evaluation Window,Rows,Positive Rows,Positive Rate,Score Type,Average Precision,ROC AUC,Brier Score,Log Loss,ECE Quantile 10,Fit Seconds,Predict Seconds,Calibration Seconds,Workflow Seconds,CV/Validation Average Precision,Best Params,Timing Notes
TabICL[Direct allocation scorer] Calibration Base,TabICL,direct_tfm_calibration_base,none_calibration_base,calibration,216,72,0.3333333333333333,probability,0.4769894469656415,0.607397762345679,0.2162827077026861,0.62935327378889,0.10835164416305444,2.2952814350001063,5.4097848095000245,0.0,7.705066244500131,,,direct TFM context excludes calibration-window labels
TabPFN[Direct allocation scorer] Calibration Base,TabPFN,direct_tfm_calibration_base,none_calibration_base,calibration,216,72,0.3333333333333333,probability,0.45466547452851513,0.5844907407407407,0.2190686126158098,0.635550870706799,0.10341979249346034,4.1306131229998755,8.81131161799999,0.0,12.941924740999866,,,direct TFM context excludes calibration-window labels
XGBoost[GPU allocation scorer] Calibration Base,XGBoost,gpu_boosted_tree_calibration_base,none_calibration_base,calibration,216,72,0.3333333333333333,probability,0.42191885697073384,0.5721450617283951,0.21913327900579635,0.6296405550818522,0.07268701886965168,2352.967951167,0.010937930499949289,0.0,2352.9788890975,0.3908359549827347,"{""colsample_bylevel"": 0.898779550318594, ""colsample_bytree"": 0.6206990774079656, ""gamma"": 0.007385090368851138, ""learning_rate"": 0.0031500399305676055, ""max_bin"": 401, ""max_delta_step"": 1, ""max_depth"": 7, ""min_child_weight"": 66.37817026991432, ""n_estimators"": 565, ""reg_alpha"": 0.0011006216488059052, ""reg_lambda"": 13.046868713270499, ""scale_pos_weight"": 1.0, ""subsample"": 0.9786918871174227}",base model excludes calibration-window labels
XGBoost[GPU allocation scorer] Calibrated,XGBoost,gpu_boosted_tree_calibrated,sigmoid,calibration,216,72,0.3333333333333333,probability,0.42191885697073384,0.5721450617283951,0.21899970375669592,0.6293686756596986,0.07382187983396925,2352.967951167,0.0037780855000164593,0.024711616999866237,2352.9964408695,0.3908359549827347,"{""colsample_bylevel"": 0.898779550318594, ""colsample_bytree"": 0.6206990774079656, ""gamma"": 0.007385090368851138, ""learning_rate"": 0.0031500399305676055, ""max_bin"": 401, ""max_delta_step"": 1, ""max_depth"": 7, ""min_child_weight"": 66.37817026991432, ""n_estimators"": 565, ""reg_alpha"": 0.0011006216488059052, ""reg_lambda"": 13.046868713270499, ""scale_pos_weight"": 1.0, ""subsample"": 0.9786918871174227}",sigmoid calibration fitted on calibration window
Rule[12M momentum top-k],Rule,deterministic_rule,none,calibration,216,72,0.3333333333333333,raw_score,0.31960553030600136,0.4736689814814814,,,,0.0,0.0,0.0,0.0,,,deterministic rule score; not a calibrated probability
Rule[6M momentum top-k],Rule,deterministic_rule,none,calibration,216,72,0.3333333333333333,raw_score,0.3094981233686017,0.40625,,,,0.0,0.0,0.0,0.0,,,deterministic rule score; not a calibrated probability
Rule[Low volatility top-k],Rule,deterministic_rule,none,calibration,216,72,0.3333333333333333,raw_score,0.3066296059624292,0.3715277777777778,,,,0.0,0.0,0.0,0.0,,,deterministic rule score; not a calibrated probability
Rule[Risk-adjusted momentum top-k],Rule,deterministic_rule,none,calibration,216,72,0.3333333333333333,raw_score,0.2808594346873533,0.40354938271604934,,,,0.0,0.0,0.0,0.0,,,deterministic rule score; not a calibrated probability
TabPFN[Direct allocation scorer],TabPFN,direct_tfm,none,holdout,675,225,0.3333333333333333,probability,0.40913209061209954,0.5792691358024691,0.21914986494922783,0.6307566183742623,0.051461007418455905,12.603314469999987,12.218182211999647,0.0,24.821496681999633,,,direct TFM classifier fitted on all pre-holdout rows; no task-specific weight training claim is made
TabICL[Direct allocation scorer],TabICL,direct_tfm,none,holdout,675,225,0.3333333333333333,probability,0.40887721323460785,0.5643308641975309,0.21928389264512926,0.6307341309356586,0.05296560708019469,5.8963805939997656,6.89970872899994,0.0,12.796089322999705,,,direct TFM classifier fitted on all pre-holdout rows; no task-specific weight training claim is made
TabICL[Direct allocation scorer] Calibration Base,TabICL,direct_tfm_calibration_base,none_calibration_base,holdout,675,225,0.3333333333333333,probability,0.4041775803437903,0.5640197530864197,0.22051027901609954,0.6346128403620392,0.059393395461418,2.2952814350001063,5.4097848095000245,0.0,7.705066244500131,,,direct TFM context excludes calibration-window labels
Rule[12M momentum top-k],Rule,deterministic_rule,none,holdout,675,225,0.3333333333333333,raw_score,0.39473640672693694,0.5603753086419754,,,,0.0,0.0,0.0,0.0,,,deterministic rule score; not a calibrated probability
