feature,missing_rate_selection,non_null_selection,n_unique_selection
market_high_yield_oas,1.0,0,0
market_high_yield_oas_change_21d,1.0,0,0
market_high_yield_oas_zscore_252d,1.0,0,0
market_investment_grade_oas,1.0,0,0
market_investment_grade_oas_change_21d,1.0,0,0
market_investment_grade_oas_zscore_252d,1.0,0,0
market_hyg_return_252d,0.2693208430913349,936,117
market_hyg_drawdown_252d,0.2693208430913349,936,101
market_hyg_ma_distance_200d,0.2505854800936768,960,120
market_hyg_drawdown_126d,0.23185011709601874,984,105
market_hyg_rv_126d,0.23185011709601874,984,123
market_hyg_return_126d,0.23185011709601874,984,123
market_hyg_ma_distance_126d,0.23185011709601874,984,123
market_hyg_beta_to_spy_126d,0.23185011709601874,984,123
market_hyg_drawdown_63d,0.21311475409836064,1008,106
market_hyg_return_63d,0.21311475409836064,1008,126
market_hyg_volume_zscore_63d,0.21311475409836064,1008,126
market_hyg_rv_63d,0.21311475409836064,1008,126
market_hyg_ma_distance_63d,0.21311475409836064,1008,126
market_hyg_rv_21d,0.20062451209992194,1024,128
market_hyg_return_21d,0.20062451209992194,1024,128
market_ief_return_252d,0.17798594847775176,1053,132
market_tlt_return_252d,0.17798594847775176,1053,132
market_spy_return_252d,0.17798594847775176,1053,132
market_spy_drawdown_252d,0.17798594847775176,1053,123
market_vnq_drawdown_252d,0.17798594847775176,1053,121
market_ief_drawdown_252d,0.17798594847775176,1053,122
market_gld_return_252d,0.17798594847775176,1053,132
market_gld_drawdown_252d,0.17798594847775176,1053,127
market_eem_drawdown_252d,0.17798594847775176,1053,128
market_vnq_return_252d,0.17798594847775176,1053,132
market_iwm_drawdown_252d,0.17798594847775176,1053,125
market_iwm_return_252d,0.17798594847775176,1053,132
market_eem_return_252d,0.17798594847775176,1053,132
market_tlt_drawdown_252d,0.17798594847775176,1053,125
market_qqq_drawdown_252d,0.17798594847775176,1053,117
market_qqq_return_252d,0.17798594847775176,1053,132
market_eem_ma_distance_200d,0.16159250585480095,1074,135
market_gld_ma_distance_200d,0.16159250585480095,1074,135
market_qqq_ma_distance_200d,0.16159250585480095,1074,135
market_tlt_ma_distance_200d,0.16159250585480095,1074,135
market_iwm_ma_distance_200d,0.16159250585480095,1074,135
market_vnq_ma_distance_200d,0.16159250585480095,1074,135
market_ief_ma_distance_200d,0.16159250585480095,1074,135
market_spy_ma_distance_200d,0.16159250585480095,1074,135
market_spy_downside_rv_126d,0.1451990632318501,1095,138
market_spy_return_126d,0.1451990632318501,1095,138
market_tlt_beta_to_spy_126d,0.1451990632318501,1095,138
market_ief_beta_to_spy_126d,0.1451990632318501,1095,138
market_eem_ma_distance_126d,0.1451990632318501,1095,138
market_eem_downside_rv_126d,0.1451990632318501,1095,138
market_eem_return_126d,0.1451990632318501,1095,138
market_spy_drawdown_126d,0.1451990632318501,1095,128
market_spy_ma_distance_126d,0.1451990632318501,1095,138
market_vnq_return_126d,0.1451990632318501,1095,138
market_iwm_rv_126d,0.1451990632318501,1095,138
market_iwm_ma_distance_126d,0.1451990632318501,1095,138
market_tlt_downside_rv_126d,0.1451990632318501,1095,138
market_ief_ma_distance_126d,0.1451990632318501,1095,138
market_ief_downside_rv_126d,0.1451990632318501,1095,138
market_gld_rv_126d,0.1451990632318501,1095,138
market_gld_downside_rv_126d,0.1451990632318501,1095,138
market_gld_drawdown_126d,0.1451990632318501,1095,130
market_gld_ma_distance_126d,0.1451990632318501,1095,138
market_eem_rv_126d,0.1451990632318501,1095,138
market_eem_beta_to_spy_126d,0.1451990632318501,1095,138
market_gld_beta_to_spy_126d,0.1451990632318501,1095,138
market_eem_drawdown_126d,0.1451990632318501,1095,129
market_vnq_drawdown_126d,0.1451990632318501,1095,123
market_vnq_rv_126d,0.1451990632318501,1095,138
market_vnq_ma_distance_126d,0.1451990632318501,1095,138
market_qqq_beta_to_spy_126d,0.1451990632318501,1095,138
market_vnq_beta_to_spy_126d,0.1451990632318501,1095,138
market_spy_rv_126d,0.1451990632318501,1095,138
market_qqq_rv_126d,0.1451990632318501,1095,138
market_iwm_return_126d,0.1451990632318501,1095,138
market_qqq_downside_rv_126d,0.1451990632318501,1095,138
market_qqq_return_126d,0.1451990632318501,1095,138
market_qqq_drawdown_126d,0.1451990632318501,1095,120
market_qqq_ma_distance_126d,0.1451990632318501,1095,138
market_tlt_drawdown_126d,0.1451990632318501,1095,124
market_ief_return_126d,0.1451990632318501,1095,138
market_tlt_ma_distance_126d,0.1451990632318501,1095,138
market_tlt_rv_126d,0.1451990632318501,1095,138
market_iwm_drawdown_126d,0.1451990632318501,1095,131
market_tlt_return_126d,0.1451990632318501,1095,138
market_iwm_downside_rv_126d,0.1451990632318501,1095,138
market_iwm_beta_to_spy_126d,0.1451990632318501,1095,138
market_vnq_downside_rv_126d,0.1451990632318501,1095,138
market_ief_drawdown_126d,0.1451990632318501,1095,122
market_ief_rv_126d,0.1451990632318501,1095,138
market_gld_return_126d,0.1451990632318501,1095,138
market_hyg_downside_rv_126d,0.13817330210772832,1104,130
market_spy_ma_distance_63d,0.1288056206088993,1116,141
market_spy_rv_63d,0.1288056206088993,1116,141
market_vnq_drawdown_63d,0.1288056206088993,1116,124
market_eem_rv_63d,0.1288056206088993,1116,141
market_eem_volume_zscore_63d,0.1288056206088993,1116,141
market_spy_downside_rv_63d,0.1288056206088993,1116,141
market_vnq_ma_distance_63d,0.1288056206088993,1116,141
market_spy_volume_zscore_63d,0.1288056206088993,1116,141
market_spy_drawdown_63d,0.1288056206088993,1116,129
market_spy_return_63d,0.1288056206088993,1116,141
market_gld_volume_zscore_63d,0.1288056206088993,1116,141
market_gld_drawdown_63d,0.1288056206088993,1116,127
market_ief_volume_zscore_63d,0.1288056206088993,1116,141
market_gld_return_63d,0.1288056206088993,1116,141
market_ief_rv_63d,0.1288056206088993,1116,141
market_ief_downside_rv_63d,0.1288056206088993,1116,141
