date,asset,target_top_k_next_1m,forward_1m_return,forward_1m_excess_return,forward_1m_rank,universe_forward_1m_return,asset_month_return,asset_risk_bucket,asset_is_spy,asset_is_qqq,asset_is_iwm,asset_is_tlt,asset_is_ief,asset_is_gld,asset_is_hyg,asset_is_eem,asset_is_vnq,asset_group_commodity,asset_group_credit,asset_group_equity_em,asset_group_equity_us,asset_group_rates,asset_group_real_estate,asset_return_21d,asset_return_63d,asset_return_126d,asset_return_252d,asset_rv_21d,asset_rv_63d,asset_rv_126d,asset_downside_rv_63d,asset_drawdown_126d,asset_drawdown_252d,asset_ma_distance_126d,asset_volume_zscore_63d,asset_beta_to_spy_126d,market_qqq_return_21d,market_qqq_return_63d,market_qqq_return_126d,market_qqq_return_252d,market_qqq_rv_21d,market_qqq_downside_rv_21d,market_qqq_rv_63d,market_qqq_downside_rv_63d,market_qqq_rv_126d,market_qqq_downside_rv_126d,market_qqq_drawdown_63d,market_qqq_drawdown_126d,market_qqq_drawdown_252d,market_qqq_ma_distance_63d,market_qqq_ma_distance_126d,market_qqq_ma_distance_200d,market_qqq_volume_zscore_63d,market_iwm_return_21d,market_iwm_return_63d,market_iwm_return_126d,market_iwm_return_252d,market_iwm_rv_21d,market_iwm_downside_rv_21d,market_iwm_rv_63d,market_iwm_downside_rv_63d,market_iwm_rv_126d,market_iwm_downside_rv_126d,market_iwm_drawdown_63d,market_iwm_drawdown_126d,market_iwm_drawdown_252d,market_iwm_ma_distance_63d,market_iwm_ma_distance_126d,market_iwm_ma_distance_200d,market_iwm_volume_zscore_63d,market_tlt_return_21d,market_tlt_return_63d,market_tlt_return_126d,market_tlt_return_252d,market_tlt_rv_21d,market_tlt_downside_rv_21d,market_tlt_rv_63d,market_tlt_downside_rv_63d,market_tlt_rv_126d,market_tlt_downside_rv_126d,market_tlt_drawdown_63d,market_tlt_drawdown_126d,market_tlt_drawdown_252d,market_tlt_ma_distance_63d,market_tlt_ma_distance_126d,market_tlt_ma_distance_200d,market_tlt_volume_zscore_63d,market_ief_return_21d,market_ief_return_63d,market_ief_return_126d,market_ief_return_252d,market_ief_rv_21d,market_ief_downside_rv_21d,market_ief_rv_63d,market_ief_downside_rv_63d,market_ief_rv_126d,market_ief_downside_rv_126d,market_ief_drawdown_63d,market_ief_drawdown_126d,market_ief_drawdown_252d,market_ief_ma_distance_63d,market_ief_ma_distance_126d,market_ief_ma_distance_200d,market_ief_volume_zscore_63d,market_gld_return_21d,market_gld_return_63d,market_gld_return_126d,market_gld_return_252d,market_gld_rv_21d,market_gld_downside_rv_21d,market_gld_rv_63d,market_gld_downside_rv_63d,market_gld_rv_126d,market_gld_downside_rv_126d,market_gld_drawdown_63d,market_gld_drawdown_126d,market_gld_drawdown_252d,market_gld_ma_distance_63d,market_gld_ma_distance_126d,market_gld_ma_distance_200d,market_gld_volume_zscore_63d,market_hyg_return_21d,market_hyg_return_63d,market_hyg_return_126d,market_hyg_return_252d,market_hyg_rv_21d,market_hyg_downside_rv_21d,market_hyg_rv_63d,market_hyg_downside_rv_63d,market_hyg_rv_126d,market_hyg_downside_rv_126d,market_hyg_drawdown_63d,market_hyg_drawdown_126d,market_hyg_drawdown_252d,market_hyg_ma_distance_63d,market_hyg_ma_distance_126d,market_hyg_ma_distance_200d,market_hyg_volume_zscore_63d,market_eem_return_21d,market_eem_return_63d,market_eem_return_126d,market_eem_return_252d,market_eem_rv_21d,market_eem_downside_rv_21d,market_eem_rv_63d,market_eem_downside_rv_63d,market_eem_rv_126d,market_eem_downside_rv_126d,market_eem_drawdown_63d,market_eem_drawdown_126d,market_eem_drawdown_252d,market_eem_ma_distance_63d,market_eem_ma_distance_126d,market_eem_ma_distance_200d,market_eem_volume_zscore_63d,market_vnq_return_21d,market_vnq_return_63d,market_vnq_return_126d,market_vnq_return_252d,market_vnq_rv_21d,market_vnq_downside_rv_21d,market_vnq_rv_63d,market_vnq_downside_rv_63d,market_vnq_rv_126d,market_vnq_downside_rv_126d,market_vnq_drawdown_63d,market_vnq_drawdown_126d,market_vnq_drawdown_252d,market_vnq_ma_distance_63d,market_vnq_ma_distance_126d,market_vnq_ma_distance_200d,market_vnq_volume_zscore_63d,market_qqq_beta_to_spy_126d,market_iwm_beta_to_spy_126d,market_tlt_beta_to_spy_126d,market_ief_beta_to_spy_126d,market_gld_beta_to_spy_126d,market_hyg_beta_to_spy_126d,market_eem_beta_to_spy_126d,market_vnq_beta_to_spy_126d,market_vix_close,market_vix_change_21d,market_vix_zscore_252d,market_treasury_10y_yield,market_treasury_10y_yield_change_21d,market_treasury_10y_yield_zscore_252d,market_treasury_2y_yield,market_treasury_2y_yield_change_21d,market_treasury_2y_yield_zscore_252d,market_yield_curve_10y_2y,market_yield_curve_10y_2y_change_21d,market_yield_curve_10y_2y_zscore_252d,market_high_yield_oas,market_high_yield_oas_change_21d,market_high_yield_oas_zscore_252d,market_investment_grade_oas,market_investment_grade_oas_change_21d,market_investment_grade_oas_zscore_252d,market_fed_funds_rate,market_fed_funds_rate_change_21d,market_fed_funds_rate_zscore_252d,market_t_bill_3m,market_t_bill_3m_change_21d,market_t_bill_3m_zscore_252d,market_spy_return_21d,market_spy_return_63d,market_spy_return_126d,market_spy_return_252d,market_spy_rv_21d,market_spy_downside_rv_21d,market_spy_rv_63d,market_spy_downside_rv_63d,market_spy_rv_126d,market_spy_downside_rv_126d,market_spy_drawdown_63d,market_spy_drawdown_126d,market_spy_drawdown_252d,market_spy_ma_distance_63d,market_spy_ma_distance_126d,market_spy_ma_distance_200d,market_spy_volume_zscore_63d,month,month_index
2006-01-31,EEM,0,-0.03849957104316737,-0.03431041339747641,8.0,-0.004189157645690958,,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,,,4.53,,,4.54,,,-0.01,,,,,,,,,4.47,,,4.37,,,,,,,,,,,,,,,,,,,,2006-01,0
2006-01-31,GLD,0,-0.011111129799614039,-0.006921972153923081,6.0,-0.004189157645690958,,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,,,4.53,,,4.54,,,-0.01,,,,,,,,,4.47,,,4.37,,,,,,,,,,,,,,,,,,,,2006-01,0
2006-01-31,IEF,0,-0.0010358859659794772,0.0031532716797114807,5.0,-0.004189157645690958,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,,,4.53,,,4.54,,,-0.01,,,,,,,,,4.47,,,4.37,,,,,,,,,,,,,,,,,,,,2006-01,0
2006-01-31,IWM,0,0.0031788014788607377,0.007367959124551696,4.0,-0.004189157645690958,,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,,,4.53,,,4.54,,,-0.01,,,,,,,,,4.47,,,4.37,,,,,,,,,,,,,,,,,,,,2006-01,0
2006-01-31,QQQ,0,-0.021429006302761455,-0.017239848657070497,7.0,-0.004189157645690958,,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,,,4.53,,,4.54,,,-0.01,,,,,,,,,4.47,,,4.37,,,,,,,,,,,,,,,,,,,,2006-01,0
2006-01-31,SPY,1,0.005725361692141107,0.009914519337832065,3.0,-0.004189157645690958,,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,,,4.53,,,4.54,,,-0.01,,,,,,,,,4.47,,,4.37,,,,,,,,,,,,,,,,,,,,2006-01,0
2006-01-31,TLT,1,0.011079264061244931,0.015268421706935889,2.0,-0.004189157645690958,,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,,,4.53,,,4.54,,,-0.01,,,,,,,,,4.47,,,4.37,,,,,,,,,,,,,,,,,,,,2006-01,0
2006-01-31,VNQ,1,0.0185789047137479,0.02276806235943886,1.0,-0.004189157645690958,,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,,,4.53,,,4.54,,,-0.01,,,,,,,,,4.47,,,4.37,,,,,,,,,,,,,,,,,,,,2006-01,0
2006-02-28,EEM,0,0.021671593781999787,0.005139952656106006,4.0,0.01653164112589378,-0.03849957104316737,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-0.03668329347466448,,,,0.2501017520403058,,,,,,,,,-0.023984470070730568,,,,0.1510726524766127,0.09217123414945762,,,,,,,,,,,,-0.0026107399133168396,,,,0.13400248262893283,0.08183668292721602,,,,,,,,,,,,0.012865329658222624,,,,0.06304424339079956,0.02765532049442693,,,,,,,,,,,,-0.0017553659647748798,,,,0.035119434874631546,0.016685922909607007,,,,,,,,,,,,0.007909376564099624,,,,0.2506697109654291,0.166309286180904,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020490911251767052,,,,0.0934930388423275,0.04711954699531534,,,,,,,,,,,,,,,,,,,,12.34,0.3699999999999992,,4.55,0.03000000000000025,,4.69,0.1800000000000006,,-0.14,-0.15000000000000002,,,,,,,,4.52,0.09999999999999964,,4.51,0.16999999999999993,,-0.002411974484248236,,,,0.09850048919632204,0.05853259688581251,,,,,,,,,,,,2006-02,1
2006-02-28,GLD,1,0.03620472249591011,0.019673081370016332,3.0,0.01653164112589378,-0.011111129799614039,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.007909376564099624,,,,0.2506697109654291,,,,,,,,,-0.023984470070730568,,,,0.1510726524766127,0.09217123414945762,,,,,,,,,,,,-0.0026107399133168396,,,,0.13400248262893283,0.08183668292721602,,,,,,,,,,,,0.012865329658222624,,,,0.06304424339079956,0.02765532049442693,,,,,,,,,,,,-0.0017553659647748798,,,,0.035119434874631546,0.016685922909607007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,-0.03668329347466448,,,,0.2501017520403058,0.16230135036400248,,,,,,,,,,,,0.020490911251767052,,,,0.0934930388423275,0.04711954699531534,,,,,,,,,,,,,,,,,,,,12.34,0.3699999999999992,,4.55,0.03000000000000025,,4.69,0.1800000000000006,,-0.14,-0.15000000000000002,,,,,,,,4.52,0.09999999999999964,,4.51,0.16999999999999993,,-0.002411974484248236,,,,0.09850048919632204,0.05853259688581251,,,,,,,,,,,,2006-02,1
