Model,Evaluation Window,bin,rows,observed_rate,mean_predicted_probability,score_min,score_max
Dummy[Preholdout prior probability],holdout,"(0.336, 0.337]",675,0.3333333333333333,0.3366733466933868,0.3366733466933868,0.3366733466933868
XGBoost[GPU allocation scorer],holdout,"(0.229, 0.247]",68,0.22058823529411764,0.2375806611688698,0.23015311360359192,0.24676452577114105
XGBoost[GPU allocation scorer],holdout,"(0.247, 0.31]",67,0.2537313432835821,0.27129866049360873,0.24717770516872406,0.3089175224304199
XGBoost[GPU allocation scorer],holdout,"(0.31, 0.328]",68,0.3088235294117647,0.32026538515792174,0.3097441792488098,0.32811465859413147
XGBoost[GPU allocation scorer],holdout,"(0.328, 0.339]",67,0.23880597014925373,0.33360231901282694,0.32812684774398804,0.33875173330307007
XGBoost[GPU allocation scorer],holdout,"(0.339, 0.348]",68,0.35294117647058826,0.34309915190233903,0.33880293369293213,0.3476235568523407
XGBoost[GPU allocation scorer],holdout,"(0.348, 0.359]",67,0.26865671641791045,0.3533871142721888,0.3477267026901245,0.3586712181568146
XGBoost[GPU allocation scorer],holdout,"(0.359, 0.37]",67,0.4925373134328358,0.3640201523232816,0.3589593172073364,0.3697354793548584
XGBoost[GPU allocation scorer],holdout,"(0.37, 0.389]",68,0.4117647058823529,0.3796403951504651,0.369895875453949,0.3888552486896515
XGBoost[GPU allocation scorer],holdout,"(0.389, 0.407]",67,0.43283582089552236,0.39906886620308035,0.3889939785003662,0.40664538741111755
XGBoost[GPU allocation scorer],holdout,"(0.407, 0.43]",68,0.35294117647058826,0.41482944918029446,0.4066876471042633,0.429997980594635
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.249, 0.265]",22,0.2727272727272727,0.2569889405911619,0.24955631792545319,0.2646593451499939
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.265, 0.279]",22,0.18181818181818182,0.27100719240578736,0.2651020288467407,0.2787693738937378
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.279, 0.299]",21,0.38095238095238093,0.2876156880742028,0.27934741973876953,0.29911932349205017
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.299, 0.314]",22,0.3181818181818182,0.30697209997610614,0.29957351088523865,0.3139036297798157
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.314, 0.327]",21,0.19047619047619047,0.31975583945001873,0.3139377534389496,0.3271248936653137
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.327, 0.341]",22,0.45454545454545453,0.3345476605675437,0.3277803659439087,0.3407759368419647
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.341, 0.366]",21,0.3333333333333333,0.3557987823372796,0.34189486503601074,0.365737646818161
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.366, 0.38]",22,0.36363636363636365,0.37266362526200036,0.36579427123069763,0.3795173168182373
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.38, 0.395]",21,0.2857142857142857,0.3861890733242035,0.3802269399166107,0.39522016048431396
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.395, 0.423]",22,0.5454545454545454,0.4068117561665448,0.3954719305038452,0.42278239130973816
XGBoost[GPU allocation scorer] Calibration Base,holdout,"(0.244, 0.261]",68,0.25,0.2537841308204567,0.24457421898841858,0.26115256547927856
XGBoost[GPU allocation scorer] Calibration Base,holdout,"(0.261, 0.292]",67,0.23880597014925373,0.27689081875245963,0.2617473602294922,0.2918514609336853
XGBoost[GPU allocation scorer] Calibration Base,holdout,"(0.292, 0.304]",68,0.25,0.2980472739128506,0.29233822226524353,0.30447596311569214
XGBoost[GPU allocation scorer] Calibration Base,holdout,"(0.304, 0.315]",67,0.29850746268656714,0.30973994731903076,0.30453789234161377,0.31532225012779236
XGBoost[GPU allocation scorer] Calibration Base,holdout,"(0.315, 0.332]",68,0.2647058823529412,0.3220025726100978,0.3153466284275055,0.33160117268562317
XGBoost[GPU allocation scorer] Calibration Base,holdout,"(0.332, 0.357]",67,0.40298507462686567,0.34563504804426165,0.33177873492240906,0.3571767210960388
XGBoost[GPU allocation scorer] Calibration Base,holdout,"(0.357, 0.368]",67,0.3582089552238806,0.3627685183909402,0.3573228418827057,0.3674209415912628
