date,asset,target_top_k_next_1m,forward_1m_return,forward_1m_excess_return,forward_1m_rank,universe_forward_1m_return,asset_month_return,asset_risk_bucket,asset_is_spy,asset_is_qqq,asset_is_iwm,asset_is_tlt,asset_is_ief,asset_is_gld,asset_is_hyg,asset_is_eem,asset_is_vnq,asset_group_commodity,asset_group_credit,asset_group_equity_em,asset_group_equity_us,asset_group_rates,asset_group_real_estate,asset_return_21d,asset_return_63d,asset_return_126d,asset_return_252d,asset_rv_21d,asset_rv_63d,asset_rv_126d,asset_downside_rv_63d,asset_drawdown_126d,asset_drawdown_252d,asset_ma_distance_126d,asset_volume_zscore_63d,asset_beta_to_spy_126d,market_qqq_return_21d,market_qqq_return_63d,market_qqq_return_126d,market_qqq_return_252d,market_qqq_rv_21d,market_qqq_downside_rv_21d,market_qqq_rv_63d,market_qqq_downside_rv_63d,market_qqq_rv_126d,market_qqq_downside_rv_126d,market_qqq_drawdown_63d,market_qqq_drawdown_126d,market_qqq_drawdown_252d,market_qqq_ma_distance_63d,market_qqq_ma_distance_126d,market_qqq_ma_distance_200d,market_qqq_volume_zscore_63d,market_iwm_return_21d,market_iwm_return_63d,market_iwm_return_126d,market_iwm_return_252d,market_iwm_rv_21d,market_iwm_downside_rv_21d,market_iwm_rv_63d,market_iwm_downside_rv_63d,market_iwm_rv_126d,market_iwm_downside_rv_126d,market_iwm_drawdown_63d,market_iwm_drawdown_126d,market_iwm_drawdown_252d,market_iwm_ma_distance_63d,market_iwm_ma_distance_126d,market_iwm_ma_distance_200d,market_iwm_volume_zscore_63d,market_tlt_return_21d,market_tlt_return_63d,market_tlt_return_126d,market_tlt_return_252d,market_tlt_rv_21d,market_tlt_downside_rv_21d,market_tlt_rv_63d,market_tlt_downside_rv_63d,market_tlt_rv_126d,market_tlt_downside_rv_126d,market_tlt_drawdown_63d,market_tlt_drawdown_126d,market_tlt_drawdown_252d,market_tlt_ma_distance_63d,market_tlt_ma_distance_126d,market_tlt_ma_distance_200d,market_tlt_volume_zscore_63d,market_ief_return_21d,market_ief_return_63d,market_ief_return_126d,market_ief_return_252d,market_ief_rv_21d,market_ief_downside_rv_21d,market_ief_rv_63d,market_ief_downside_rv_63d,market_ief_rv_126d,market_ief_downside_rv_126d,market_ief_drawdown_63d,market_ief_drawdown_126d,market_ief_drawdown_252d,market_ief_ma_distance_63d,market_ief_ma_distance_126d,market_ief_ma_distance_200d,market_ief_volume_zscore_63d,market_gld_return_21d,market_gld_return_63d,market_gld_return_126d,market_gld_return_252d,market_gld_rv_21d,market_gld_downside_rv_21d,market_gld_rv_63d,market_gld_downside_rv_63d,market_gld_rv_126d,market_gld_downside_rv_126d,market_gld_drawdown_63d,market_gld_drawdown_126d,market_gld_drawdown_252d,market_gld_ma_distance_63d,market_gld_ma_distance_126d,market_gld_ma_distance_200d,market_gld_volume_zscore_63d,market_hyg_return_21d,market_hyg_return_63d,market_hyg_return_126d,market_hyg_return_252d,market_hyg_rv_21d,market_hyg_downside_rv_21d,market_hyg_rv_63d,market_hyg_downside_rv_63d,market_hyg_rv_126d,market_hyg_downside_rv_126d,market_hyg_drawdown_63d,market_hyg_drawdown_126d,market_hyg_drawdown_252d,market_hyg_ma_distance_63d,market_hyg_ma_distance_126d,market_hyg_ma_distance_200d,market_hyg_volume_zscore_63d,market_eem_return_21d,market_eem_return_63d,market_eem_return_126d,market_eem_return_252d,market_eem_rv_21d,market_eem_downside_rv_21d,market_eem_rv_63d,market_eem_downside_rv_63d,market_eem_rv_126d,market_eem_downside_rv_126d,market_eem_drawdown_63d,market_eem_drawdown_126d,market_eem_drawdown_252d,market_eem_ma_distance_63d,market_eem_ma_distance_126d,market_eem_ma_distance_200d,market_eem_volume_zscore_63d,market_vnq_return_21d,market_vnq_return_63d,market_vnq_return_126d,market_vnq_return_252d,market_vnq_rv_21d,market_vnq_downside_rv_21d,market_vnq_rv_63d,market_vnq_downside_rv_63d,market_vnq_rv_126d,market_vnq_downside_rv_126d,market_vnq_drawdown_63d,market_vnq_drawdown_126d,market_vnq_drawdown_252d,market_vnq_ma_distance_63d,market_vnq_ma_distance_126d,market_vnq_ma_distance_200d,market_vnq_volume_zscore_63d,market_qqq_beta_to_spy_126d,market_iwm_beta_to_spy_126d,market_tlt_beta_to_spy_126d,market_ief_beta_to_spy_126d,market_gld_beta_to_spy_126d,market_hyg_beta_to_spy_126d,market_eem_beta_to_spy_126d,market_vnq_beta_to_spy_126d,market_vix_close,market_vix_change_21d,market_vix_zscore_252d,market_treasury_10y_yield,market_treasury_10y_yield_change_21d,market_treasury_10y_yield_zscore_252d,market_treasury_2y_yield,market_treasury_2y_yield_change_21d,market_treasury_2y_yield_zscore_252d,market_yield_curve_10y_2y,market_yield_curve_10y_2y_change_21d,market_yield_curve_10y_2y_zscore_252d,market_fed_funds_rate,market_fed_funds_rate_change_21d,market_fed_funds_rate_zscore_252d,market_t_bill_3m,market_t_bill_3m_change_21d,market_t_bill_3m_zscore_252d,market_spy_return_21d,market_spy_return_63d,market_spy_return_126d,market_spy_return_252d,market_spy_rv_21d,market_spy_downside_rv_21d,market_spy_rv_63d,market_spy_downside_rv_63d,market_spy_rv_126d,market_spy_downside_rv_126d,market_spy_drawdown_63d,market_spy_drawdown_126d,market_spy_drawdown_252d,market_spy_ma_distance_63d,market_spy_ma_distance_126d,market_spy_ma_distance_200d,market_spy_volume_zscore_63d,month,month_index
2006-01-31,EEM,0,-0.03850016349563856,-0.034311215010091364,8.0,-0.0041889484855471976,,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,,,4.53,,,4.54,,,-0.01,,,4.47,,,4.37,,,,,,,,,,,,,,,,,,,,2006-01,0
2006-01-31,GLD,0,-0.011111129799614039,-0.0069221813140668415,6.0,-0.0041889484855471976,,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,,,4.53,,,4.54,,,-0.01,,,4.47,,,4.37,,,,,,,,,,,,,,,,,,,,2006-01,0
2006-01-31,IEF,0,-0.0010343268137391615,0.003154621671808036,5.0,-0.0041889484855471976,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,,,4.53,,,4.54,,,-0.01,,,4.47,,,4.37,,,,,,,,,,,,,,,,,,,,2006-01,0
2006-01-31,IWM,0,0.003179285403305032,0.00736823388885223,4.0,-0.0041889484855471976,,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,,,4.53,,,4.54,,,-0.01,,,4.47,,,4.37,,,,,,,,,,,,,,,,,,,,2006-01,0
2006-01-31,QQQ,0,-0.021428585848486503,-0.017239637362939306,7.0,-0.0041889484855471976,,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,,,4.53,,,4.54,,,-0.01,,,4.47,,,4.37,,,,,,,,,,,,,,,,,,,,2006-01,0
2006-01-31,SPY,1,0.005725710861597122,0.00991465934714432,3.0,-0.0041889484855471976,,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,,,4.53,,,4.54,,,-0.01,,,4.47,,,4.37,,,,,,,,,,,,,,,,,,,,2006-01,0
2006-01-31,TLT,1,0.011079416778562168,0.015268365264109365,2.0,-0.0041889484855471976,,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,,,4.53,,,4.54,,,-0.01,,,4.47,,,4.37,,,,,,,,,,,,,,,,,,,,2006-01,0
2006-01-31,VNQ,1,0.018578205029636363,0.02276715351518356,1.0,-0.0041889484855471976,,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,,,4.53,,,4.54,,,-0.01,,,4.47,,,4.37,,,,,,,,,,,,,,,,,,,,2006-01,0
2006-02-28,EEM,0,0.021672226454860777,0.005140559224526872,4.0,0.016531667230333905,-0.03850016349563856,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-0.03668380476390287,,,,0.25010069861423,,,,,,,,,-0.023984775285399773,,,,0.15106875766809208,0.09216733432432014,,,,,,,,,,,,-0.0026110131483995103,,,,0.13400231341882002,0.08183740683862625,,,,,,,,,,,,0.01286694912989117,,,,0.0630454260327715,0.027654085269173442,,,,,,,,,,,,-0.001753497155681294,,,,0.03511859769811975,0.016684209619119747,,,,,,,,,,,,0.007909376564099624,,,,0.2506697109654291,0.166309286180904,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02049106182367355,,,,0.09349472771660235,0.04712075212162888,,,,,,,,,,,,,,,,,,,,12.34,0.3699999999999992,,4.55,0.03000000000000025,,4.69,0.1800000000000006,,-0.14,-0.15000000000000002,,4.52,0.09999999999999964,,4.51,0.16999999999999993,,-0.0024120602841777306,,,,0.0985002364655652,0.058533110975612125,,,,,,,,,,,,2006-02,1
2006-02-28,GLD,1,0.03620472249591011,0.01967305526557621,3.0,0.016531667230333905,-0.011111129799614039,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.007909376564099624,,,,0.2506697109654291,,,,,,,,,-0.023984775285399773,,,,0.15106875766809208,0.09216733432432014,,,,,,,,,,,,-0.0026110131483995103,,,,0.13400231341882002,0.08183740683862625,,,,,,,,,,,,0.01286694912989117,,,,0.0630454260327715,0.027654085269173442,,,,,,,,,,,,-0.001753497155681294,,,,0.03511859769811975,0.016684209619119747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,-0.03668380476390287,,,,0.25010069861423,0.16230077925759784,,,,,,,,,,,,0.02049106182367355,,,,0.09349472771660235,0.04712075212162888,,,,,,,,,,,,,,,,,,,,12.34,0.3699999999999992,,4.55,0.03000000000000025,,4.69,0.1800000000000006,,-0.14,-0.15000000000000002,,4.52,0.09999999999999964,,4.51,0.16999999999999993,,-0.0024120602841777306,,,,0.0985002364655652,0.058533110975612125,,,,,,,,,,,,2006-02,1
