Model,Evaluation Window,month,rows,top_k,spearman_ic,top_k_hit_rate,selected_mean_forward_return,universe_mean_forward_return,active_forward_return
Dummy[Preholdout prior probability],holdout,2020-01,9,3,,,,-0.028843776596634247,
Dummy[Preholdout prior probability],holdout,2020-02,9,3,,,,-0.08506995831815597,
Dummy[Preholdout prior probability],holdout,2020-03,9,3,,,,0.0794165018434571,
Dummy[Preholdout prior probability],holdout,2020-04,9,3,,,,0.029740945394446952,
Dummy[Preholdout prior probability],holdout,2020-05,9,3,,,,0.02561496963872541,
Dummy[Preholdout prior probability],holdout,2020-06,9,3,,,,0.05465483896931215,
Dummy[Preholdout prior probability],holdout,2020-07,9,3,,,,0.022631478902831695,
Dummy[Preholdout prior probability],holdout,2020-08,9,3,,,,-0.02273435643270885,
Dummy[Preholdout prior probability],holdout,2020-09,9,3,,,,-0.010902846733620507,
Dummy[Preholdout prior probability],holdout,2020-10,9,3,,,,0.06550979782023876,
Dummy[Preholdout prior probability],holdout,2020-11,9,3,,,,0.03846989803070032,
Dummy[Preholdout prior probability],holdout,2020-12,9,3,,,,-0.0011440841676125186,
Dummy[Preholdout prior probability],holdout,2021-01,9,3,,,,-0.0017058158636524328,
Dummy[Preholdout prior probability],holdout,2021-02,9,3,,,,0.005021361937602387,
Dummy[Preholdout prior probability],holdout,2021-03,9,3,,,,0.033050735804643384,
Dummy[Preholdout prior probability],holdout,2021-04,9,3,,,,0.011474736067908609,
Dummy[Preholdout prior probability],holdout,2021-05,9,3,,,,0.015089384316132739,
Dummy[Preholdout prior probability],holdout,2021-06,9,3,,,,0.008889102070241727,
Dummy[Preholdout prior probability],holdout,2021-07,9,3,,,,0.014355172753622846,
Dummy[Preholdout prior probability],holdout,2021-08,9,3,,,,-0.03430719330959616,
Dummy[Preholdout prior probability],holdout,2021-09,9,3,,,,0.033919583086947105,
Dummy[Preholdout prior probability],holdout,2021-10,9,3,,,,-0.00814291260574651,
Dummy[Preholdout prior probability],holdout,2021-11,9,3,,,,0.02478512684151668,
