Model,Metric,Point Estimate,Bootstrap Median,CI Lower,CI Upper,Bootstrap Iterations Requested,Bootstrap Iterations Used,Confidence Level
Dummy[Preholdout prior probability],average_precision,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,400,400,0.95
Dummy[Preholdout prior probability],mean_spearman_ic,,,,,400,400,0.95
Dummy[Preholdout prior probability],top_k_hit_rate,,,,,400,400,0.95
Rule[12M momentum top-k],average_precision,0.39473640672693694,0.39953269424244225,0.3528372045988525,0.45285521828601283,400,400,0.95
Rule[12M momentum top-k],mean_spearman_ic,0.10644444444444442,0.10166666666666664,0.008866666666666669,0.20600555555555555,400,400,0.95
Rule[12M momentum top-k],top_k_hit_rate,0.4088888888888889,0.4088888888888889,0.35111111111111115,0.47111111111111115,400,400,0.95
Rule[6M momentum top-k],average_precision,0.38182987218472497,0.38776284767507496,0.3504386210610235,0.4272072719841348,400,400,0.95
Rule[6M momentum top-k],mean_spearman_ic,0.07733333333333332,0.08022222222222221,-0.024911111111111123,0.17350555555555544,400,400,0.95
Rule[6M momentum top-k],top_k_hit_rate,0.39555555555555555,0.39999999999999997,0.3288888888888889,0.4623333333333332,400,400,0.95
Rule[Low volatility top-k],average_precision,0.2958323830454167,0.29859517046001255,0.2728680630457947,0.3361355568834609,400,400,0.95
Rule[Low volatility top-k],mean_spearman_ic,-0.10644444444444441,-0.10644444444444444,-0.2162833333333333,0.0069111111111110944,400,400,0.95
Rule[Low volatility top-k],top_k_hit_rate,0.2888888888888889,0.2911111111111111,0.21777777777777782,0.3644444444444444,400,400,0.95
Rule[Risk-adjusted momentum top-k],average_precision,0.3809605806516917,0.3877398953400995,0.335647346378107,0.44684825921692084,400,400,0.95
Rule[Risk-adjusted momentum top-k],mean_spearman_ic,0.05355555555555556,0.05533333333333334,-0.06138888888888888,0.16429999999999992,400,400,0.95
Rule[Risk-adjusted momentum top-k],top_k_hit_rate,0.37777777777777777,0.37777777777777777,0.31555555555555553,0.44444444444444436,400,400,0.95
TabICL[Direct allocation scorer],average_precision,0.4090719429524628,0.4132472723396041,0.35792706344431185,0.4732178009041877,400,400,0.95
TabICL[Direct allocation scorer],mean_spearman_ic,0.08380852564149482,0.08545329610218118,-0.029577940834630823,0.18241332995865148,400,400,0.95
TabICL[Direct allocation scorer],top_k_hit_rate,0.4,0.4,0.3333333333333333,0.46677777777777757,400,400,0.95
TabICL[Direct allocation scorer] Calibration Base,average_precision,0.4039379964616765,0.406324837938336,0.3516144594250482,0.4654966901260232,400,400,0.95
TabICL[Direct allocation scorer] Calibration Base,mean_spearman_ic,0.05100139763016898,0.0514976701290642,-0.05956790692942833,0.1478675929255952,400,400,0.95
TabICL[Direct allocation scorer] Calibration Base,top_k_hit_rate,0.3644444444444444,0.3644444444444444,0.30666666666666664,0.42666666666666664,400,400,0.95
TabPFN[Direct allocation scorer],average_precision,0.4089124760596909,0.4094626543352138,0.36170624946596114,0.4724980802386901,400,400,0.95
TabPFN[Direct allocation scorer],mean_spearman_ic,0.09380013986048108,0.09206102985071107,-0.0039052819138958453,0.20527667144239087,400,400,0.95
TabPFN[Direct allocation scorer],top_k_hit_rate,0.40444444444444444,0.40444444444444444,0.3422222222222222,0.47111111111111104,400,400,0.95
TabPFN[Direct allocation scorer] Calibration Base,average_precision,0.3855843383064848,0.3880144478302099,0.3412968110722277,0.44065825700919287,400,400,0.95
TabPFN[Direct allocation scorer] Calibration Base,mean_spearman_ic,0.05390216588817309,0.052840437709698415,-0.043838639125850454,0.14652365452511887,400,400,0.95
TabPFN[Direct allocation scorer] Calibration Base,top_k_hit_rate,0.3777777777777778,0.37333333333333335,0.32,0.43111111111111117,400,400,0.95
XGBoost[GPU allocation scorer],average_precision,0.38317950334203194,0.3876694742029348,0.34371579949751513,0.4382126794791519,400,400,0.95
XGBoost[GPU allocation scorer],mean_spearman_ic,0.11844444444444446,0.12244444444444447,0.015450000000000023,0.2195055555555554,400,400,0.95
XGBoost[GPU allocation scorer],top_k_hit_rate,0.43555555555555553,0.43555555555555553,0.3732222222222222,0.4934444444444444,400,400,0.95
XGBoost[GPU allocation scorer] Calibrated,average_precision,0.3876716349917149,0.3907284260814622,0.3495076206584414,0.4392276501576644,400,400,0.95
XGBoost[GPU allocation scorer] Calibrated,mean_spearman_ic,0.09298276256124954,0.09278709531223747,-0.008335901393487633,0.19204594696997418,400,400,0.95
XGBoost[GPU allocation scorer] Calibrated,top_k_hit_rate,0.40444444444444444,0.4044444444444444,0.34222222222222226,0.4622222222222222,400,400,0.95
XGBoost[GPU allocation scorer] Calibration Base,average_precision,0.3876716349917149,0.39027610852119454,0.3505881192423681,0.4420946655394236,400,400,0.95
XGBoost[GPU allocation scorer] Calibration Base,mean_spearman_ic,0.09298276256124954,0.09238027016951367,-0.007348387376984523,0.21324283702355382,400,400,0.95
XGBoost[GPU allocation scorer] Calibration Base,top_k_hit_rate,0.40444444444444444,0.40444444444444444,0.34666666666666673,0.4667777777777778,400,400,0.95
