Strategy,Metric,Point Estimate,Bootstrap Median,CI Lower,CI Upper,Bootstrap Iterations Requested,Bootstrap Iterations Used,Confidence Level
Equal weight universe,mean_monthly_return,0.0077518756733954775,0.007895066491047155,-0.0004232275884807323,0.015111525399306214,400,400,0.95
Equal weight universe,cagr,0.08845959925667124,0.08986204525626507,-0.011292991197247512,0.18837479912567767,400,400,0.95
Equal weight universe,annualized_volatility,0.12686576753936984,0.12436595809064212,0.10622106954712479,0.14489823278991482,400,400,0.95
Equal weight universe,sharpe,0.7332356859140772,0.762320839766802,-0.046052557985403995,1.524411272976493,400,400,0.95
SPY only,mean_monthly_return,0.013224362515567694,0.012956204366084405,0.001540811666908384,0.024588019408724265,400,400,0.95
SPY only,cagr,0.15362868693927245,0.15017753289301428,-0.00010765343209625725,0.31675685460036485,400,400,0.95
SPY only,annualized_volatility,0.17386145600558153,0.17203307287384448,0.14250025139442088,0.2000786228459097,400,400,0.95
SPY only,sharpe,0.9127517612743205,0.9300620657581661,0.10147600482057277,1.8673243400865935,400,400,0.95
60/40 SPY/TLT,mean_monthly_return,0.006409164200656329,0.005981254393503786,-0.002766911309220008,0.01490791106584598,400,400,0.95
60/40 SPY/TLT,cagr,0.07008181876951425,0.06466167522405575,-0.0402783436802779,0.18592759928526637,400,400,0.95
60/40 SPY/TLT,annualized_volatility,0.13488627668766487,0.13418471762293296,0.11190338752273661,0.15345242885955337,400,400,0.95
60/40 SPY/TLT,sharpe,0.5701838044352309,0.5349308175836855,-0.25674137208825537,1.4475561495800802,400,400,0.95
Inverse volatility universe,mean_monthly_return,0.0052778038409133235,0.005341168462179788,-0.0007164861936849448,0.011903830940963644,400,400,0.95
Inverse volatility universe,cagr,0.05974856538626416,0.06038296257063713,-0.014556025881884893,0.14796815917129852,400,400,0.95
Inverse volatility universe,annualized_volatility,0.10217767886002779,0.10161797456743209,0.08392271795376767,0.11688326545987164,400,400,0.95
Inverse volatility universe,sharpe,0.6198383717222625,0.6339293527145604,-0.08829101115130647,1.5611966290762875,400,400,0.95
12M momentum top-k portfolio,mean_monthly_return,0.010849465146685828,0.011030042181090122,0.0015384881491101088,0.019087472897041,400,400,0.95
12M momentum top-k portfolio,cagr,0.12834263841468352,0.1305357168506529,0.007977083417978459,0.24553559211650358,400,400,0.95
12M momentum top-k portfolio,annualized_volatility,0.13347487794055726,0.1329604868458126,0.11328580620412655,0.15272456672553225,400,400,0.95
12M momentum top-k portfolio,sharpe,0.9754163762428113,0.9969694681578396,0.12700910331016346,1.9449922722544406,400,400,0.95
Low volatility top-k portfolio,mean_monthly_return,0.00417879181543231,0.004030394505366167,-0.00043375503221947304,0.008848603668025493,400,400,0.95
Low volatility top-k portfolio,cagr,0.048409637538448846,0.04667800134227684,-0.007504773906117785,0.10881721826673113,400,400,0.95
Low volatility top-k portfolio,annualized_volatility,0.07514877818832161,0.07357580870786609,0.06342953790863996,0.0845562957643734,400,400,0.95
Low volatility top-k portfolio,sharpe,0.6672829950677829,0.6434141077937439,-0.07382524860082873,1.509367291274658,400,400,0.95
Rule[6M momentum top-k],mean_monthly_return,0.009630624737634826,0.009546484322849762,0.0001176488376732824,0.019494091771692007,400,400,0.95
Rule[6M momentum top-k],cagr,0.10949629628976965,0.10929166738703311,-0.009680796199020963,0.24896314410657353,400,400,0.95
Rule[6M momentum top-k],annualized_volatility,0.15122864655643795,0.14949093407393804,0.12440050053934473,0.1687088305595094,400,400,0.95
Rule[6M momentum top-k],sharpe,0.7641905120700035,0.7628113008688575,0.009409748047054373,1.7048773151989738,400,400,0.95
Rule[Risk-adjusted momentum top-k],mean_monthly_return,0.009877598958692087,0.010081947684308479,0.000992423297132767,0.019043047382030415,400,400,0.95
Rule[Risk-adjusted momentum top-k],cagr,0.11467653805449096,0.1176248622495234,0.0024180051334034766,0.24507615618224127,400,400,0.95
Rule[Risk-adjusted momentum top-k],annualized_volatility,0.13872490664062148,0.13799541697765702,0.11482142423444516,0.16072023852088543,400,400,0.95
Rule[Risk-adjusted momentum top-k],sharpe,0.8544333557302008,0.8932419389050406,0.0859406554091381,1.7780984436751894,400,400,0.95
TabICL[Direct allocation scorer],mean_monthly_return,0.009717912793121786,0.010092265651889799,-0.002732722796218357,0.021425934131466994,400,400,0.95
TabICL[Direct allocation scorer],cagr,0.10389375618268049,0.1100433107641442,-0.05173159924726681,0.2673819394745035,400,400,0.95
TabICL[Direct allocation scorer],annualized_volatility,0.18670093676639188,0.1829563762122492,0.15322932478032378,0.21709798894230892,400,400,0.95
TabICL[Direct allocation scorer],sharpe,0.624608293547959,0.6556817772216104,-0.16375482276537748,1.4173899911490904,400,400,0.95
TabICL[Direct allocation scorer] Calibration Base,mean_monthly_return,0.006657439397036166,0.006698174145516773,-0.003344533579683217,0.017336051534778556,400,400,0.95
TabICL[Direct allocation scorer] Calibration Base,cagr,0.06737619921750282,0.06888304569203052,-0.05528615398402436,0.21486017497360596,400,400,0.95
