Model,Base Model,Family,Calibration,Evaluation Window,Rows,Positive Rows,Positive Rate,Score Type,Average Precision,ROC AUC,Brier Score,Log Loss,ECE Quantile 10,Fit Seconds,Predict Seconds,Calibration Seconds,Workflow Seconds,CV/Validation Average Precision,Best Params,Timing Notes
TabPFN[Direct allocation scorer] Calibration Base,TabPFN,direct_tfm_calibration_base,none_calibration_base,calibration,240,72,0.3,probability,0.36780708048986593,0.5686177248677248,0.2087653954965332,0.6095697713487088,0.09876461621994774,1.39469512200003,2.6317753455000172,0.0,4.026470467500047,,,direct TFM context excludes calibration-window labels
Rule[Low volatility top-k],Rule,deterministic_rule,none,calibration,240,72,0.3,raw_score,0.325308452590667,0.48222552910052907,,,,0.0,0.0,0.0,0.0,,,deterministic rule score; not a calibrated probability
TabICL[Direct allocation scorer] Calibration Base,TabICL,direct_tfm_calibration_base,none_calibration_base,calibration,240,72,0.3,probability,0.3229540717455873,0.5147569444444444,0.21035775347432206,0.6146537343552587,0.08480167947709562,2.1732555870000283,1.6676197959999968,0.0,3.840875383000025,,,direct TFM context excludes calibration-window labels
XGBoost[GPU allocation scorer] Calibration Base,XGBoost,gpu_boosted_tree_calibration_base,none_calibration_base,calibration,240,72,0.3,probability,0.3227213435272492,0.5341435185185186,0.24556212273482364,0.688758293626074,0.14625373013938467,52.522722054999974,0.028454792000019324,0.0,52.551176846999994,0.322990206314533,"{""colsample_bylevel"": 0.6872700594236812, ""colsample_bytree"": 0.9728928685254539, ""gamma"": 0.40955834936192403, ""learning_rate"": 0.037069753392781075, ""max_bin"": 742, ""max_delta_step"": 1, ""max_depth"": 4, ""min_child_weight"": 0.10454460591631218, ""n_estimators"": 1882, ""reg_alpha"": 11.567327199145982, ""reg_lambda"": 6.153465757494016, ""scale_pos_weight"": 2.3333333333333335, ""subsample"": 0.5592630224331111}",base model excludes calibration-window labels
XGBoost[GPU allocation scorer] Calibrated,XGBoost,gpu_boosted_tree_calibrated,sigmoid,calibration,240,72,0.3,probability,0.3227213435272492,0.5341435185185186,0.20954884673033472,0.6097086050046211,0.06376718438061231,52.522722054999974,0.008002457999992885,0.01928306799999291,52.55000758099996,0.322990206314533,"{""colsample_bylevel"": 0.6872700594236812, ""colsample_bytree"": 0.9728928685254539, ""gamma"": 0.40955834936192403, ""learning_rate"": 0.037069753392781075, ""max_bin"": 742, ""max_delta_step"": 1, ""max_depth"": 4, ""min_child_weight"": 0.10454460591631218, ""n_estimators"": 1882, ""reg_alpha"": 11.567327199145982, ""reg_lambda"": 6.153465757494016, ""scale_pos_weight"": 2.3333333333333335, ""subsample"": 0.5592630224331111}",sigmoid calibration fitted on calibration window
Rule[12M momentum top-k],Rule,deterministic_rule,none,calibration,240,72,0.3,raw_score,0.2657250783039189,0.45188492063492064,,,,0.0,0.0,0.0,0.0,,,deterministic rule score; not a calibrated probability
Rule[6M momentum top-k],Rule,deterministic_rule,none,calibration,240,72,0.3,raw_score,0.24056742481308324,0.3914517195767196,,,,0.0,0.0,0.0,0.0,,,deterministic rule score; not a calibrated probability
Rule[Risk-adjusted momentum top-k],Rule,deterministic_rule,none,calibration,240,72,0.3,raw_score,0.24045221102044834,0.38541666666666663,,,,0.0,0.0,0.0,0.0,,,deterministic rule score; not a calibrated probability
TabICL[Direct allocation scorer],TabICL,direct_tfm,none,holdout,750,225,0.3,probability,0.3851110578078555,0.589710052910053,0.2067181511425345,0.6040681444866866,0.046035230318705246,6.07478108600003,2.4105994530000316,0.0,8.485380539000062,,,direct TFM classifier fitted on all pre-holdout rows; no task-specific weight training claim is made
TabPFN[Direct allocation scorer],TabPFN,direct_tfm,none,holdout,750,225,0.3,probability,0.37796418653723307,0.6040380952380953,0.2058435747134605,0.601669976890295,0.04677599324782689,11.261068665999971,4.480836623000016,0.0,15.741905288999988,,,direct TFM classifier fitted on all pre-holdout rows; no task-specific weight training claim is made
TabICL[Direct allocation scorer] Calibration Base,TabICL,direct_tfm_calibration_base,none_calibration_base,holdout,750,225,0.3,probability,0.37402738631894705,0.5977058201058202,0.20743796889785623,0.6075719097039344,0.05026124998927118,2.1732555870000283,1.6676197959999968,0.0,3.840875383000025,,,direct TFM context excludes calibration-window labels
TabPFN[Direct allocation scorer] Calibration Base,TabPFN,direct_tfm_calibration_base,none_calibration_base,holdout,750,225,0.3,probability,0.3563711459549635,0.5734687830687831,0.20634020653850269,0.6031159682783734,0.05286629514892898,1.39469512200003,2.6317753455000172,0.0,4.026470467500047,,,direct TFM context excludes calibration-window labels
Rule[Risk-adjusted momentum top-k],Rule,deterministic_rule,none,holdout,750,225,0.3,raw_score,0.34203327556804386,0.5289396825396825,,,,0.0,0.0,0.0,0.0,,,deterministic rule score; not a calibrated probability
Rule[12M momentum top-k],Rule,deterministic_rule,none,holdout,750,225,0.3,raw_score,0.34121999227889555,0.5382518518518519,,,,0.0,0.0,0.0,0.0,,,deterministic rule score; not a calibrated probability
Rule[6M momentum top-k],Rule,deterministic_rule,none,holdout,750,225,0.3,raw_score,0.3362713573771303,0.520541798941799,,,,0.0,0.0,0.0,0.0,,,deterministic rule score; not a calibrated probability
XGBoost[GPU allocation scorer],XGBoost,gpu_boosted_tree,none,holdout,750,225,0.3,probability,0.3331670591073635,0.5464634920634921,0.2301898533250146,0.6544948724367554,0.12584738786021868,52.83960365899998,0.05083268899994664,0.0,52.89043634799992,0.322990206314533,"{""colsample_bylevel"": 0.6872700594236812, ""colsample_bytree"": 0.9728928685254539, ""gamma"": 0.40955834936192403, ""learning_rate"": 0.037069753392781075, ""max_bin"": 742, ""max_delta_step"": 1, ""max_depth"": 4, ""min_child_weight"": 0.10454460591631218, ""n_estimators"": 1882, ""reg_alpha"": 11.567327199145982, ""reg_lambda"": 6.153465757494016, ""scale_pos_weight"": 2.3333333333333335, ""subsample"": 0.5592630224331111}",randomized search on monthly rolling-origin folds; final model fit on all pre-holdout rows
XGBoost[GPU allocation scorer] Calibration Base,XGBoost,gpu_boosted_tree_calibration_base,none_calibration_base,holdout,750,225,0.3,probability,0.32416130242972674,0.5462603174603174,0.23387055678195576,0.662513393033442,0.12814119562506676,52.522722054999974,0.028454792000019324,0.0,52.551176846999994,0.322990206314533,"{""colsample_bylevel"": 0.6872700594236812, ""colsample_bytree"": 0.9728928685254539, ""gamma"": 0.40955834936192403, ""learning_rate"": 0.037069753392781075, ""max_bin"": 742, ""max_delta_step"": 1, ""max_depth"": 4, ""min_child_weight"": 0.10454460591631218, ""n_estimators"": 1882, ""reg_alpha"": 11.567327199145982, ""reg_lambda"": 6.153465757494016, ""scale_pos_weight"": 2.3333333333333335, ""subsample"": 0.5592630224331111}",base model excludes calibration-window labels
XGBoost[GPU allocation scorer] Calibrated,XGBoost,gpu_boosted_tree_calibrated,sigmoid,holdout,750,225,0.3,probability,0.32416130242972674,0.5462603174603174,0.20909883434429014,0.6086659762778689,0.04919112626476499,52.522722054999974,0.008002457999992885,0.01928306799999291,52.55000758099996,0.322990206314533,"{""colsample_bylevel"": 0.6872700594236812, ""colsample_bytree"": 0.9728928685254539, ""gamma"": 0.40955834936192403, ""learning_rate"": 0.037069753392781075, ""max_bin"": 742, ""max_delta_step"": 1, ""max_depth"": 4, ""min_child_weight"": 0.10454460591631218, ""n_estimators"": 1882, ""reg_alpha"": 11.567327199145982, ""reg_lambda"": 6.153465757494016, ""scale_pos_weight"": 2.3333333333333335, ""subsample"": 0.5592630224331111}",sigmoid calibration fitted on calibration window
Dummy[Preholdout prior probability],Dummy,baseline,none,holdout,750,225,0.3,probability,0.3,0.5,0.20999999999999996,0.6108643020548936,,0.0,0.0,0.0,0.0,,,constant prior from pre-holdout label frequency
Rule[Low volatility top-k],Rule,deterministic_rule,none,holdout,750,225,0.3,raw_score,0.2669621276993592,0.44155767195767187,,,,0.0,0.0,0.0,0.0,,,deterministic rule score; not a calibrated probability
