Feature,Selection Mean,Holdout Mean,Selection Std,Holdout Std,PSI
market_efa_beta_to_spy_126d,1.0887069,0.8105694,0.16187895834445953,0.12056488543748856,8.6303378083513
market_eem_beta_to_spy_126d,1.3677466,0.8442289,0.31526389718055725,0.21056124567985535,7.54438472960371
market_yield_curve_10y_2y,1.5018752,0.23866662,0.8277302384376526,0.6255965828895569,5.881998954953179
market_xlf_beta_to_spy_126d,1.2992553,0.95548064,0.2583456039428711,0.18615172803401947,4.930583568314635
market_fed_funds_rate_change_21d,-0.023611112,0.023866666,0.1765536516904831,0.2806429862976074,4.14999871753288
market_ief_beta_to_spy_126d,-0.16874261,-0.01475323,0.08365541696548462,0.11720772087574005,3.9337504230231892
market_eem_downside_rv_126d,0.1615313,0.12504593,0.09173264354467392,0.05827818065881729,3.7866266449096466
market_tlt_beta_to_spy_126d,-0.36820865,-0.041812047,0.19472019374370575,0.2504763603210449,3.556335208183552
market_treasury_10y_yield,2.9207642,3.0041332,1.0182178020477295,1.4085415601730347,3.52264118318384
market_fed_funds_rate,1.1588194,2.7988002,1.822554588317871,2.1802215576171875,2.9259646794165763
market_qqq_beta_to_spy_126d,1.065918,1.2109227,0.13074402511119843,0.12103397399187088,2.923359577709296
market_iwm_rv_126d,0.21734619,0.24304487,0.10371042042970657,0.08333839476108551,2.897845222389773
market_treasury_2y_yield,1.4188888,2.7654667,1.5024319887161255,1.8379809856414795,2.8884141049736196
market_eem_rv_126d,0.26805586,0.20434095,0.15438005328178406,0.07339241355657578,2.757631337228036
market_xle_downside_rv_63d,0.14956579,0.17882226,0.09092031419277191,0.11405408382415771,2.6303033271392815
market_xle_beta_to_spy_126d,1.1733931,0.8414665,0.1545366793870926,0.37092557549476624,2.5087291159890825
market_xle_rv_63d,0.2486246,0.29469633,0.13917692005634308,0.15821479260921478,1.9034407354874798
market_tlt_return_252d,0.0745906,-0.015780346,0.10680699348449707,0.147414892911911,1.8827104524272602
market_iwm_rv_63d,0.21285525,0.23765542,0.11168497800827026,0.09856058657169342,1.8487451247365576
market_eem_rv_63d,0.26156753,0.19958764,0.16537770628929138,0.08571174740791321,1.8077294546340206
market_spy_downside_rv_126d,0.100373514,0.11134201,0.05986587703227997,0.06050610914826393,1.703006182518518
market_eem_downside_rv_63d,0.1560531,0.12051166,0.09513400495052338,0.06445406377315521,1.69513080475885
market_qqq_rv_126d,0.18455459,0.22807018,0.08076516538858414,0.08218070864677429,1.6930677632390805
market_efa_downside_rv_63d,0.121650465,0.10513895,0.07294929027557373,0.06095295026898384,1.6416362717442199
market_iwm_downside_rv_126d,0.13127708,0.14655544,0.06526990234851837,0.06616946309804916,1.564031363631461
market_qqq_downside_rv_126d,0.11209822,0.13997196,0.04970162734389305,0.05711463466286659,1.5585479121544576
market_iwm_rv_21d,0.20682615,0.23319946,0.11814192682504654,0.11356645822525024,1.5470453631360188
market_gld_downside_rv_126d,0.11245431,0.10070635,0.038718126714229584,0.02985902689397335,1.5413496208275437
market_xlf_rv_126d,0.2532677,0.21771851,0.1980026513338089,0.1095796525478363,1.539219964078179
market_xlf_return_252d,0.06555186,0.1468224,0.2484496831893921,0.22504737973213196,1.5320268541545283
market_xle_downside_rv_126d,0.15474845,0.18706869,0.08608454465866089,0.10490898042917252,1.519537246029273
market_xle_rv_126d,0.2538079,0.30289462,0.13010534644126892,0.1422293335199356,1.5113999230679152
market_efa_downside_rv_126d,0.12617452,0.10938642,0.06872119009494781,0.05574125424027443,1.4919671843020723
market_vix_close,19.365139,21.071068,8.818007469177246,7.342990875244141,1.3707213886726268
market_gld_return_252d,0.07687981,0.1780987,0.1600637286901474,0.19335252046585083,1.3210348278451542
market_gld_downside_rv_21d,0.104026824,0.09991914,0.05260830745100975,0.06333282589912415,1.3158557541840679
