feature,missing_rate_selection,non_null_selection,n_unique_selection
market_qqq_return_252d,0.175,1188,132
market_iwm_return_252d,0.175,1188,132
market_qqq_drawdown_252d,0.175,1188,117
market_tlt_return_252d,0.175,1188,132
market_tlt_drawdown_252d,0.175,1188,125
market_ief_drawdown_252d,0.175,1188,122
market_ief_return_252d,0.175,1188,132
market_iwm_drawdown_252d,0.175,1188,125
market_xlf_drawdown_252d,0.175,1188,125
market_spy_return_252d,0.175,1188,132
market_spy_drawdown_252d,0.175,1188,123
market_eem_return_252d,0.175,1188,132
market_eem_drawdown_252d,0.175,1188,128
market_xle_drawdown_252d,0.175,1188,126
market_xle_return_252d,0.175,1188,132
market_efa_return_252d,0.175,1188,132
market_efa_drawdown_252d,0.175,1188,122
market_gld_drawdown_252d,0.175,1188,127
market_gld_return_252d,0.175,1188,132
market_xlf_return_252d,0.175,1188,132
market_eem_ma_distance_200d,0.15625,1215,135
market_efa_ma_distance_200d,0.15625,1215,135
market_gld_ma_distance_200d,0.15625,1215,135
market_xle_ma_distance_200d,0.15625,1215,135
market_qqq_ma_distance_200d,0.15625,1215,135
market_tlt_ma_distance_200d,0.15625,1215,135
market_iwm_ma_distance_200d,0.15625,1215,135
market_ief_ma_distance_200d,0.15625,1215,135
market_spy_ma_distance_200d,0.15625,1215,135
market_xlf_ma_distance_200d,0.15625,1215,135
market_tlt_drawdown_126d,0.1375,1242,124
market_iwm_downside_rv_126d,0.1375,1242,138
market_eem_downside_rv_126d,0.1375,1242,138
market_iwm_ma_distance_126d,0.1375,1242,138
market_tlt_return_126d,0.1375,1242,138
market_qqq_downside_rv_126d,0.1375,1242,138
market_tlt_downside_rv_126d,0.1375,1242,138
market_tlt_ma_distance_126d,0.1375,1242,138
market_ief_return_126d,0.1375,1242,138
market_ief_drawdown_126d,0.1375,1242,122
market_ief_ma_distance_126d,0.1375,1242,138
market_ief_rv_126d,0.1375,1242,138
market_ief_downside_rv_126d,0.1375,1242,138
market_qqq_drawdown_126d,0.1375,1242,120
market_spy_drawdown_126d,0.1375,1242,128
market_spy_rv_126d,0.1375,1242,138
market_tlt_beta_to_spy_126d,0.1375,1242,138
market_qqq_beta_to_spy_126d,0.1375,1242,138
market_xlf_downside_rv_126d,0.1375,1242,138
market_xlf_rv_126d,0.1375,1242,138
market_xlf_return_126d,0.1375,1242,138
market_gld_return_126d,0.1375,1242,138
market_gld_downside_rv_126d,0.1375,1242,138
market_efa_drawdown_126d,0.1375,1242,125
market_efa_ma_distance_126d,0.1375,1242,138
market_efa_rv_126d,0.1375,1242,138
market_eem_drawdown_126d,0.1375,1242,129
market_eem_rv_126d,0.1375,1242,138
market_efa_return_126d,0.1375,1242,138
market_xle_return_126d,0.1375,1242,138
market_xle_downside_rv_126d,0.1375,1242,138
market_xle_drawdown_126d,0.1375,1242,131
market_xle_rv_126d,0.1375,1242,138
market_eem_ma_distance_126d,0.1375,1242,138
market_eem_return_126d,0.1375,1242,138
market_gld_drawdown_126d,0.1375,1242,130
market_xlf_drawdown_126d,0.1375,1242,130
market_xlf_beta_to_spy_126d,0.1375,1242,138
market_xle_beta_to_spy_126d,0.1375,1242,138
market_eem_beta_to_spy_126d,0.1375,1242,138
market_spy_return_126d,0.1375,1242,138
market_spy_ma_distance_126d,0.1375,1242,138
market_iwm_beta_to_spy_126d,0.1375,1242,138
market_xlf_ma_distance_126d,0.1375,1242,138
market_xle_ma_distance_126d,0.1375,1242,138
market_spy_downside_rv_126d,0.1375,1242,138
market_qqq_rv_126d,0.1375,1242,138
market_iwm_return_126d,0.1375,1242,138
market_iwm_drawdown_126d,0.1375,1242,131
