Model,Evaluation Window,months,mean_spearman_ic,median_spearman_ic,mean_top_k_hit_rate,mean_selected_forward_return,mean_universe_forward_return,mean_active_forward_return
TabPFN[Direct allocation scorer] Calibration Base,calibration,24,0.024321486223916392,0.07584982263854867,0.4305555555555555,0.011350934939934318,0.004192204530820924,0.007158730409113394
Rule[Low volatility top-k],calibration,24,-0.03686868686868688,0.0,0.3055555555555555,0.004943829740932559,0.004192204530820924,0.0007516252101116354
XGBoost[GPU allocation scorer] Calibrated,calibration,24,0.0060606060606060615,-0.006060606060606061,0.3055555555555555,0.00290403334947136,0.004192204530820924,-0.0012881711813495635
XGBoost[GPU allocation scorer] Calibration Base,calibration,24,0.0060606060606060615,-0.006060606060606061,0.3055555555555555,0.00290403334947136,0.004192204530820924,-0.0012881711813495635
Rule[12M momentum top-k],calibration,24,-0.11111111111111109,-0.16363636363636364,0.2916666666666667,0.0007129573600175138,0.004192204530820924,-0.0034792471708034105
TabICL[Direct allocation scorer] Calibration Base,calibration,24,-0.020843088047750268,0.060689082798936235,0.25,-0.0007266957597079976,0.004192204530820924,-0.004918900290528922
Rule[Risk-adjusted momentum top-k],calibration,24,-0.16464646464646462,-0.2545454545454545,0.2222222222222222,-0.002595935465995704,0.004192204530820924,-0.006788139996816628
Rule[6M momentum top-k],calibration,24,-0.1707070707070707,-0.12727272727272726,0.18055555555555555,-0.006729786924314719,0.004192204530820924,-0.010921991455135643
TabPFN[Direct allocation scorer],holdout,75,0.017962517157557818,0.006060606060606061,0.39555555555555555,0.01636311443680205,0.010050399045716368,0.0063127153910856795
TabICL[Direct allocation scorer] Calibration Base,holdout,75,0.047187567412162616,0.05454545454545454,0.41333333333333333,0.015694903232697097,0.010050399045716368,0.005644504186980728
Rule[Risk-adjusted momentum top-k],holdout,75,0.022707070707070707,0.006060606060606061,0.3333333333333333,0.014700589664485317,0.010050399045716368,0.004650190618768947
Rule[12M momentum top-k],holdout,75,0.06602020202020202,0.09090909090909088,0.3244444444444444,0.013106250950946268,0.010050399045716368,0.0030558519052298993
TabICL[Direct allocation scorer],holdout,75,0.024713538662719938,0.024316221747202587,0.3555555555555555,0.012053630056248862,0.010050399045716368,0.0020032310105324923
Rule[6M momentum top-k],holdout,75,0.01236363636363636,0.01818181818181818,0.3333333333333333,0.011525957620566674,0.010050399045716368,0.0014755585748503057
XGBoost[GPU allocation scorer],holdout,75,-0.015111111111111108,-0.01818181818181818,0.32888888888888884,0.00959775431542044,0.010050399045716368,-0.00045264473029592875
TabPFN[Direct allocation scorer] Calibration Base,holdout,75,0.007421090645278973,0.0303030303030303,0.32888888888888884,0.009133280372682418,0.010050399045716368,-0.0009171186730339502
XGBoost[GPU allocation scorer] Calibrated,holdout,75,-0.018181818181818177,0.006060606060606061,0.3377777777777778,0.008459911045501681,0.010050399045716368,-0.001590488000214688
XGBoost[GPU allocation scorer] Calibration Base,holdout,75,-0.018181818181818177,0.006060606060606061,0.3377777777777778,0.008459911045501681,0.010050399045716368,-0.001590488000214688
Rule[Low volatility top-k],holdout,75,-0.062141414141414136,-0.12727272727272726,0.24888888888888885,0.005725245029275294,0.010050399045716368,-0.0043251540164410745
Dummy[Preholdout prior probability],holdout,75,,,,,0.010050399045716368,
