Model,Evaluation Window,month,rows,top_k,spearman_ic,top_k_hit_rate,selected_mean_forward_return,universe_mean_forward_return,active_forward_return
Dummy[Preholdout prior probability],holdout,2020-01,10,3,,,,-0.046412708697755226,
Dummy[Preholdout prior probability],holdout,2020-02,10,3,,,,-0.14115503044078165,
Dummy[Preholdout prior probability],holdout,2020-03,10,3,,,,0.11503331532754513,
Dummy[Preholdout prior probability],holdout,2020-04,10,3,,,,0.04829666856664785,
Dummy[Preholdout prior probability],holdout,2020-05,10,3,,,,0.023462571791186815,
Dummy[Preholdout prior probability],holdout,2020-06,10,3,,,,0.04303084042920241,
Dummy[Preholdout prior probability],holdout,2020-07,10,3,,,,0.027322952050014282,
Dummy[Preholdout prior probability],holdout,2020-08,10,3,,,,-0.03511888459158772,
Dummy[Preholdout prior probability],holdout,2020-09,10,3,,,,-0.009619116953831431,
Dummy[Preholdout prior probability],holdout,2020-10,10,3,,,,0.10737736422155342,
Dummy[Preholdout prior probability],holdout,2020-11,10,3,,,,0.04158302190545917,
Dummy[Preholdout prior probability],holdout,2020-12,10,3,,,,0.002797609590922523,
Dummy[Preholdout prior probability],holdout,2021-01,10,3,,,,0.033729429969185966,
Dummy[Preholdout prior probability],holdout,2021-02,10,3,,,,0.004336645314938459,
Dummy[Preholdout prior probability],holdout,2021-03,10,3,,,,0.030510660463881845,
Dummy[Preholdout prior probability],holdout,2021-04,10,3,,,,0.02519022701437964,
Dummy[Preholdout prior probability],holdout,2021-05,10,3,,,,0.005973712191582081,
Dummy[Preholdout prior probability],holdout,2021-06,10,3,,,,-0.004461621755732348,
Dummy[Preholdout prior probability],holdout,2021-07,10,3,,,,0.013786948377583786,
Dummy[Preholdout prior probability],holdout,2021-08,10,3,,,,-0.02094948755462861,
Dummy[Preholdout prior probability],holdout,2021-09,10,3,,,,0.04368420681442773,
Dummy[Preholdout prior probability],holdout,2021-10,10,3,,,,-0.010032825572825288,
Dummy[Preholdout prior probability],holdout,2021-11,10,3,,,,0.009382358384936973,
Dummy[Preholdout prior probability],holdout,2021-12,10,3,,,,-0.014714810007115886,
Dummy[Preholdout prior probability],holdout,2022-01,10,3,,,,-0.006280959240341411,
Dummy[Preholdout prior probability],holdout,2022-02,10,3,,,,0.009367362355919607,
Dummy[Preholdout prior probability],holdout,2022-03,10,3,,,,-0.07759247385181244,
Dummy[Preholdout prior probability],holdout,2022-04,10,3,,,,0.02540402512719241,
Dummy[Preholdout prior probability],holdout,2022-05,10,3,,,,-0.07694146095123255,
Dummy[Preholdout prior probability],holdout,2022-06,10,3,,,,0.053490233078186886,
Dummy[Preholdout prior probability],holdout,2022-07,10,3,,,,-0.03458490444779686,
Dummy[Preholdout prior probability],holdout,2022-08,10,3,,,,-0.06273537257240581,
Dummy[Preholdout prior probability],holdout,2022-09,10,3,,,,0.05596002766278407,
Dummy[Preholdout prior probability],holdout,2022-10,10,3,,,,0.06062204323376859,
Dummy[Preholdout prior probability],holdout,2022-11,10,3,,,,-0.031604201365334074,
Dummy[Preholdout prior probability],holdout,2022-12,10,3,,,,0.06063527893668794,
Dummy[Preholdout prior probability],holdout,2023-01,10,3,,,,-0.03528615074094611,
Dummy[Preholdout prior probability],holdout,2023-02,10,3,,,,0.023152501123775794,
Dummy[Preholdout prior probability],holdout,2023-03,10,3,,,,0.004398504708388473,
Dummy[Preholdout prior probability],holdout,2023-04,10,3,,,,-0.014266777824624034,
Dummy[Preholdout prior probability],holdout,2023-05,10,3,,,,0.038884460002522346,
Dummy[Preholdout prior probability],holdout,2023-06,10,3,,,,0.025915042039082715,
Dummy[Preholdout prior probability],holdout,2023-07,10,3,,,,-0.013389542336861404,
Dummy[Preholdout prior probability],holdout,2023-08,10,3,,,,-0.04800828480510807,
Dummy[Preholdout prior probability],holdout,2023-09,10,3,,,,-0.019593918959083422,
Dummy[Preholdout prior probability],holdout,2023-10,10,3,,,,0.0678964426373849,
Dummy[Preholdout prior probability],holdout,2023-11,10,3,,,,0.04687333743334883,
Dummy[Preholdout prior probability],holdout,2023-12,10,3,,,,0.003196557956533508,
Dummy[Preholdout prior probability],holdout,2024-01,10,3,,,,0.024345519541201732,
Dummy[Preholdout prior probability],holdout,2024-02,10,3,,,,0.03828165071516756,
Dummy[Preholdout prior probability],holdout,2024-03,10,3,,,,-0.030628625386007267,
Dummy[Preholdout prior probability],holdout,2024-04,10,3,,,,0.035890928357338335,
Dummy[Preholdout prior probability],holdout,2024-05,10,3,,,,0.007346964842629089,
Dummy[Preholdout prior probability],holdout,2024-06,10,3,,,,0.03226047069025806,
Dummy[Preholdout prior probability],holdout,2024-07,10,3,,,,0.010012217714262629,
Dummy[Preholdout prior probability],holdout,2024-08,10,3,,,,0.02236595669863455,
Dummy[Preholdout prior probability],holdout,2024-09,10,3,,,,-0.008569686341232941,
