Model,Metric,Point Estimate,Bootstrap Median,CI Lower,CI Upper,Bootstrap Iterations Requested,Bootstrap Iterations Used,Confidence Level
Dummy[Preholdout prior probability],average_precision,0.3,0.3,0.3,0.3,50,50,0.95
Dummy[Preholdout prior probability],mean_spearman_ic,,,,,50,50,0.95
Dummy[Preholdout prior probability],top_k_hit_rate,,,,,50,50,0.95
Rule[12M momentum top-k],average_precision,0.34121999227889555,0.34344098284636576,0.30622942427408567,0.37653401780541296,50,50,0.95
Rule[12M momentum top-k],mean_spearman_ic,0.06602020202020202,0.07200000000000001,-0.02967272727272726,0.13062222222222217,50,50,0.95
Rule[12M momentum top-k],top_k_hit_rate,0.32444444444444437,0.31999999999999995,0.2721111111111111,0.3668888888888889,50,50,0.95
Rule[6M momentum top-k],average_precision,0.3362713573771303,0.33995386367643665,0.30481247336336637,0.38027717064521993,50,50,0.95
Rule[6M momentum top-k],mean_spearman_ic,0.01236363636363636,0.018020202020202013,-0.06232727272727272,0.10185858585858582,50,50,0.95
Rule[6M momentum top-k],top_k_hit_rate,0.33333333333333326,0.3288888888888889,0.2898888888888889,0.38566666666666666,50,50,0.95
Rule[Low volatility top-k],average_precision,0.2669621276993592,0.2703000608826688,0.2531728908791901,0.3008443913332926,50,50,0.95
Rule[Low volatility top-k],mean_spearman_ic,-0.062141414141414136,-0.07030303030303031,-0.14663030303030303,0.019983838383838378,50,50,0.95
Rule[Low volatility top-k],top_k_hit_rate,0.24888888888888885,0.25555555555555554,0.19211111111111112,0.31799999999999995,50,50,0.95
Rule[Risk-adjusted momentum top-k],average_precision,0.34203327556804386,0.34640297314971547,0.3101592440344647,0.38724973853157,50,50,0.95
Rule[Risk-adjusted momentum top-k],mean_spearman_ic,0.02270707070707072,0.013090909090909092,-0.07907070707070704,0.07634343434343432,50,50,0.95
Rule[Risk-adjusted momentum top-k],top_k_hit_rate,0.33333333333333326,0.3311111111111111,0.2672222222222222,0.3826666666666666,50,50,0.95
TabICL[Direct allocation scorer],average_precision,0.3851110578078555,0.3834009362076727,0.3417486678949087,0.4275500030773528,50,50,0.95
TabICL[Direct allocation scorer],mean_spearman_ic,0.024713538662719938,0.015002309126104278,-0.03777480491047993,0.061521093297190924,50,50,0.95
TabICL[Direct allocation scorer],top_k_hit_rate,0.3555555555555555,0.35777777777777775,0.2933333333333333,0.39555555555555555,50,50,0.95
TabICL[Direct allocation scorer] Calibration Base,average_precision,0.37402738631894705,0.37810256227664185,0.3421093196613722,0.4183709377427897,50,50,0.95
TabICL[Direct allocation scorer] Calibration Base,mean_spearman_ic,0.047187567412162616,0.047602363856671895,0.0066306024260733044,0.10964889573688913,50,50,0.95
TabICL[Direct allocation scorer] Calibration Base,top_k_hit_rate,0.41333333333333333,0.4111111111111111,0.37333333333333335,0.4612222222222222,50,50,0.95
TabPFN[Direct allocation scorer],average_precision,0.37796418653723307,0.385400265200164,0.35016050189868414,0.4235380713872202,50,50,0.95
TabPFN[Direct allocation scorer],mean_spearman_ic,0.017962517157557815,0.020528512008509005,-0.031212548571265566,0.06772200863611214,50,50,0.95
TabPFN[Direct allocation scorer],top_k_hit_rate,0.39555555555555555,0.3999999999999999,0.3486666666666666,0.44688888888888884,50,50,0.95
TabPFN[Direct allocation scorer] Calibration Base,average_precision,0.3563711459549635,0.36018447626223915,0.33161681445541086,0.4027711588894973,50,50,0.95
TabPFN[Direct allocation scorer] Calibration Base,mean_spearman_ic,0.007421090645278975,0.0051474742536498615,-0.04869180215182432,0.07602566711678137,50,50,0.95
TabPFN[Direct allocation scorer] Calibration Base,top_k_hit_rate,0.32888888888888884,0.3244444444444444,0.2765555555555555,0.38711111111111113,50,50,0.95
XGBoost[GPU allocation scorer],average_precision,0.3331670591073635,0.33468056123307144,0.29575008426940463,0.37348127901096173,50,50,0.95
XGBoost[GPU allocation scorer],mean_spearman_ic,-0.01511111111111111,-0.017050505050505045,-0.08995555555555554,0.052840404040403986,50,50,0.95
XGBoost[GPU allocation scorer],top_k_hit_rate,0.32888888888888884,0.3244444444444444,0.28444444444444444,0.3822222222222222,50,50,0.95
XGBoost[GPU allocation scorer] Calibrated,average_precision,0.32416130242972674,0.3310126862874525,0.2987638916649693,0.3717613894801446,50,50,0.95
XGBoost[GPU allocation scorer] Calibrated,mean_spearman_ic,-0.01818181818181818,-0.023919191919191913,-0.06614141414141414,0.05309090909090907,50,50,0.95
XGBoost[GPU allocation scorer] Calibrated,top_k_hit_rate,0.3377777777777778,0.3422222222222222,0.28988888888888886,0.3911111111111111,50,50,0.95
XGBoost[GPU allocation scorer] Calibration Base,average_precision,0.32416130242972674,0.32726932292623495,0.29932798268441557,0.3638686390141956,50,50,0.95
XGBoost[GPU allocation scorer] Calibration Base,mean_spearman_ic,-0.01818181818181818,-0.023676767676767674,-0.09519191919191917,0.06712727272727273,50,50,0.95
XGBoost[GPU allocation scorer] Calibration Base,top_k_hit_rate,0.3377777777777778,0.3377777777777778,0.27066666666666667,0.4,50,50,0.95
