                                            Model Evaluation Window  months  mean_spearman_ic  median_spearman_ic  mean_top_k_hit_rate  mean_selected_forward_return  mean_universe_forward_return  mean_active_forward_return
TabPFN[Direct allocation scorer] Calibration Base       calibration      24          0.024321            0.075850             0.430556                      0.011351                      0.004192                    0.007159
                       Rule[Low volatility top-k]       calibration      24         -0.036869            0.000000             0.305556                      0.004944                      0.004192                    0.000752
        XGBoost[GPU allocation scorer] Calibrated       calibration      24          0.006061           -0.006061             0.305556                      0.002904                      0.004192                   -0.001288
  XGBoost[GPU allocation scorer] Calibration Base       calibration      24          0.006061           -0.006061             0.305556                      0.002904                      0.004192                   -0.001288
                         Rule[12M momentum top-k]       calibration      24         -0.111111           -0.163636             0.291667                      0.000713                      0.004192                   -0.003479
TabICL[Direct allocation scorer] Calibration Base       calibration      24         -0.020843            0.060689             0.250000                     -0.000727                      0.004192                   -0.004919
               Rule[Risk-adjusted momentum top-k]       calibration      24         -0.164646           -0.254545             0.222222                     -0.002596                      0.004192                   -0.006788
                          Rule[6M momentum top-k]       calibration      24         -0.170707           -0.127273             0.180556                     -0.006730                      0.004192                   -0.010922
                 TabPFN[Direct allocation scorer]           holdout      75          0.017963            0.006061             0.395556                      0.016363                      0.010050                    0.006313
TabICL[Direct allocation scorer] Calibration Base           holdout      75          0.047188            0.054545             0.413333                      0.015695                      0.010050                    0.005645
               Rule[Risk-adjusted momentum top-k]           holdout      75          0.022707            0.006061             0.333333                      0.014701                      0.010050                    0.004650
                         Rule[12M momentum top-k]           holdout      75          0.066020            0.090909             0.324444                      0.013106                      0.010050                    0.003056
                 TabICL[Direct allocation scorer]           holdout      75          0.024714            0.024316             0.355556                      0.012054                      0.010050                    0.002003
                          Rule[6M momentum top-k]           holdout      75          0.012364            0.018182             0.333333                      0.011526                      0.010050                    0.001476
                   XGBoost[GPU allocation scorer]           holdout      75         -0.015111           -0.018182             0.328889                      0.009598                      0.010050                   -0.000453
TabPFN[Direct allocation scorer] Calibration Base           holdout      75          0.007421            0.030303             0.328889                      0.009133                      0.010050                   -0.000917
        XGBoost[GPU allocation scorer] Calibrated           holdout      75         -0.018182            0.006061             0.337778                      0.008460                      0.010050                   -0.001590
  XGBoost[GPU allocation scorer] Calibration Base           holdout      75         -0.018182            0.006061             0.337778                      0.008460                      0.010050                   -0.001590
                       Rule[Low volatility top-k]           holdout      75         -0.062141           -0.127273             0.248889                      0.005725                      0.010050                   -0.004325
              Dummy[Preholdout prior probability]           holdout      75               NaN                 NaN                  NaN                           NaN                      0.010050                         NaN
