Strategy,Metric,Point Estimate,Bootstrap Median,CI Lower,CI Upper,Bootstrap Iterations Requested,Bootstrap Iterations Used,Confidence Level
Equal weight universe,mean_monthly_return,0.010043732379049701,0.009090928503866696,0.0016049797124189041,0.01856217638451682,50,50,0.95
Equal weight universe,cagr,0.11659946432334678,0.10494672184675802,0.009675432985356074,0.2359701398757934,50,50,0.95
Equal weight universe,annualized_volatility,0.1396967236986324,0.14436122429585824,0.11222948780708475,0.17292023821138167,50,50,0.95
Equal weight universe,sharpe,0.8627603093155171,0.7618053035804213,0.13880211657177555,1.638352716433934,50,50,0.95
SPY only,mean_monthly_return,0.013278323892847896,0.013625428581636753,0.0019201257632298992,0.02157998859512201,50,50,0.95
SPY only,cagr,0.15336577081554736,0.1596570755337543,0.007318322079435852,0.27259206413667103,50,50,0.95
SPY only,annualized_volatility,0.17820446790207872,0.1738570224148813,0.15096504966076335,0.20058241994108034,50,50,0.95
SPY only,sharpe,0.8941408068496361,0.9097909222598277,0.12862771737879458,1.6677343383692869,50,50,0.95
60/40 SPY/TLT,mean_monthly_return,0.006459518076639406,0.006856762063385606,-0.0010041821506819489,0.012885527188538798,50,50,0.95
60/40 SPY/TLT,cagr,0.07161113909290973,0.07732508149417427,-0.022104030251863624,0.1590452809436371,50,50,0.95
60/40 SPY/TLT,annualized_volatility,0.1284713894744848,0.12568070503878798,0.10726156163335816,0.14565365408502784,50,50,0.95
60/40 SPY/TLT,sharpe,0.6033578155941689,0.6358230876662851,-0.08519163857588734,1.273601951533585,50,50,0.95
Inverse volatility universe,mean_monthly_return,0.007069461034835903,0.006392668597616363,0.001476685210675497,0.013683615091764568,50,50,0.95
Inverse volatility universe,cagr,0.0815484929645578,0.07217559251584293,0.011422959815947176,0.16896142354523652,50,50,0.95
Inverse volatility universe,annualized_volatility,0.11151413538205567,0.10692279270643722,0.09224258580072653,0.12864269042320575,50,50,0.95
Inverse volatility universe,sharpe,0.7607424128554185,0.7148731098592791,0.15693733004349184,1.5290030694467314,50,50,0.95
12M momentum top-k portfolio,mean_monthly_return,0.012908473173168488,0.013596064215391862,0.005311959754578167,0.020408253620386452,50,50,0.95
12M momentum top-k portfolio,cagr,0.15587363222596973,0.1655710527087434,0.055194788030474784,0.26493414859924264,50,50,0.95
12M momentum top-k portfolio,annualized_volatility,0.13619711053880276,0.13373907447013753,0.111513529821404,0.1529799355907904,50,50,0.95
12M momentum top-k portfolio,sharpe,1.1373345401031112,1.2237539697658502,0.4522322354018907,1.9695067715816301,50,50,0.95
Low volatility top-k portfolio,mean_monthly_return,0.005549689473719739,0.00581118042487841,0.001444458212904693,0.010492582113805765,50,50,0.95
Low volatility top-k portfolio,cagr,0.06416686133764249,0.06762943773137742,0.01293829849503128,0.12912240719117235,50,50,0.95
Low volatility top-k portfolio,annualized_volatility,0.09272633344411237,0.09092722981152437,0.08075187908847953,0.10569020055621348,50,50,0.95
Low volatility top-k portfolio,sharpe,0.7182023834122103,0.7687131049215987,0.18251054968679375,1.4310836648168659,50,50,0.95
Rule[6M momentum top-k],mean_monthly_return,0.011288179842788895,0.009598407089856622,0.002793413338604898,0.020726795789243406,50,50,0.95
Rule[6M momentum top-k],cagr,0.13172331245297642,0.10988109806501001,0.02298930944167484,0.26845685923709,50,50,0.95
