Model,Evaluation Window,bin,rows,observed_rate,mean_predicted_probability,score_min,score_max
Dummy[Preholdout prior probability],holdout,"(0.299, 0.3]",750,0.3,0.3,0.3,0.3
XGBoost[GPU allocation scorer],holdout,"(0.0315, 0.151]",75,0.2,0.11036892344554265,0.03247318044304848,0.14971725642681122
XGBoost[GPU allocation scorer],holdout,"(0.151, 0.209]",75,0.30666666666666664,0.18195060114065806,0.15116265416145325,0.2081890106201172
XGBoost[GPU allocation scorer],holdout,"(0.209, 0.256]",75,0.28,0.23137362619241078,0.20904213190078735,0.2548844814300537
XGBoost[GPU allocation scorer],holdout,"(0.256, 0.298]",75,0.21333333333333335,0.2774997782707214,0.2558960020542145,0.296772301197052
XGBoost[GPU allocation scorer],holdout,"(0.298, 0.349]",75,0.37333333333333335,0.32579438885052997,0.29824039340019226,0.348725289106369
XGBoost[GPU allocation scorer],holdout,"(0.349, 0.405]",75,0.32,0.3777328133583069,0.34874391555786133,0.4047580063343048
XGBoost[GPU allocation scorer],holdout,"(0.405, 0.457]",75,0.29333333333333333,0.4283028976122538,0.4047629237174988,0.4567161202430725
XGBoost[GPU allocation scorer],holdout,"(0.457, 0.52]",75,0.36,0.48585928002993267,0.45720812678337097,0.5199196934700012
XGBoost[GPU allocation scorer],holdout,"(0.52, 0.596]",75,0.29333333333333333,0.5532927966117859,0.5202494859695435,0.5962018966674805
XGBoost[GPU allocation scorer],holdout,"(0.596, 0.826]",75,0.36,0.6652738523483276,0.5978662967681885,0.82628333568573
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.0664, 0.16]",24,0.25,0.11778541250775258,0.06744193285703659,0.15724018216133118
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.16, 0.225]",24,0.16666666666666666,0.1882852508376042,0.1597970426082611,0.22295990586280823
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.225, 0.296]",24,0.3333333333333333,0.2603170381238063,0.22550195455551147,0.2950732111930847
