Model,Base Model,Calibration,Evaluation Window,Average Precision,ROC AUC,Brier Score,Workflow Seconds
TabPFN[Direct allocation scorer] Calibration Base,TabPFN,none_calibration_base,calibration,0.36780708048986593,0.5686177248677248,0.2087653954965332,4.026470467500047
Rule[Low volatility top-k],Rule,none,calibration,0.325308452590667,0.48222552910052907,,0.0
TabICL[Direct allocation scorer] Calibration Base,TabICL,none_calibration_base,calibration,0.3229540717455873,0.5147569444444444,0.21035775347432206,3.840875383000025
XGBoost[GPU allocation scorer] Calibration Base,XGBoost,none_calibration_base,calibration,0.3227213435272492,0.5341435185185186,0.24556212273482364,52.551176846999994
XGBoost[GPU allocation scorer] Calibrated,XGBoost,sigmoid,calibration,0.3227213435272492,0.5341435185185186,0.20954884673033472,52.55000758099996
Rule[12M momentum top-k],Rule,none,calibration,0.2657250783039189,0.45188492063492064,,0.0
Rule[6M momentum top-k],Rule,none,calibration,0.24056742481308324,0.3914517195767196,,0.0
Rule[Risk-adjusted momentum top-k],Rule,none,calibration,0.24045221102044834,0.38541666666666663,,0.0
TabICL[Direct allocation scorer],TabICL,none,holdout,0.3851110578078555,0.589710052910053,0.2067181511425345,8.485380539000062
TabPFN[Direct allocation scorer],TabPFN,none,holdout,0.37796418653723307,0.6040380952380953,0.2058435747134605,15.741905288999988
TabICL[Direct allocation scorer] Calibration Base,TabICL,none_calibration_base,holdout,0.37402738631894705,0.5977058201058202,0.20743796889785623,3.840875383000025
TabPFN[Direct allocation scorer] Calibration Base,TabPFN,none_calibration_base,holdout,0.3563711459549635,0.5734687830687831,0.20634020653850269,4.026470467500047
Rule[Risk-adjusted momentum top-k],Rule,none,holdout,0.34203327556804386,0.5289396825396825,,0.0
Rule[12M momentum top-k],Rule,none,holdout,0.34121999227889555,0.5382518518518519,,0.0
Rule[6M momentum top-k],Rule,none,holdout,0.3362713573771303,0.520541798941799,,0.0
XGBoost[GPU allocation scorer],XGBoost,none,holdout,0.3331670591073635,0.5464634920634921,0.2301898533250146,52.89043634799992
XGBoost[GPU allocation scorer] Calibration Base,XGBoost,none_calibration_base,holdout,0.32416130242972674,0.5462603174603174,0.23387055678195576,52.551176846999994
XGBoost[GPU allocation scorer] Calibrated,XGBoost,sigmoid,holdout,0.32416130242972674,0.5462603174603174,0.20909883434429014,52.55000758099996
Dummy[Preholdout prior probability],Dummy,none,holdout,0.3,0.5,0.20999999999999996,0.0
Rule[Low volatility top-k],Rule,none,holdout,0.2669621276993592,0.44155767195767187,,0.0
