feature,missing_rate_selection,non_null_selection,n_unique_selection
market_hyg_return_252d,0.21651785714285715,2808,117
market_hyg_drawdown_252d,0.21651785714285715,2808,101
market_hyg_ma_distance_200d,0.19642857142857142,2880,120
market_hyg_drawdown_126d,0.17633928571428573,2952,105
market_hyg_return_126d,0.17633928571428573,2952,123
market_hyg_ma_distance_126d,0.17633928571428573,2952,123
market_hyg_rv_126d,0.17633928571428573,2952,123
market_hyg_beta_to_spy_126d,0.17633928571428573,2952,123
market_hyg_drawdown_63d,0.15625,3024,106
market_hyg_rv_63d,0.15625,3024,126
market_hyg_ma_distance_63d,0.15625,3024,126
market_hyg_return_63d,0.15625,3024,126
market_hyg_volume_zscore_63d,0.15625,3024,126
market_hyg_return_21d,0.14285714285714285,3072,128
market_hyg_rv_21d,0.14285714285714285,3072,128
market_slv_return_252d,0.14285714285714285,3072,128
market_slv_drawdown_252d,0.13616071428571427,3096,121
market_slv_ma_distance_200d,0.123046875,3143,131
market_dbc_return_252d,0.123046875,3143,131
market_dbc_drawdown_252d,0.123046875,3143,125
market_tlt_return_252d,0.11662946428571429,3166,132
market_xlp_drawdown_252d,0.11662946428571429,3166,118
market_xlu_return_252d,0.11662946428571429,3166,132
market_shy_drawdown_252d,0.11662946428571429,3166,108
market_xlu_drawdown_252d,0.11662946428571429,3166,122
market_xlf_drawdown_252d,0.11662946428571429,3166,125
market_xlf_return_252d,0.11662946428571429,3166,132
market_xle_drawdown_252d,0.11662946428571429,3166,126
market_lqd_drawdown_252d,0.11662946428571429,3166,109
market_xlk_drawdown_252d,0.11662946428571429,3166,117
market_gld_return_252d,0.11662946428571429,3166,132
market_xli_return_252d,0.11662946428571429,3166,132
market_xlk_return_252d,0.11662946428571429,3166,132
market_xly_drawdown_252d,0.11662946428571429,3166,121
market_iwm_drawdown_252d,0.11662946428571429,3166,125
market_iwm_return_252d,0.11662946428571429,3166,132
market_dia_drawdown_252d,0.11662946428571429,3166,121
market_dia_return_252d,0.11662946428571429,3166,132
market_eem_return_252d,0.11662946428571429,3166,132
market_eem_drawdown_252d,0.11662946428571429,3166,128
market_shy_return_252d,0.11662946428571429,3166,132
market_lqd_return_252d,0.11662946428571429,3166,132
market_xlp_return_252d,0.11662946428571429,3166,132
market_ief_drawdown_252d,0.11662946428571429,3166,122
market_xlv_return_252d,0.11662946428571429,3166,132
market_tlt_drawdown_252d,0.11662946428571429,3166,125
market_ief_return_252d,0.11662946428571429,3166,132
market_xlv_drawdown_252d,0.11662946428571429,3166,123
market_efa_return_252d,0.11662946428571429,3166,132
market_xly_return_252d,0.11662946428571429,3166,132
market_efa_drawdown_252d,0.11662946428571429,3166,122
market_xle_return_252d,0.11662946428571429,3166,132
market_xli_drawdown_252d,0.11662946428571429,3166,126
market_xlb_return_252d,0.11662946428571429,3166,132
market_gld_drawdown_252d,0.11662946428571429,3166,127
market_iyr_return_252d,0.11662946428571429,3166,132
market_vnq_drawdown_252d,0.11662946428571429,3166,121
market_iyr_drawdown_252d,0.11662946428571429,3166,119
market_xlb_drawdown_252d,0.11662946428571429,3166,125
market_spy_drawdown_252d,0.11662946428571429,3166,123
market_spy_return_252d,0.11662946428571429,3166,132
market_qqq_drawdown_252d,0.11662946428571429,3166,117
market_qqq_return_252d,0.11662946428571429,3166,132
market_vnq_return_252d,0.11662946428571429,3166,132
market_dbc_ma_distance_200d,0.10379464285714286,3212,134
market_dia_ma_distance_200d,0.09737723214285714,3235,135
market_efa_ma_distance_200d,0.09737723214285714,3235,135
market_spy_ma_distance_200d,0.09737723214285714,3235,135
market_xlb_ma_distance_200d,0.09737723214285714,3235,135
market_slv_return_126d,0.09737723214285714,3235,135
market_vnq_ma_distance_200d,0.09737723214285714,3235,135
market_qqq_ma_distance_200d,0.09737723214285714,3235,135
market_slv_ma_distance_126d,0.09737723214285714,3235,135
market_xlf_ma_distance_200d,0.09737723214285714,3235,135
market_iwm_ma_distance_200d,0.09737723214285714,3235,135
market_xli_ma_distance_200d,0.09737723214285714,3235,135
market_xle_ma_distance_200d,0.09737723214285714,3235,135
market_slv_drawdown_126d,0.09737723214285714,3235,125
market_slv_rv_126d,0.09737723214285714,3235,135
market_ief_ma_distance_200d,0.09737723214285714,3235,135
market_lqd_ma_distance_200d,0.09737723214285714,3235,135
market_iyr_ma_distance_200d,0.09737723214285714,3235,135
market_gld_ma_distance_200d,0.09737723214285714,3235,135
market_slv_beta_to_spy_126d,0.09737723214285714,3235,135
