Model,Base Model,Family,Calibration,Evaluation Window,Rows,Positive Rows,Positive Rate,Score Type,Average Precision,ROC AUC,Brier Score,Log Loss,ECE Quantile 10,Fit Seconds,Predict Seconds,Calibration Seconds,Workflow Seconds,CV/Validation Average Precision,Best Params,Timing Notes
TabPFN[Direct allocation scorer] Calibration Base,TabPFN,direct_tfm_calibration_base,none_calibration_base,calibration,600,120,0.2,probability,0.2862845398117525,0.6192795138888889,0.15681228643561648,0.4939626252649178,0.04691090835568805,5.065797987999758,27.225664833999872,0.0,32.29146282199963,,,direct TFM context excludes calibration-window labels
XGBoost[GPU allocation scorer] Calibration Base,XGBoost,gpu_boosted_tree_calibration_base,none_calibration_base,calibration,600,120,0.2,probability,0.26545129498452946,0.6039583333333334,0.15758715378146845,0.4924520450224939,0.03985834199003875,4351.533974518001,0.0172188934998303,0.0,4351.5511934115,0.26027710847911817,"{""colsample_bylevel"": 0.5054188257401492, ""colsample_bytree"": 0.9479600870305951, ""gamma"": 3.760106004074087e-05, ""learning_rate"": 0.011468858364579492, ""max_bin"": 845, ""max_delta_step"": 5, ""max_depth"": 4, ""min_child_weight"": 1.899692754725157, ""n_estimators"": 543, ""reg_alpha"": 0.013775857884996356, ""reg_lambda"": 0.5229972565439126, ""scale_pos_weight"": 1.0, ""subsample"": 0.7991663735556104}",base model excludes calibration-window labels
XGBoost[GPU allocation scorer] Calibrated,XGBoost,gpu_boosted_tree_calibrated,sigmoid,calibration,600,120,0.2,probability,0.26545129498452946,0.6039583333333334,0.15716769218853147,0.49074469144428784,0.03783596054961284,4351.533974518001,0.006697687500036409,0.011161262999848987,4351.551833468501,0.26027710847911817,"{""colsample_bylevel"": 0.5054188257401492, ""colsample_bytree"": 0.9479600870305951, ""gamma"": 3.760106004074087e-05, ""learning_rate"": 0.011468858364579492, ""max_bin"": 845, ""max_delta_step"": 5, ""max_depth"": 4, ""min_child_weight"": 1.899692754725157, ""n_estimators"": 543, ""reg_alpha"": 0.013775857884996356, ""reg_lambda"": 0.5229972565439126, ""scale_pos_weight"": 1.0, ""subsample"": 0.7991663735556104}",sigmoid calibration fitted on calibration window
Rule[12M momentum top-k],Rule,deterministic_rule,none,calibration,600,120,0.2,raw_score,0.20456353554300222,0.4763541666666667,,,,0.0,0.0,0.0,0.0,,,deterministic rule score; not a calibrated probability
Rule[6M momentum top-k],Rule,deterministic_rule,none,calibration,600,120,0.2,raw_score,0.18976827610790892,0.4284027777777778,,,,0.0,0.0,0.0,0.0,,,deterministic rule score; not a calibrated probability
Rule[Low volatility top-k],Rule,deterministic_rule,none,calibration,600,120,0.2,raw_score,0.18321871721112923,0.4214930555555555,,,,0.0,0.0,0.0,0.0,,,deterministic rule score; not a calibrated probability
Rule[Risk-adjusted momentum top-k],Rule,deterministic_rule,none,calibration,600,120,0.2,raw_score,0.17803180576974692,0.4381770833333334,,,,0.0,0.0,0.0,0.0,,,deterministic rule score; not a calibrated probability
TabPFN[Direct allocation scorer],TabPFN,direct_tfm,none,holdout,1875,375,0.2,probability,0.3133516180573489,0.641504,0.15500206595741123,0.48695585859156165,0.04137443805038928,16.67263500900026,38.1515282979999,0.0,54.82416330700016,,,direct TFM classifier fitted on all pre-holdout rows; no task-specific weight training claim is made
TabPFN[Direct allocation scorer] Calibration Base,TabPFN,direct_tfm_calibration_base,none_calibration_base,holdout,1875,375,0.2,probability,0.29549608443737185,0.631072,0.1555631986396746,0.49075414455155025,0.03179768071199456,5.065797987999758,27.225664833999872,0.0,32.29146282199963,,,direct TFM context excludes calibration-window labels
FeatureSensitivity[Logistic metadata_only],Logistic Regression,feature_variant_sensitivity,metadata_only,holdout,1875,375,0.2,probability,0.2822504755508688,0.6213333333333334,0.23930939131959056,0.6685545406666533,0.28038437753915785,0.06309153900002684,0.0056632960000229104,0.0,0.06875483500004975,,,lightweight CPU feature-family sensitivity check; same pre-holdout/holdout split as final models
XGBoost[GPU allocation scorer],XGBoost,gpu_boosted_tree,none,holdout,1875,375,0.2,probability,0.27718129908925565,0.6138968888888888,0.15650389998713676,0.4908390576199782,0.01888168808817863,4351.6227498650005,0.02025495299949398,0.0,4351.643004818,0.26027710847911817,"{""colsample_bylevel"": 0.5054188257401492, ""colsample_bytree"": 0.9479600870305951, ""gamma"": 3.760106004074087e-05, ""learning_rate"": 0.011468858364579492, ""max_bin"": 845, ""max_delta_step"": 5, ""max_depth"": 4, ""min_child_weight"": 1.899692754725157, ""n_estimators"": 543, ""reg_alpha"": 0.013775857884996356, ""reg_lambda"": 0.5229972565439126, ""scale_pos_weight"": 1.0, ""subsample"": 0.7991663735556104}",randomized search on monthly rolling-origin folds; final model fit on all pre-holdout rows
XGBoost[GPU allocation scorer] Calibration Base,XGBoost,gpu_boosted_tree_calibration_base,none_calibration_base,holdout,1875,375,0.2,probability,0.27642442703033837,0.6077688888888888,0.156800273594015,0.49215154074643375,0.03383976831138134,4351.533974518001,0.0172188934998303,0.0,4351.5511934115,0.26027710847911817,"{""colsample_bylevel"": 0.5054188257401492, ""colsample_bytree"": 0.9479600870305951, ""gamma"": 3.760106004074087e-05, ""learning_rate"": 0.011468858364579492, ""max_bin"": 845, ""max_delta_step"": 5, ""max_depth"": 4, ""min_child_weight"": 1.899692754725157, ""n_estimators"": 543, ""reg_alpha"": 0.013775857884996356, ""reg_lambda"": 0.5229972565439126, ""scale_pos_weight"": 1.0, ""subsample"": 0.7991663735556104}",base model excludes calibration-window labels
XGBoost[GPU allocation scorer] Calibrated,XGBoost,gpu_boosted_tree_calibrated,sigmoid,holdout,1875,375,0.2,probability,0.27642442703033837,0.6077688888888888,0.15641663013171006,0.4894974286562998,0.03083159184455872,4351.533974518001,0.006697687500036409,0.011161262999848987,4351.551833468501,0.26027710847911817,"{""colsample_bylevel"": 0.5054188257401492, ""colsample_bytree"": 0.9479600870305951, ""gamma"": 3.760106004074087e-05, ""learning_rate"": 0.011468858364579492, ""max_bin"": 845, ""max_delta_step"": 5, ""max_depth"": 4, ""min_child_weight"": 1.899692754725157, ""n_estimators"": 543, ""reg_alpha"": 0.013775857884996356, ""reg_lambda"": 0.5229972565439126, ""scale_pos_weight"": 1.0, ""subsample"": 0.7991663735556104}",sigmoid calibration fitted on calibration window
Rule[Risk-adjusted momentum top-k],Rule,deterministic_rule,none,holdout,1875,375,0.2,raw_score,0.24710879067451433,0.5233937777777777,,,,0.0,0.0,0.0,0.0,,,deterministic rule score; not a calibrated probability
Rule[6M momentum top-k],Rule,deterministic_rule,none,holdout,1875,375,0.2,raw_score,0.24546715106279854,0.525712,,,,0.0,0.0,0.0,0.0,,,deterministic rule score; not a calibrated probability
Rule[12M momentum top-k],Rule,deterministic_rule,none,holdout,1875,375,0.2,raw_score,0.2438064939418784,0.5311928888888888,,,,0.0,0.0,0.0,0.0,,,deterministic rule score; not a calibrated probability
FeatureSensitivity[Logistic full],Logistic Regression,feature_variant_sensitivity,full,holdout,1875,375,0.2,probability,0.21306789366368512,0.52544,0.47118513538410123,2.1138000548127756,0.47531656662155874,9.065119772999992,0.09346641499996622,0.0,9.158586187999958,,,lightweight CPU feature-family sensitivity check; same pre-holdout/holdout split as final models
FeatureSensitivity[Logistic identity_ablated],Logistic Regression,feature_variant_sensitivity,identity_ablated,holdout,1875,375,0.2,probability,0.21305341266990138,0.5253946666666667,0.47153556086916737,2.1177872592663687,0.4767184124459241,7.135925337000003,0.09628016900001057,0.0,7.232205506000014,,,lightweight CPU feature-family sensitivity check; same pre-holdout/holdout split as final models
FeatureSensitivity[Logistic strict_time_series],Logistic Regression,feature_variant_sensitivity,strict_time_series,holdout,1875,375,0.2,probability,0.21305341266990138,0.5253946666666667,0.47153556086916737,2.1177872592663687,0.4767184124459241,6.957995616999995,0.08938230800004021,0.0,7.047377925000035,,,lightweight CPU feature-family sensitivity check; same pre-holdout/holdout split as final models
FeatureSensitivity[Logistic ticker_ablated],Logistic Regression,feature_variant_sensitivity,ticker_ablated,holdout,1875,375,0.2,probability,0.21303890092944006,0.5254071111111112,0.47022611016678917,2.1108519947434488,0.47416681847225023,8.895358329000032,0.10906623599998966,0.0,9.004424565000022,,,lightweight CPU feature-family sensitivity check; same pre-holdout/holdout split as final models
Dummy[Preholdout prior probability],Dummy,baseline,none,holdout,1875,375,0.2,probability,0.2,0.5,0.1600005849496013,0.5004042480213541,,0.0,0.0,0.0,0.0,,,constant prior from pre-holdout label frequency
Rule[Low volatility top-k],Rule,deterministic_rule,none,holdout,1875,375,0.2,raw_score,0.16553332775121618,0.4050151111111111,,,,0.0,0.0,0.0,0.0,,,deterministic rule score; not a calibrated probability
